id,pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,weighing_approach,item_nsu_hetero_type,unit,weight,raw_canonical,published,corrected_unit,magnitude_corrected,decades_moved,snap_rule,snap_referee,snap_block,disputed,step1_flagged,unusable,any_uncertainty,cleaning_notes
24,AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",pieces or units,"Size-based (small, medium, large)",large_size,2,90.0,90.0,90.0,g,False,0.0,log10 median,cell,0,False,True,False,True,
34,AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",putos,"Price-quantity based (lower, median, higher price)",municipality_median,2,320.0,320.0,320.0,g,False,0.0,log10 median,prov_hetero,0,False,True,False,True,
30,AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",putos,"Price-quantity based (lower, median, higher price)",municipality_median,2,320.0,320.0,320.0,g,False,0.0,log10 median,prov_hetero,0,False,True,False,True,
33,AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",putos,"Price-quantity based (lower, median, higher price)",municipality_median,2,220.0,220.0,220.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
32,AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",putos,"Price-quantity based (lower, median, higher price)",municipality_median,2,250.0,250.0,250.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
31,AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",putos,"Price-quantity based (lower, median, higher price)",municipality_median,2,270.0,270.0,270.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
36,AKLAN,ALTAVAS,fresh fish,pieces or units,"Size-based (small, medium, large)",small_size,2,0.24,0.24,240.0,g,True,3.0,log10 median,prov_hetero,0,False,False,False,False,
35,AKLAN,ALTAVAS,fresh fish,pieces or units,"Size-based (small, medium, large)",small_size,2,0.095,0.095,95.0,g,True,3.0,log10 median,prov_hetero,0,False,True,False,True,
37,AKLAN,ALTAVAS,fresh fish,pieces or units,"Size-based (small, medium, large)",small_size,2,0.095,0.095,95.0,g,True,3.0,log10 median,prov_hetero,0,False,True,False,True,
39,AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,"Size-based (small, medium, large)",small_size,2,50.0,50.0,50.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
38,AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,"Size-based (small, medium, large)",small_size,2,60.0,60.0,60.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
42,AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",lipid/lapad,"Size-based (small, medium, large)",medium_size,2,375.0,375.0,375.0,mL,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
40,AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",lipid/lapad,"Size-based (small, medium, large)",medium_size,2,375.0,375.0,375.0,mL,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
41,AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",lipid/lapad,"Size-based (small, medium, large)",medium_size,2,375.0,375.0,375.0,mL,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
