pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,pull_price,item_nsu_hetero_type,corrected_weight,p_real,gpp,n_pairs,n_price,n_mun,gpp_loo,w_pred,ratio
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,putos,32,mp50_price,90,32,2.8125,59,8,9,4.745762711864407,151.864406779661,1.687382297551789
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,putos,70,mp75_price,300,70,4.285714285714286,59,8,9,4.745762711864407,332.2033898305085,1.107344632768362
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,putos,8,mp25_price,300,8,37.5,59,8,9,4.745762711864407,37.96610169491525,.1265536723163842
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,putos,32,mp50_price,85,32,2.65625,59,8,9,4.745762711864407,151.864406779661,1.786640079760718
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,putos,70,mp75_price,300,70,4.285714285714286,59,8,9,4.745762711864407,332.2033898305085,1.107344632768362
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,putos,8,mp25_price,280,8,35,59,8,9,4.745762711864407,37.96610169491525,.1355932203389831
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,putos,32,mp50_price,90,32,2.8125,59,8,9,4.745762711864407,151.864406779661,1.687382297551789
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,putos,70,mp75_price,280,70,4,59,8,9,4.745762711864407,332.2033898305085,1.186440677966102
"crackers, cookies, buiscuits, chips/curls",AKLAN,IBAJAY,putos,65,municipality_median,300,65,4.615384615384615,59,8,9,4.615384615384615,300,1
"crackers, cookies, buiscuits, chips/curls",AKLAN,IBAJAY,putos,65,municipality_median,300,65,4.615384615384615,59,8,9,4.615384615384615,300,1
"crackers, cookies, buiscuits, chips/curls",AKLAN,LIBACAO,pieces or units,8,municipality_median,30,8,3.75,35,3,5,3.555555555555555,28.44444444444444,.9481481481481481
"crackers, cookies, buiscuits, chips/curls",AKLAN,LIBACAO,pieces or units,8,municipality_median,25,8,3.125,35,3,5,3.555555555555555,28.44444444444444,1.137777777777778
"crackers, cookies, buiscuits, chips/curls",AKLAN,LIBACAO,pieces or units,8,municipality_median,32,8,4,35,3,5,3.555555555555555,28.44444444444444,.8888888888888888
"crackers, cookies, buiscuits, chips/curls",AKLAN,LIBACAO,pieces or units,8,municipality_median,30,8,3.75,35,3,5,3.555555555555555,28.44444444444444,.9481481481481481
"crackers, cookies, buiscuits, chips/curls",AKLAN,LIBACAO,pieces or units,8,municipality_median,33,8,4.125,35,3,5,3.555555555555555,28.44444444444444,.8619528619528619
"crackers, cookies, buiscuits, chips/curls",AKLAN,LIBACAO,pieces or units,8,municipality_median,30,8,3.75,35,3,5,3.555555555555555,28.44444444444444,.9481481481481481
"crackers, cookies, buiscuits, chips/curls",AKLAN,LIBACAO,pieces or units,8,municipality_median,28,8,3.5,35,3,5,3.555555555555555,28.44444444444444,1.015873015873016
"crackers, cookies, buiscuits, chips/curls",AKLAN,LIBACAO,pieces or units,8,municipality_median,33,8,4.125,35,3,5,3.555555555555555,28.44444444444444,.8619528619528619
"crackers, cookies, buiscuits, chips/curls",AKLAN,LIBACAO,pieces or units,8,municipality_median,35,8,4.375,35,3,5,3.555555555555555,28.44444444444444,.8126984126984127
