pull_province,pull_item,pull_municipal_city,harmonized_nsu_unit,point_id,p_g,n_merged,has_mp25,has_mp50,has_mp75,has_mun_med,has_prov_med,has_unique,d_uniq_weighed,branch,d_point_unconvertible,n_points,n_points_conv
AKLAN,"liquor (e.g, whisky, coconut wine)",BANGA,lipid/lapad,1,73.125,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,"liquor (e.g, whisky, coconut wine)",BANGA,lipid/lapad,2,225,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,"liquor (e.g, whisky, coconut wine)",BANGA,long-neck,1,300,1,1,0,0,0,0,0,0,3,0,3,3
AKLAN,"liquor (e.g, whisky, coconut wine)",BANGA,long-neck,2,440,1,0,1,0,0,0,0,0,3,0,3,3
AKLAN,"liquor (e.g, whisky, coconut wine)",BANGA,long-neck,3,550,1,0,0,1,0,0,0,0,3,0,3,3
AKLAN,loaf bread,BANGA,large packs,1,80,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,loaf bread,BANGA,medium packs,1,60,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,loaf bread,BANGA,small packs,1,25,1,1,0,0,0,0,0,0,3,0,3,3
AKLAN,loaf bread,BANGA,small packs,2,50,1,0,1,0,0,0,0,0,3,0,3,3
AKLAN,loaf bread,BANGA,small packs,3,110,1,0,0,1,0,0,0,0,3,0,3,3
AKLAN,mango,BANGA,pieces or units,1,60,1,0,0,0,0,1,0,0,3,0,2,1
AKLAN,mango,BANGA,pieces or units,2,100,1,0,0,0,0,0,1,0,3,1,2,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BANGA,putos,1,112.5,2,1,1,0,0,0,0,0,2,0,2,2
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BANGA,putos,2,160,1,0,0,1,0,0,0,0,2,0,2,2
AKLAN,cabbage,BATAN,pieces or units,1,40,1,1,0,0,0,0,0,0,3,0,3,3
AKLAN,cabbage,BATAN,pieces or units,2,65,1,0,1,0,0,0,0,0,3,0,3,3
AKLAN,cabbage,BATAN,pieces or units,3,97.5,1,0,0,1,0,0,0,0,3,0,3,3
AKLAN,camote tops,BATAN,bugkos,1,25,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,carrot,BATAN,pieces or units,1,30,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,chicken,BATAN,pieces or units,1,180,1,0,0,0,0,0,1,0,3,1,2,1
AKLAN,chicken,BATAN,pieces or units,2,250,1,0,0,0,0,1,0,0,3,0,2,1
AKLAN,chicken,BATAN,whole (chicken),1,250,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,"crackers, cookies, buiscuits, chips/curls",BATAN,pieces or units,1,64,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,"crackers, cookies, buiscuits, chips/curls",BATAN,putos,1,62.5,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,"crackers, cookies, buiscuits, chips/curls",BATAN,putos,2,123.25,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,fresh fish,BATAN,pieces or units,1,100,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BATAN,pieces or units,1,50,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BATAN,putos,1,30,1,0,0,0,0,1,0,0,3,0,2,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BATAN,putos,2,125,1,0,0,0,0,0,1,0,3,1,2,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BATAN,small cup,1,60,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,"liquor (e.g, whisky, coconut wine)",BATAN,lipid/lapad,1,72.5,1,1,0,0,0,0,0,0,3,0,3,3
AKLAN,"liquor (e.g, whisky, coconut wine)",BATAN,lipid/lapad,2,130,1,0,1,0,0,0,0,0,3,0,3,3
AKLAN,"liquor (e.g, whisky, coconut wine)",BATAN,lipid/lapad,3,168.75,1,0,0,1,0,0,0,0,3,0,3,3
AKLAN,"liquor (e.g, whisky, coconut wine)",BATAN,long-neck,1,130,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,"liquor (e.g, whisky, coconut wine)",BATAN,long-neck,2,249.5,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,loaf bread,BATAN,large packs,1,76.875,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,loaf bread,BATAN,large packs,2,160,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,loaf bread,BATAN,medium packs,1,62.5,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,loaf bread,BATAN,medium packs,2,130,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,loaf bread,BATAN,small packs,1,60,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,mango,BATAN,pieces or units,1,65,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,"prawns, lobster, shrimp",BATAN,tumpok,1,50,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,"prawns, lobster, shrimp",BATAN,tumpok,2,110,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BATAN,cans,1,85,1,0,0,0,0,1,0,0,3,0,2,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BATAN,cans,2,120,1,0,0,0,0,0,1,0,3,1,2,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BATAN,pieces or units,1,58.75,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BATAN,pieces or units,2,98.5,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BATAN,putos,1,120,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,cabbage,BURUANGA,pieces or units,1,52.5,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,cabbage,BURUANGA,small packs,1,20,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,camote,BURUANGA,binilog,1,15,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,camote tops,BURUANGA,bundle,1,25,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,carrot,BURUANGA,pieces or units,1,32.625,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,carrot,BURUANGA,pieces or units,2,73.5,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,chicken,BURUANGA,pieces or units,1,200,1,0,0,0,0,0,1,0,3,1,2,1
AKLAN,chicken,BURUANGA,pieces or units,2,250,1,0,0,0,0,1,0,0,3,0,2,1
AKLAN,chicken,BURUANGA,whole (chicken),1,245,1,1,0,0,0,0,0,0,3,0,3,3
AKLAN,chicken,BURUANGA,whole (chicken),2,280,1,0,1,0,0,0,0,0,3,0,3,3
AKLAN,chicken,BURUANGA,whole (chicken),3,350,1,0,0,1,0,0,0,0,3,0,3,3
AKLAN,"crackers, cookies, buiscuits, chips/curls",BURUANGA,pack,1,80,1,0,0,0,0,1,0,0,2,0,1,1
AKLAN,"crackers, cookies, buiscuits, chips/curls",BURUANGA,putos,1,61.5,2,1,1,0,0,0,0,0,2,0,2,2
AKLAN,"crackers, cookies, buiscuits, chips/curls",BURUANGA,putos,2,95,1,0,0,1,0,0,0,0,2,0,2,2
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BURUANGA,pack,1,30,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BURUANGA,small cup,1,30,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,"liquor (e.g, whisky, coconut wine)",BURUANGA,lipid/lapad,1,75,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,"liquor (e.g, whisky, coconut wine)",BURUANGA,long-neck,1,130,1,0,0,0,0,0,1,0,3,1,2,1
AKLAN,"liquor (e.g, whisky, coconut wine)",BURUANGA,long-neck,2,240,1,0,0,0,0,1,1,0,3,0,2,1
AKLAN,loaf bread,BURUANGA,large packs,1,50,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,loaf bread,BURUANGA,medium packs,1,60,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,loaf bread,BURUANGA,small packs,1,30,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,loaf bread,BURUANGA,small packs,2,80,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BURUANGA,pieces or units,1,53.5,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BURUANGA,putos,1,120,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,cabbage,IBAJAY,pieces or units,1,50,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,camote,IBAJAY,binilog,1,15,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,camote tops,IBAJAY,bugkos,1,20,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,carrot,IBAJAY,pieces or units,1,39,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,chicken,IBAJAY,pieces or units,1,200,1,1,1,0,0,0,0,0,3,0,2,2
AKLAN,chicken,IBAJAY,pieces or units,2,250,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,chicken,IBAJAY,whole (chicken),1,250,1,0,0,0,1,0,0,0,3,0,1,1
