pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,size_ord,w_l0,n_l0,weighing_approach,w_l1,n_l1,w_l2,n_l2,w_l3,n_l3,grams_used,n_g_used,fallback_level,unconvertible
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,SIBALOM,small cup,mL,small,100,5,3,100,5,100,38,100,185,100,5,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,SIBALOM,lipid/lapad,mL,medium,375,9,3,375,9,375,100,375,618,375,9,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,SIBALOM,long-neck,mL,large,750,9,3,750,9,750,118,750,478,750,9,own cell x size,0
loaf bread,ANTIQUE,SIBALOM,large packs,g,medium,640,6,2,640,6,640,47,640,411,640,6,own cell x size,0
loaf bread,ANTIQUE,SIBALOM,medium packs,g,medium,450,7,3,450,7,450,50,450,352,450,7,own cell x size,0
loaf bread,ANTIQUE,SIBALOM,small packs,g,small,360,6,3,360,6,375,32,370,259,360,6,own cell x size,0
mango,ANTIQUE,SIBALOM,pieces or units,g,small,185,5,3,245,13,230,82,230,539,185,5,own cell x size,0
mango,ANTIQUE,SIBALOM,pieces or units,g,medium,247.5,4,3,245,13,230,82,230,539,247.5,4,own cell x size,0
mango,ANTIQUE,SIBALOM,pieces or units,g,large,300,4,3,245,13,230,82,230,539,300,4,own cell x size,0
"prawns, lobster, shrimp",ANTIQUE,SIBALOM,tumpok,g,conventional_nsu,205,3,1,205,3,240,9,260,147,205,3,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,SIBALOM,bilog,g,small,250,5,3,250,5,250,25,229,222,250,5,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,SIBALOM,putos,g,conventional_nsu,250,8,1,250,8,250,79,250,473,250,8,own cell x size,0
cabbage,ANTIQUE,TIBIAO,pieces or units,g,small,512.5,6,3,725,16,655,219,655,1306,512.5,6,own cell x size,0
cabbage,ANTIQUE,TIBIAO,pieces or units,g,medium,730,5,3,725,16,655,219,655,1306,730,5,own cell x size,0
cabbage,ANTIQUE,TIBIAO,pieces or units,g,large,1115,5,3,725,16,655,219,655,1306,1115,5,own cell x size,0
camote,ANTIQUE,TIBIAO,bilog,g,small,82.5,6,3,85,9,145,117,140,509,82.5,6,own cell x size,0
camote,ANTIQUE,TIBIAO,bilog,g,medium,185,3,3,85,9,145,117,140,509,185,3,own cell x size,0
camote tops,ANTIQUE,TIBIAO,bugkos,g,conventional_nsu,142.5,6,1,142.5,6,225,69,195,449,142.5,6,own cell x size,0
carrot,ANTIQUE,TIBIAO,pieces or units,g,small,135,4,3,190,11,145,201,140,1169,135,4,own cell x size,0
carrot,ANTIQUE,TIBIAO,pieces or units,g,medium,210,4,3,190,11,145,201,140,1169,210,4,own cell x size,0
carrot,ANTIQUE,TIBIAO,pieces or units,g,large,315,3,3,190,11,145,201,140,1169,315,3,own cell x size,0
chicken,ANTIQUE,TIBIAO,pieces or units,g,medium,547.5,2,3,547.5,2,410,40,380,108,410,40,province x item x unit,0
chicken,ANTIQUE,TIBIAO,whole (chicken),g,medium,877.5,2,3,877.5,2,1105,65,1120,468,1105,65,province x item x unit,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,TIBIAO,pieces or units,g,small,36,6,3,36,6,31,94,32,505,36,6,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,TIBIAO,putos,g,small,300,6,3,300,6,125,105,210,482,300,6,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,TIBIAO,pieces or units,g,small,95,1,3,95,1,90,9,60,94,90,9,province x item x unit,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,TIBIAO,small cup,g,small,100,3,3,100,3,100,14,100,120,100,3,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,TIBIAO,lipid/lapad,mL,medium,375,6,3,375,6,375,100,375,618,375,6,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,TIBIAO,long-neck,mL,large,750,6,3,750,6,750,118,750,478,750,6,own cell x size,0
loaf bread,ANTIQUE,TIBIAO,large packs,g,large,680,3,3,680,3,640,47,640,411,680,3,own cell x size,0
loaf bread,ANTIQUE,TIBIAO,medium packs,g,medium,500,3,3,500,3,450,50,450,352,500,3,own cell x size,0
loaf bread,ANTIQUE,TIBIAO,small packs,g,conventional_nsu,387.5,4,1,387.5,4,375,32,370,259,387.5,4,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,TIBIAO,putos,g,conventional_nsu,210,4,1,210,4,250,79,250,473,210,4,own cell x size,0
cabbage,ANTIQUE,TOBIAS FORNIER,pieces or units,g,small,465,7,3,560,20,655,219,655,1306,465,7,own cell x size,0
cabbage,ANTIQUE,TOBIAS FORNIER,pieces or units,g,medium,580,7,3,560,20,655,219,655,1306,580,7,own cell x size,0
cabbage,ANTIQUE,TOBIAS FORNIER,pieces or units,g,large,772.5,6,3,560,20,655,219,655,1306,772.5,6,own cell x size,0
camote,ANTIQUE,TOBIAS FORNIER,bilog,g,small,65,5,3,85,13,145,117,140,509,65,5,own cell x size,0
camote,ANTIQUE,TOBIAS FORNIER,bilog,g,medium,87.5,4,3,85,13,145,117,140,509,87.5,4,own cell x size,0
camote,ANTIQUE,TOBIAS FORNIER,bilog,g,large,155,4,3,85,13,145,117,140,509,155,4,own cell x size,0
camote tops,ANTIQUE,TOBIAS FORNIER,bugkos,g,conventional_nsu,190,5,1,190,5,225,69,195,449,190,5,own cell x size,0
camote tops,ANTIQUE,TOBIAS FORNIER,bundle,g,conventional_nsu,645,3,1,645,3,610,9,500,101,645,3,own cell x size,0
carrot,ANTIQUE,TOBIAS FORNIER,pieces or units,g,small,75,5,3,115,15,145,201,140,1169,75,5,own cell x size,0
carrot,ANTIQUE,TOBIAS FORNIER,pieces or units,g,medium,117.5,6,3,115,15,145,201,140,1169,117.5,6,own cell x size,0
carrot,ANTIQUE,TOBIAS FORNIER,pieces or units,g,large,170,4,3,115,15,145,201,140,1169,170,4,own cell x size,0
chicken,ANTIQUE,TOBIAS FORNIER,pieces or units,g,small,150,1,3,185,2,410,40,380,108,410,40,province x item x unit,0
chicken,ANTIQUE,TOBIAS FORNIER,pieces or units,g,medium,220,1,3,185,2,410,40,380,108,410,40,province x item x unit,0
chicken,ANTIQUE,TOBIAS FORNIER,whole (chicken),g,small,750,4,3,1027.5,10,1105,65,1120,468,750,4,own cell x size,0
chicken,ANTIQUE,TOBIAS FORNIER,whole (chicken),g,medium,1055,3,3,1027.5,10,1105,65,1120,468,1055,3,own cell x size,0
chicken,ANTIQUE,TOBIAS FORNIER,whole (chicken),g,large,1310,3,3,1027.5,10,1105,65,1120,468,1310,3,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,TOBIAS FORNIER,putos,g,conventional_nsu,365,8,1,365,8,125,105,210,482,365,8,own cell x size,0
"drinks at restaurant, hotel, cafe, or kiosk",ANTIQUE,TOBIAS FORNIER,pieces,mL,small,215,4,3,352.5,12,310,80,355,164,352.5,12,cell pooled across sizes,0
"drinks at restaurant, hotel, cafe, or kiosk",ANTIQUE,TOBIAS FORNIER,pieces,mL,medium,427.5,6,3,352.5,12,310,80,355,164,352.5,12,cell pooled across sizes,0
"drinks at restaurant, hotel, cafe, or kiosk",ANTIQUE,TOBIAS FORNIER,pieces,mL,large,1000,2,3,352.5,12,310,80,355,164,352.5,12,cell pooled across sizes,0
fresh fish,ANTIQUE,TOBIAS FORNIER,pieces or units,g,small,340,3,3,1450,7,490,87,390,685,1450,7,cell pooled across sizes,0
fresh fish,ANTIQUE,TOBIAS FORNIER,pieces or units,g,medium,1517.5,2,3,1450,7,490,87,390,685,1450,7,cell pooled across sizes,0
fresh fish,ANTIQUE,TOBIAS FORNIER,pieces or units,g,large,2862.5,2,3,1450,7,490,87,390,685,1450,7,cell pooled across sizes,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,TOBIAS FORNIER,putos,mL,conventional_nsu,500,5,1,500,5,450,22,65,148,500,5,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,TOBIAS FORNIER,small cup,mL,small,100,4,3,100,4,100,38,100,185,100,4,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,TOBIAS FORNIER,lipid/lapad,mL,medium,375,8,3,375,8,375,100,375,618,375,8,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,TOBIAS FORNIER,long-neck,mL,medium,750,8,3,750,10,750,118,750,478,750,10,cell pooled across sizes,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,TOBIAS FORNIER,long-neck,mL,large,1000,2,3,750,10,750,118,750,478,750,10,cell pooled across sizes,0
loaf bread,ANTIQUE,TOBIAS FORNIER,large packs,g,large,640,3,3,640,3,640,47,640,411,640,3,own cell x size,0
loaf bread,ANTIQUE,TOBIAS FORNIER,medium packs,g,medium,450,4,2,450,4,450,50,450,352,450,4,own cell x size,0
loaf bread,ANTIQUE,TOBIAS FORNIER,small packs,g,medium,360,1,2,360,1,375,32,370,259,375,32,province x item x unit,0
mango,ANTIQUE,TOBIAS FORNIER,pieces or units,g,small,187.5,2,3,205,6,230,82,230,539,205,6,cell pooled across sizes,0
mango,ANTIQUE,TOBIAS FORNIER,pieces or units,g,medium,205,3,3,205,6,230,82,230,539,205,6,cell pooled across sizes,0
mango,ANTIQUE,TOBIAS FORNIER,pieces or units,g,large,235,1,3,205,6,230,82,230,539,205,6,cell pooled across sizes,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,TOBIAS FORNIER,cans,g,small,150,6,3,155,13,155,57,155,95,150,6,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,TOBIAS FORNIER,cans,g,medium,155,4,3,155,13,155,57,155,95,155,4,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,TOBIAS FORNIER,cans,g,large,250,3,3,155,13,155,57,155,95,250,3,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,TOBIAS FORNIER,pack,g,medium,255,2,2,255,2,250,6,250,85,250,6,province x item x unit,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,TOBIAS FORNIER,putos,g,conventional_nsu,630,4,1,630,4,250,79,250,473,630,4,own cell x size,0
rice,ANTIQUE,TOBIAS FORNIER,gantang,g,conventional_nsu,2255,3,1,2255,3,2257.5,6,2247.5,28,2255,3,own cell x size,0
cabbage,ANTIQUE,VALDERRAMA,pieces or units,g,small,405,7,3,595,21,655,219,655,1306,405,7,own cell x size,0
cabbage,ANTIQUE,VALDERRAMA,pieces or units,g,medium,597.5,8,3,595,21,655,219,655,1306,597.5,8,own cell x size,0
cabbage,ANTIQUE,VALDERRAMA,pieces or units,g,large,975,6,3,595,21,655,219,655,1306,975,6,own cell x size,0
camote tops,ANTIQUE,VALDERRAMA,bugkos,g,conventional_nsu,210,3,1,210,3,225,69,195,449,210,3,own cell x size,0
camote tops,ANTIQUE,VALDERRAMA,bundle,g,conventional_nsu,1110,1,1,1110,1,610,9,500,101,610,9,province x item x unit,0
carrot,ANTIQUE,VALDERRAMA,pieces or units,g,small,90,4,3,110,11,145,201,140,1169,90,4,own cell x size,0
carrot,ANTIQUE,VALDERRAMA,pieces or units,g,medium,140,4,3,110,11,145,201,140,1169,140,4,own cell x size,0
carrot,ANTIQUE,VALDERRAMA,pieces or units,g,large,265,3,3,110,11,145,201,140,1169,265,3,own cell x size,0
chicken,ANTIQUE,VALDERRAMA,pieces or units,g,small,200,2,3,232.5,4,410,40,380,108,232.5,4,cell pooled across sizes,0
chicken,ANTIQUE,VALDERRAMA,pieces or units,g,medium,327.5,2,3,232.5,4,410,40,380,108,232.5,4,cell pooled across sizes,0
chicken,ANTIQUE,VALDERRAMA,whole (chicken),g,small,970,2,3,1147.5,6,1105,65,1120,468,1147.5,6,cell pooled across sizes,0
chicken,ANTIQUE,VALDERRAMA,whole (chicken),g,medium,1185,3,3,1147.5,6,1105,65,1120,468,1147.5,6,cell pooled across sizes,0
chicken,ANTIQUE,VALDERRAMA,whole (chicken),g,large,1705,1,3,1147.5,6,1105,65,1120,468,1147.5,6,cell pooled across sizes,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,VALDERRAMA,pieces or units,g,small,24,4,3,40,12,31,94,32,505,24,4,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,VALDERRAMA,pieces or units,g,medium,45,5,3,40,12,31,94,32,505,45,5,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,VALDERRAMA,pieces or units,g,large,98,3,3,40,12,31,94,32,505,98,3,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,VALDERRAMA,putos,g,conventional_nsu,290,6,1,290,6,125,105,210,482,290,6,own cell x size,0
"drinks at restaurant, hotel, cafe, or kiosk",ANTIQUE,VALDERRAMA,pieces,mL,small,195,7,3,350,20,310,80,355,164,195,7,own cell x size,0
"drinks at restaurant, hotel, cafe, or kiosk",ANTIQUE,VALDERRAMA,pieces,mL,medium,352.5,8,3,350,20,310,80,355,164,352.5,8,own cell x size,0
"drinks at restaurant, hotel, cafe, or kiosk",ANTIQUE,VALDERRAMA,pieces,mL,large,1000,5,3,350,20,310,80,355,164,1000,5,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,VALDERRAMA,pieces or units,mL,medium,112.5,4,2,112.5,4,110,33,100,166,112.5,4,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,VALDERRAMA,small cup,mL,small,100,3,3,100,3,100,38,100,185,100,3,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,VALDERRAMA,lipid/lapad,mL,medium,375,7,3,375,7,375,100,375,618,375,7,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,VALDERRAMA,long-neck,mL,small,750,9,3,750,14,750,118,750,478,750,9,own cell x size,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,VALDERRAMA,long-neck,mL,medium,1000,5,3,750,14,750,118,750,478,1000,5,own cell x size,0
loaf bread,ANTIQUE,VALDERRAMA,medium packs,g,medium,600,1,3,600,1,450,50,450,352,450,50,province x item x unit,0
loaf bread,ANTIQUE,VALDERRAMA,small packs,g,small,385,1,3,385,1,375,32,370,259,375,32,province x item x unit,0
loaf bread,ANTIQUE,VALDERRAMA,tama-tama nga putos,g,medium,500,1,2,500,1,500,7,450,23,500,7,province x item x unit,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,VALDERRAMA,cans,g,conventional_nsu,198,7,1,198,7,155,57,155,95,198,7,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,VALDERRAMA,putos,g,conventional_nsu,250,4,1,250,4,250,79,250,473,250,4,own cell x size,0
cabbage,CAPIZ,CUARTERO,pieces or units,g,small,472.5,4,3,630,10,695,169,655,1306,630,10,cell pooled across sizes,0
cabbage,CAPIZ,CUARTERO,pieces or units,g,medium,790,4,3,630,10,695,169,655,1306,630,10,cell pooled across sizes,0
cabbage,CAPIZ,CUARTERO,pieces or units,g,large,1092.5,2,3,630,10,695,169,655,1306,630,10,cell pooled across sizes,0
camote tops,CAPIZ,CUARTERO,bugkos,g,small,220,3,3,440,9,210,51,195,449,440,9,cell pooled across sizes,0
camote tops,CAPIZ,CUARTERO,bugkos,g,medium,455,4,3,440,9,210,51,195,449,440,9,cell pooled across sizes,0
camote tops,CAPIZ,CUARTERO,bugkos,g,large,680,2,3,440,9,210,51,195,449,440,9,cell pooled across sizes,0
carrot,CAPIZ,CUARTERO,pieces or units,g,small,90,3,3,125,9,135,153,140,1169,125,9,cell pooled across sizes,0
carrot,CAPIZ,CUARTERO,pieces or units,g,medium,132.5,4,3,125,9,135,153,140,1169,125,9,cell pooled across sizes,0
carrot,CAPIZ,CUARTERO,pieces or units,g,large,202.5,2,3,125,9,135,153,140,1169,125,9,cell pooled across sizes,0
chicken,CAPIZ,CUARTERO,bilog,g,small,1085,1,3,1295,3,1192.5,34,1095,230,1295,3,cell pooled across sizes,0
chicken,CAPIZ,CUARTERO,bilog,g,medium,1330,2,3,1295,3,1192.5,34,1095,230,1295,3,cell pooled across sizes,0
chicken,CAPIZ,CUARTERO,pieces or units,g,small,225,3,3,250,8,250,8,380,108,250,8,cell pooled across sizes,0
chicken,CAPIZ,CUARTERO,pieces or units,g,medium,250,3,3,250,8,250,8,380,108,250,8,cell pooled across sizes,0
chicken,CAPIZ,CUARTERO,pieces or units,g,large,327.5,2,3,250,8,250,8,380,108,250,8,cell pooled across sizes,0
chicken,CAPIZ,CUARTERO,whole (chicken),g,small,1110,3,3,1180,9,1160,75,1120,468,1180,9,cell pooled across sizes,0
chicken,CAPIZ,CUARTERO,whole (chicken),g,medium,1197.5,4,3,1180,9,1160,75,1120,468,1180,9,cell pooled across sizes,0
chicken,CAPIZ,CUARTERO,whole (chicken),g,large,1375,2,3,1180,9,1160,75,1120,468,1180,9,cell pooled across sizes,0
"crackers, cookies, buiscuits, chips/curls",CAPIZ,CUARTERO,pieces or units,g,medium,29,4,2,29,4,31.5,88,32,505,29,4,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",CAPIZ,CUARTERO,putos,g,medium,290,4,2,290,4,287.5,54,210,482,290,4,own cell x size,0
fresh fish,CAPIZ,CUARTERO,pieces or units,g,small,370,3,3,475,9,377.5,120,390,685,475,9,cell pooled across sizes,0
fresh fish,CAPIZ,CUARTERO,pieces or units,g,medium,495,4,3,475,9,377.5,120,390,685,475,9,cell pooled across sizes,0
fresh fish,CAPIZ,CUARTERO,pieces or units,g,large,797.5,2,3,475,9,377.5,120,390,685,475,9,cell pooled across sizes,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,cone,g,medium,100,1,2,100,1,105,4,107,14,105,4,province x item x unit,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,cone,mL,medium,110,1,2,110,1,110,1,110,25,110,25,item x unit (national),0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,pieces or units,g,medium,395,1,2,395,1,47,6,60,94,47,6,province x item x unit,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,putos,mL,medium,600,3,2,600,3,62.5,22,65,148,600,3,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,tupperware,g,medium,1025,1,2,1025,1,1025,1,1025,1,,,,1
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,tupperware,mL,medium,1250,1,2,1250,1,1250,1,700,4,700,4,item x unit (national),0
"liquor (e.g, whisky, coconut wine)",CAPIZ,CUARTERO,lipid/lapad,mL,medium,375,4,3,375,4,375,103,375,618,375,4,own cell x size,0
loaf bread,CAPIZ,CUARTERO,large packs,g,large,640,5,3,640,5,640,68,640,411,640,5,own cell x size,0
loaf bread,CAPIZ,CUARTERO,medium packs,g,medium,450,5,3,450,5,450,39,450,352,450,5,own cell x size,0
loaf bread,CAPIZ,CUARTERO,small packs,g,small,220,2,3,220,2,400,33,370,259,400,33,province x item x unit,0
mango,CAPIZ,CUARTERO,pieces or units,g,small,160,3,3,220,9,230,73,230,539,220,9,cell pooled across sizes,0
mango,CAPIZ,CUARTERO,pieces or units,g,medium,227.5,4,3,220,9,230,73,230,539,220,9,cell pooled across sizes,0
mango,CAPIZ,CUARTERO,pieces or units,g,large,292.5,2,3,220,9,230,73,230,539,220,9,cell pooled across sizes,0
"prawns, lobster, shrimp",CAPIZ,CUARTERO,tumpok,g,small,260,3,3,380,6,290,39,260,147,380,6,cell pooled across sizes,0
"prawns, lobster, shrimp",CAPIZ,CUARTERO,tumpok,g,medium,505,2,3,380,6,290,39,260,147,380,6,cell pooled across sizes,0
"prawns, lobster, shrimp",CAPIZ,CUARTERO,tumpok,g,large,810,1,3,380,6,290,39,260,147,380,6,cell pooled across sizes,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,CUARTERO,bilog,g,large,70,3,3,70,3,70,41,229,222,70,3,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,CUARTERO,putos,g,medium,250,7,3,250,7,250,61,250,473,250,7,own cell x size,0
cabbage,CAPIZ,DAO,pieces or units,g,small,500,3,3,535,7,695,169,655,1306,535,7,cell pooled across sizes,0
cabbage,CAPIZ,DAO,pieces or units,g,medium,540,2,3,535,7,695,169,655,1306,535,7,cell pooled across sizes,0
cabbage,CAPIZ,DAO,pieces or units,g,large,967.5,2,3,535,7,695,169,655,1306,535,7,cell pooled across sizes,0
cabbage,CAPIZ,DAO,putos (mix vegetable),g,medium,160,2,2,160,2,165,14,160,37,165,14,province x item x unit,0
camote,CAPIZ,DAO,bilog,g,small,97.5,2,3,130,6,145,58,140,509,130,6,cell pooled across sizes,0
camote,CAPIZ,DAO,bilog,g,medium,145,3,3,130,6,145,58,140,509,130,6,cell pooled across sizes,0
camote,CAPIZ,DAO,bilog,g,large,260,1,3,130,6,145,58,140,509,130,6,cell pooled across sizes,0
camote tops,CAPIZ,DAO,bugkos,g,small,175,1,3,175,1,210,51,195,449,210,51,province x item x unit,0
carrot,CAPIZ,DAO,pieces or units,g,small,130,3,3,157.5,8,135,153,140,1169,157.5,8,cell pooled across sizes,0
carrot,CAPIZ,DAO,pieces or units,g,medium,160,3,3,157.5,8,135,153,140,1169,157.5,8,cell pooled across sizes,0
carrot,CAPIZ,DAO,pieces or units,g,large,212.5,2,3,157.5,8,135,153,140,1169,157.5,8,cell pooled across sizes,0
chicken,CAPIZ,DAO,bilog,g,medium,1040,1,3,1185,2,1192.5,34,1095,230,1192.5,34,province x item x unit,0
chicken,CAPIZ,DAO,bilog,g,large,1330,1,3,1185,2,1192.5,34,1095,230,1192.5,34,province x item x unit,0
chicken,CAPIZ,DAO,whole (chicken),g,medium,992.5,2,3,1097.5,4,1160,75,1120,468,1097.5,4,cell pooled across sizes,0
chicken,CAPIZ,DAO,whole (chicken),g,large,1265,2,3,1097.5,4,1160,75,1120,468,1097.5,4,cell pooled across sizes,0
"drinks at restaurant, hotel, cafe, or kiosk",CAPIZ,DAO,pieces,mL,small,473,2,3,486.5,4,473,9,355,164,486.5,4,cell pooled across sizes,0
"drinks at restaurant, hotel, cafe, or kiosk",CAPIZ,DAO,pieces,mL,medium,500,1,3,486.5,4,473,9,355,164,486.5,4,cell pooled across sizes,0
"drinks at restaurant, hotel, cafe, or kiosk",CAPIZ,DAO,pieces,mL,large,651,1,3,486.5,4,473,9,355,164,486.5,4,cell pooled across sizes,0
fresh fish,CAPIZ,DAO,pieces or units,g,small,285,2,3,375,6,377.5,120,390,685,375,6,cell pooled across sizes,0
fresh fish,CAPIZ,DAO,pieces or units,g,medium,375,3,3,375,6,377.5,120,390,685,375,6,cell pooled across sizes,0
fresh fish,CAPIZ,DAO,pieces or units,g,large,760,1,3,375,6,377.5,120,390,685,375,6,cell pooled across sizes,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,DAO,pieces or units,mL,medium,75,2,2,75,2,65,17,100,166,65,17,province x item x unit,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,DAO,putos,mL,medium,65,1,2,65,1,62.5,22,65,148,62.5,22,province x item x unit,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,DAO,small cup,mL,medium,110,1,2,110,1,100,27,100,185,100,27,province x item x unit,0
"liquor (e.g, whisky, coconut wine)",CAPIZ,DAO,lipid/lapad,mL,small,375,2,3,375,3,375,103,375,618,375,3,cell pooled across sizes,0
"liquor (e.g, whisky, coconut wine)",CAPIZ,DAO,lipid/lapad,mL,medium,750,1,3,375,3,375,103,375,618,375,3,cell pooled across sizes,0
"liquor (e.g, whisky, coconut wine)",CAPIZ,DAO,long-neck,mL,large,750,3,3,750,3,750,26,750,478,750,3,own cell x size,0
loaf bread,CAPIZ,DAO,large packs,g,large,640,1,3,640,1,640,68,640,411,640,68,province x item x unit,0
loaf bread,CAPIZ,DAO,medium packs,g,medium,450,1,3,545,2,450,39,450,352,450,39,province x item x unit,0
loaf bread,CAPIZ,DAO,medium packs,g,large,640,1,3,545,2,450,39,450,352,450,39,province x item x unit,0
loaf bread,CAPIZ,DAO,small packs,g,small,360,1,3,450,3,400,33,370,259,450,3,cell pooled across sizes,0
loaf bread,CAPIZ,DAO,small packs,g,medium,545,2,3,450,3,400,33,370,259,450,3,cell pooled across sizes,0
mango,CAPIZ,DAO,pieces or units,g,small,155,3,3,200,7,230,73,230,539,200,7,cell pooled across sizes,0
mango,CAPIZ,DAO,pieces or units,g,medium,225,2,3,200,7,230,73,230,539,200,7,cell pooled across sizes,0
mango,CAPIZ,DAO,pieces or units,g,large,297.5,2,3,200,7,230,73,230,539,200,7,cell pooled across sizes,0
"prawns, lobster, shrimp",CAPIZ,DAO,tumpok,g,conventional_nsu,355,1,1,355,1,290,39,260,147,290,39,province x item x unit,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,DAO,bilog,g,conventional_nsu,250,3,1,250,3,70,41,229,222,250,3,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,DAO,putos,g,conventional_nsu,725,2,1,725,2,250,61,250,473,250,61,province x item x unit,0
cabbage,CAPIZ,DUMALAG,pack,g,small,175,2,3,175,2,160,11,150,43,160,11,province x item x unit,0
cabbage,CAPIZ,DUMALAG,pieces or units,g,small,407.5,6,3,635,17,695,169,655,1306,407.5,6,own cell x size,0
cabbage,CAPIZ,DUMALAG,pieces or units,g,medium,662.5,6,3,635,17,695,169,655,1306,662.5,6,own cell x size,0
cabbage,CAPIZ,DUMALAG,pieces or units,g,large,1125,5,3,635,17,695,169,655,1306,1125,5,own cell x size,0
camote,CAPIZ,DUMALAG,bilog,g,small,80,2,3,85,4,145,58,140,509,85,4,cell pooled across sizes,0
camote,CAPIZ,DUMALAG,bilog,g,medium,120,2,3,85,4,145,58,140,509,85,4,cell pooled across sizes,0
camote tops,CAPIZ,DUMALAG,bugkos,g,conventional_nsu,187.5,2,1,187.5,2,210,51,195,449,210,51,province x item x unit,0
carrot,CAPIZ,DUMALAG,pieces or units,g,small,90,5,3,160,14,135,153,140,1169,90,5,own cell x size,0
carrot,CAPIZ,DUMALAG,pieces or units,g,medium,165,5,3,160,14,135,153,140,1169,165,5,own cell x size,0
carrot,CAPIZ,DUMALAG,pieces or units,g,large,300,4,3,160,14,135,153,140,1169,300,4,own cell x size,0
chicken,CAPIZ,DUMALAG,whole (chicken),g,medium,1005,3,3,1355,5,1160,75,1120,468,1355,5,cell pooled across sizes,0
chicken,CAPIZ,DUMALAG,whole (chicken),g,large,1492.5,2,3,1355,5,1160,75,1120,468,1355,5,cell pooled across sizes,0
"crackers, cookies, buiscuits, chips/curls",CAPIZ,DUMALAG,pieces or units,g,medium,31,6,2,31,6,31.5,88,32,505,31,6,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",CAPIZ,DUMALAG,putos,g,conventional_nsu,310,4,1,310,4,287.5,54,210,482,310,4,own cell x size,0
