pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,size_ord,w_l0,n_l0,weighing_approach,w_l1,n_l1,w_l2,n_l2,w_l3,n_l3,grams_used,n_g_used,fallback_level,unconvertible
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,pieces or units,g,medium,29,6,2,29,6,30,96,32,505,29,6,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,BANGA,putos,g,medium,310,4,2,310,4,280,93,210,482,310,4,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BANGA,pieces or units,g,small,85,1,3,85,1,75,5,60,94,75,5,province x item x unit,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BANGA,putos,g,medium,60,1,3,60,1,55,7,58,82,55,7,province x item x unit,0
"liquor (e.g, whisky, coconut wine)",AKLAN,BANGA,lipid/lapad,mL,medium,375,6,3,375,6,375,76,375,618,375,6,own cell x size,0
"liquor (e.g, whisky, coconut wine)",AKLAN,BANGA,long-neck,mL,large,750,7,3,750,7,750,104,750,478,750,7,own cell x size,0
loaf bread,AKLAN,BANGA,large packs,g,large,640,4,3,640,4,640,43,640,411,640,4,own cell x size,0
loaf bread,AKLAN,BANGA,medium packs,g,medium,450,5,3,450,5,450,51,450,352,450,5,own cell x size,0
loaf bread,AKLAN,BANGA,small packs,g,small,360,2,3,360,2,360,33,370,259,360,33,province x item x unit,0
mango,AKLAN,BANGA,pieces or units,g,small,185,2,3,260,5,230,77,230,539,260,5,cell pooled across sizes,0
mango,AKLAN,BANGA,pieces or units,g,medium,300,2,3,260,5,230,77,230,539,260,5,cell pooled across sizes,0
mango,AKLAN,BANGA,pieces or units,g,large,350,1,3,260,5,230,77,230,539,260,5,cell pooled across sizes,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BANGA,putos,g,medium,360,1,2,360,1,300,81,250,473,300,81,province x item x unit,0
cabbage,AKLAN,BATAN,pieces or units,g,small,550,8,3,755,23,722.5,226,655,1306,550,8,own cell x size,0
cabbage,AKLAN,BATAN,pieces or units,g,medium,762.5,8,3,755,23,722.5,226,655,1306,762.5,8,own cell x size,0
cabbage,AKLAN,BATAN,pieces or units,g,large,1060,7,3,755,23,722.5,226,655,1306,1060,7,own cell x size,0
camote tops,AKLAN,BATAN,bugkos,g,conventional_nsu,160,3,1,160,3,150,37,195,449,160,3,own cell x size,0
carrot,AKLAN,BATAN,pieces or units,g,small,125,5,3,175,15,145,195,140,1169,125,5,own cell x size,0
