grp,pull_province,pull_item,harmonized_nsu_unit,n_pairs,n_price,n_mun,gpp_med,cv_gpp,cv_grams,cv_p,estimable,tighten
"ANTIQUE ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) small cup",ANTIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,6,6,5,3.484848484848485,.4016934370353236,.2456228379292054,.4947676274807333,1,1.635407523265819
ILOILO mango pieces or units,ILOILO,mango,pieces or units,23,17,9,3.35,.3971532262110496,.2855829849877595,.4012505331430657,1,1.390675380145887
"CAPIZ liquor (e.g, whisky, coconut wine) lipid/lapad",CAPIZ,"liquor (e.g, whisky, coconut wine)",lipid/lapad,23,16,16,5.357142857142857,.3815991982009939,.390091485312468,.3280785406662394,1,.9782300115967114
ILOILO loaf bread small packs,ILOILO,loaf bread,small packs,22,17,17,8.884550084889643,.3761804287742442,.3389647692790586,.5463224522321237,1,1.109792116668465
"CAPIZ crackers, cookies, buiscuits, chips/curls putos",CAPIZ,"crackers, cookies, buiscuits, chips/curls",putos,17,13,9,4.125,.3569440980737622,.2863087918512573,.2814200301142897,1,1.246710224180615
ANTIQUE loaf bread large packs,ANTIQUE,loaf bread,large packs,5,5,4,3.950617283950617,.354994742440736,.0138886209782596,.2610626365961913,1,25.56011449923099
"CAPIZ ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) small cup",CAPIZ,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,5,4,4,3.5,.3530769434594865,.0775079090809197,.4135908590447427,1,4.555366641240024
"AKLAN crackers, cookies, buiscuits, chips/curls pieces or units",AKLAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,8,7,4,.8478835978835979,.3394942041398167,.5642517354217003,.4781965288894263,1,.601671528552928
ILOILO cabbage pieces or units,ILOILO,cabbage,pieces or units,40,27,14,12.15625,.3377971059954536,.3535637474163589,.4456417829673803,1,.9554065100392253
NEGROS OCCIDENTAL loaf bread medium packs,NEGROS OCCIDENTAL,loaf bread,medium packs,4,4,4,6.0125,.3296890241281063,.0645161290322581,.2972262417263812,1,5.110179873985648
ILOILO carrot pieces or units,ILOILO,carrot,pieces or units,15,12,5,2.875,.3225619210695281,.3944874415071246,.5224575044871037,1,.8176734849585889
NEGROS OCCIDENTAL chicken bilog,NEGROS OCCIDENTAL,chicken,bilog,23,16,10,4.096153846153846,.311199506863082,.3048424885667314,.2969388624513883,1,1.020853452306597
"ANTIQUE liquor (e.g, whisky, coconut wine) lipid/lapad",ANTIQUE,"liquor (e.g, whisky, coconut wine)",lipid/lapad,13,12,13,2.777777777777778,.3081164744290383,0,.2452454388505761,1,
CAPIZ loaf bread large packs,CAPIZ,loaf bread,large packs,23,19,10,4.475524475524476,.3035315291955241,.162561490223108,.3717704668725833,1,1.867179790114751
"CAPIZ crackers, cookies, buiscuits, chips/curls pieces or units",CAPIZ,"crackers, cookies, buiscuits, chips/curls",pieces or units,16,15,9,.7790668348045398,.3033171479806478,.5473634849594092,.4376388404048056,1,.5541420944496158
"AKLAN preserved or processed meat (tocino, tapa, longaniza, etc) pieces or units",AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,6,6,6,1.072981366459627,.2996553737966628,.3364864640603954,.2267454851603959,1,.8905421340897628
ILOILO loaf bread large packs,ILOILO,loaf bread,large packs,48,35,29,4.431044498663878,.299066903922372,.1186691187622218,.3228581515653707,1,2.520174642247193
"ANTIQUE liquor (e.g, whisky, coconut wine) long-neck",ANTIQUE,"liquor (e.g, whisky, coconut wine)",long-neck,11,11,8,3.508771929824561,.2972971017009297,.1427248064296126,.4050851783133508,1,2.083009317988092
CAPIZ mango pieces or units,CAPIZ,mango,pieces or units,3,3,1,3.179487179487179,.2954438237286314,.4096066098980453,.7472925167800127,1,.7212867580485822
ANTIQUE cabbage pieces or units,ANTIQUE,cabbage,pieces or units,9,9,3,8.169811320754716,.290512168532138,.3425762807752009,.3774928325391914,1,.8480218416603469
"ILOILO liquor (e.g, whisky, coconut wine) long-neck",ILOILO,"liquor (e.g, whisky, coconut wine)",long-neck,11,10,8,3.260869565217391,.2863521852207436,.1882706403428762,.2702353229844872,1,1.520960382878831
"NEGROS OCCIDENTAL liquor (e.g, whisky, coconut wine) lipid/lapad",NEGROS OCCIDENTAL,"liquor (e.g, whisky, coconut wine)",lipid/lapad,15,14,13,3.75,.2762487176130312,.3104698017127927,.3212920091420873,1,.8897764487529175
ILOILO chicken bilog,ILOILO,chicken,bilog,37,20,16,4.118421052631579,.2749655829309876,.2850403559051787,.4179842113054806,1,.9646549242397712
AKLAN cabbage pieces or units,AKLAN,cabbage,pieces or units,12,12,4,10.32744166550231,.2722285212767123,.365179594085003,.4325552995732446,1,.745464767709188
"AKLAN liquor (e.g, whisky, coconut wine) lipid/lapad",AKLAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,10,8,9,4.1289592760181,.2637839245228963,0,.2791940037115866,1,
ILOILO fresh fish pack,ILOILO,fresh fish,pack,6,5,4,4.468888888888889,.2636407932178339,.2343420439290066,.498568848948462,1,1.125025577133326
"ANTIQUE crackers, cookies, buiscuits, chips/curls pieces or units",ANTIQUE,"crackers, cookies, buiscuits, chips/curls",pieces or units,5,4,4,.8235294117647058,.2615639535900149,.2683527161630917,.2362489739629502,1,.9747020910757211
AKLAN chicken whole (chicken),AKLAN,chicken,whole (chicken),13,12,9,4.119565217391305,.2552423897717816,.2136100306120783,.2465737018095134,1,1.1948988960884
NEGROS OCCIDENTAL cabbage pieces or units,NEGROS OCCIDENTAL,cabbage,pieces or units,5,5,3,11.86666666666667,.2308577612347198,.3217226412734733,.4087126428909839,1,.7175676549244918
ILOILO chicken whole (chicken),ILOILO,chicken,whole (chicken),66,32,25,3.809879372738239,.2303437151375407,.2336027500645655,.3263535561572276,1,.9860488160943136
ANTIQUE loaf bread medium packs,ANTIQUE,loaf bread,medium packs,3,3,3,5.294117647058823,.2249306562582088,.0190335253578998,.200816348075577,1,11.81760351951051
NEGROS OCCIDENTAL chicken whole (chicken),NEGROS OCCIDENTAL,chicken,whole (chicken),22,19,9,4.17065772669221,.2226920318233067,.1654643952932104,.3054966911221175,1,1.345860729909213
ANTIQUE chicken whole (chicken),ANTIQUE,chicken,whole (chicken),21,10,9,4,.218660053999757,.2296980357193778,.201350059650088,1,.9519456851903343
CAPIZ loaf bread medium packs,CAPIZ,loaf bread,medium packs,8,7,6,6.019261637239165,.2157473348557329,.1727532179379598,.309153901290957,1,1.248875925038996
ILOILO loaf bread tama-tama nga putos,ILOILO,loaf bread,tama-tama nga putos,4,3,4,4.557692307692307,.2145084300471715,0,.1769706822811538,1,
"ANTIQUE preserved or processed meat (tocino, tapa, longaniza, etc) cans",ANTIQUE,"preserved or processed meat (tocino, tapa, longaniza, etc)",cans,3,3,1,1.209964412811388,.2052675837293309,.3815756805667783,.3979846673950763,1,.5379472387350108
AKLAN loaf bread large packs,AKLAN,loaf bread,large packs,6,6,6,4.145816942040389,.1855166627815085,.0375094714796795,.1523858697097511,1,4.94586181738153
CAPIZ chicken bilog,CAPIZ,chicken,bilog,10,7,5,4.166956521739131,.1794122148109759,.1964292222134826,.2805427061178393,1,.9133682493330229
AKLAN loaf bread medium packs,AKLAN,loaf bread,medium packs,6,5,5,6.905982905982906,.1652133810060914,.2166521932426595,.2918897245960105,1,.762574237229371
CAPIZ carrot pieces or units,CAPIZ,carrot,pieces or units,7,6,3,2.384615384615385,.1570586783866754,.3483518567993176,.408956440675985,1,.4508621823628042
CAPIZ cabbage pieces or units,CAPIZ,cabbage,pieces or units,9,7,3,10.21428571428571,.1523456758507557,.3953439808273448,.4013625390286024,1,.3853496783533638
CAPIZ chicken whole (chicken),CAPIZ,chicken,whole (chicken),32,16,12,4.571428571428571,.1486019446189772,.1817796919963249,.1915866596729563,1,.8174837518262572
NEGROS OCCIDENTAL loaf bread large packs,NEGROS OCCIDENTAL,loaf bread,large packs,4,4,4,4.071549893842887,.1388083978283285,.0389105058365759,.1100546845740314,1,3.567375824188042
NEGROS OCCIDENTAL loaf bread small packs,NEGROS OCCIDENTAL,loaf bread,small packs,4,4,3,5.823076923076923,.1365639301701715,.2626385161754479,.1540364655173004,1,.5199691658284575
ILOILO loaf bread medium packs,ILOILO,loaf bread,medium packs,17,11,13,6.333333333333333,.1313040632730493,.1515509774914664,.2529125320704042,1,.8664019556089162
"NEGROS OCCIDENTAL prawns, lobster, shrimp tumpok",NEGROS OCCIDENTAL,"prawns, lobster, shrimp",tumpok,3,3,1,2.05,.1087097364074577,.3508759664162434,.25,1,.3098238318166699
