pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,o2_cf,o2_rows,o2_maxrung,o1_grams,o1_n,ratio,logr
camote tops,ANTIQUE,TOBIAS FORNIER,bundle,g,645,75,0,645,3,1,0
carrot,ANTIQUE,TOBIAS FORNIER,pieces or units,g,57.5,23,0,117.5,15,.4893617021276596,-.3103700219181246
chicken,ANTIQUE,TOBIAS FORNIER,pieces or units,g,150,12,0,185,2,.8108108108108109,-.0910804693473325
chicken,ANTIQUE,TOBIAS FORNIER,whole (chicken),g,785,39,0,1055,10,.7440758293838863,-.1283828028884589
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,TOBIAS FORNIER,putos,g,336.8089430894309,22,0,365,8,.9227642276422764,-.0349092499102564
fresh fish,ANTIQUE,TOBIAS FORNIER,pieces or units,g,1450,1,0,1450,7,1,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,TOBIAS FORNIER,putos,mL,166.6666666666667,1,0,500,5,.3333333333333334,-.4771212547196623
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,TOBIAS FORNIER,small cup,mL,57.14285714285715,4,0,100,4,.5714285714285715,-.2430380486862944
"liquor (e.g, whisky, coconut wine)",ANTIQUE,TOBIAS FORNIER,lipid/lapad,mL,375,43,1,375,8,1,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,TOBIAS FORNIER,long-neck,mL,725.8064516129032,13,0,750,10,.9677419354838709,-.0142404391146103
loaf bread,ANTIQUE,TOBIAS FORNIER,large packs,g,369.2307692307692,20,0,640,3,.5769230769230769,-.2388820889151367
loaf bread,ANTIQUE,TOBIAS FORNIER,medium packs,g,466.1725100734757,14,0,450,4,1.03593891127439,.0153341460668711
loaf bread,ANTIQUE,TOBIAS FORNIER,small packs,g,380.5860389874911,12,0,360,1,1.05718344163192,.0241503522801388
mango,ANTIQUE,TOBIAS FORNIER,pieces or units,g,205,1,0,205,6,1,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,TOBIAS FORNIER,pack,g,268.2337565529385,2,0,255,2,1.051897084521328,.0219732514043332
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,TOBIAS FORNIER,putos,g,393.75,55,0,630,4,.625,-.2041199826559248
cabbage,ANTIQUE,VALDERRAMA,pieces or units,g,594.9999999999999,4,0,597.5,21,.9958158995815898,-.0018209438916258
camote tops,ANTIQUE,VALDERRAMA,bugkos,g,210,108,0,210,3,1,0
camote tops,ANTIQUE,VALDERRAMA,bundle,g,1110,28,0,1110,1,1,0
carrot,ANTIQUE,VALDERRAMA,pieces or units,g,63.02083333333333,4,0,140,11,.4501488095238095,-.3466438940653375
chicken,ANTIQUE,VALDERRAMA,pieces or units,g,200,5,0,232.5,4,.8602150537634409,-.0653929615619915
chicken,ANTIQUE,VALDERRAMA,whole (chicken),g,1147.5,7,0,1147.5,6,1,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,VALDERRAMA,pieces or units,g,8,3,0,45,12,.1777777777777778,-.7501225267834001
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,VALDERRAMA,putos,g,150.3703703703704,5,0,290,6,.5185185185185186,-.2852357284807492
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,VALDERRAMA,pieces or units,mL,142.6723682401897,13,0,112.5,4,1.268198828801686,.1031873477744565
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,VALDERRAMA,small cup,mL,33.33333333333334,3,0,100,3,.3333333333333334,-.4771212547196623
"liquor (e.g, whisky, coconut wine)",ANTIQUE,VALDERRAMA,lipid/lapad,mL,363.6363636363636,43,0,375,7,.9696969696969697,-.0133639615579815
"liquor (e.g, whisky, coconut wine)",ANTIQUE,VALDERRAMA,long-neck,mL,785.7142857142858,2,0,875,14,.8979591836734695,-.0467434035423262
loaf bread,ANTIQUE,VALDERRAMA,medium packs,g,600,3,0,600,1,1,0
loaf bread,ANTIQUE,VALDERRAMA,small packs,g,423.5000000000001,1,0,385,1,1.1,.0413926851582251
loaf bread,ANTIQUE,VALDERRAMA,tama-tama nga putos,g,447.8979432131726,3,0,500,1,.8957958864263452,-.0477909362052861
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,VALDERRAMA,cans,g,53.2258064516129,2,0,198,7,.2688172043010753,-.5705429398818975
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,VALDERRAMA,putos,g,236.8421052631579,21,0,250,4,.9473684210526315,-.0234810958495229
cabbage,CAPIZ,CUARTERO,pieces or units,g,630,12,0,630,10,1,0
camote tops,CAPIZ,CUARTERO,bugkos,g,440,128,0,440,9,1,0
carrot,CAPIZ,CUARTERO,pieces or units,g,100,19,0,125,9,.8,-.0969100130080564
chicken,CAPIZ,CUARTERO,bilog,g,1085,9,0,1295,3,.8378378378378378,-.0768400302327223
chicken,CAPIZ,CUARTERO,pieces or units,g,250,1,0,250,8,1,0
chicken,CAPIZ,CUARTERO,whole (chicken),g,1197.5,21,0,1180,9,1.014830508474576,.0063935147804755
"crackers, cookies, buiscuits, chips/curls",CAPIZ,CUARTERO,pieces or units,g,33.09262041760692,7,0,29,4,1.141124841986446,.057333159948373
"crackers, cookies, buiscuits, chips/curls",CAPIZ,CUARTERO,putos,g,330.9262041760692,6,0,290,4,1.141124841986446,.057333159948373
fresh fish,CAPIZ,CUARTERO,pieces or units,g,273.4848484848485,2,0,475,9,.5757575757575758,-.2397603389250585
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,cone,g,66.68822293291962,1,0,100,1,.6668822293291962,-.1759508552415617
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,pieces or units,g,395.1277208775488,14,0,395,1,1.000323343993794,.0001404038141196
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,putos,mL,601.7826405271675,3,0,600,3,1.002971067545279,.0012884052171638
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,tupperware,g,1025.331427593639,1,0,1025,1,1.000323343993794,.0001404038141196
"liquor (e.g, whisky, coconut wine)",CAPIZ,CUARTERO,lipid/lapad,mL,375,58,0,375,4,1,0
loaf bread,CAPIZ,CUARTERO,large packs,g,590.4761904761905,14,1,640,5,.9226190476190477,-.0349775835555713
loaf bread,CAPIZ,CUARTERO,medium packs,g,432,13,0,450,5,.96,-.0177287669604316
loaf bread,CAPIZ,CUARTERO,small packs,g,102.6666666666667,9,0,220,2,.4666666666666667,-.3309932190414244
mango,CAPIZ,CUARTERO,pieces or units,g,176,1,0,220,9,.8,-.0969100130080564
"prawns, lobster, shrimp",CAPIZ,CUARTERO,tumpok,g,380,3,0,380,6,1,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,CUARTERO,bilog,g,19.09090909090909,4,0,70,3,.2727272727272727,-.5642714304385625
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,CUARTERO,putos,g,204.5454545454545,61,1,250,7,.8181818181818181,-.0871501757189002
cabbage,CAPIZ,DAO,pieces or units,g,493.8461538461539,13,0,535,7,.9230769230769231,-.0347621062592119
cabbage,CAPIZ,DAO,putos (mix vegetable),g,339.2915569010271,2,0,160,2,2.120572230631419,.3264530699248934
camote,CAPIZ,DAO,bilog,g,130,1,0,130,6,1,0
camote tops,CAPIZ,DAO,bugkos,g,175,115,0,175,1,1,0
carrot,CAPIZ,DAO,pieces or units,g,119.25,14,0,157.5,8,.7571428571428571,-.1208221704134678
chicken,CAPIZ,DAO,bilog,g,1040,9,0,1185,2,.8776371308016878,-.0566850110473423
chicken,CAPIZ,DAO,whole (chicken),g,1150,21,0,1097.5,4,1.047835990888383,.0202933114394527
fresh fish,CAPIZ,DAO,pieces or units,g,307.5,4,0,375,6,.82,-.0861861476162833
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,DAO,pieces or units,mL,75.02425079953458,10,0,75,2,1.000323343993794,.0001404038141196
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,DAO,putos,mL,65.19311939044314,1,0,65,1,1.002971067545279,.0012884052171638
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,DAO,small cup,mL,110.3268174299807,23,0,110,1,1.002971067545279,.0012884052171638
"liquor (e.g, whisky, coconut wine)",CAPIZ,DAO,lipid/lapad,mL,354.5454545454546,46,0,375,3,.9454545454545455,-.0243593458594446
"liquor (e.g, whisky, coconut wine)",CAPIZ,DAO,long-neck,mL,467.5324675324675,3,0,750,3,.6233766233766234,-.2052494877968946
loaf bread,CAPIZ,DAO,large packs,g,613.491124260355,12,0,640,1,.9585798816568047,-.0183716900710426
loaf bread,CAPIZ,DAO,medium packs,g,545,19,0,545,2,1,0
loaf bread,CAPIZ,DAO,small packs,g,450,7,0,450,3,1,0
mango,CAPIZ,DAO,pieces or units,g,50,3,0,200,7,.25,-.6020599913279623
"prawns, lobster, shrimp",CAPIZ,DAO,tumpok,g,284,4,0,355,1,.8,-.0969100130080564
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,DAO,bilog,g,72.22222222222223,5,0,250,3,.2888888888888889,-.5392691614685068
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,DAO,putos,g,435,45,0,725,2,.6,-.2218487496163564
cabbage,CAPIZ,DUMALAG,pack,g,175,1,0,175,2,1,0
cabbage,CAPIZ,DUMALAG,pieces or units,g,529.1666666666666,11,0,662.5,17,.7987421383647798,-.0975934033644946
camote,CAPIZ,DUMALAG,bilog,g,85,1,0,85,4,1,0
camote tops,CAPIZ,DUMALAG,bugkos,g,187.5,52,0,187.5,2,1,0
carrot,CAPIZ,DUMALAG,pieces or units,g,80,16,0,165,14,.4848484848484849,-.3143939572219627
chicken,CAPIZ,DUMALAG,whole (chicken),g,1176.950780312125,10,0,1355,5,.8685983618539667,-.0611809940371718
"crackers, cookies, buiscuits, chips/curls",CAPIZ,DUMALAG,pieces or units,g,44.25799155312887,1,0,31,6,1.427677146875125,.1546300077320062
"crackers, cookies, buiscuits, chips/curls",CAPIZ,DUMALAG,putos,g,148.8700564971751,19,0,310,4,.480225988700565,-.3185543406475139
fresh fish,CAPIZ,DUMALAG,pieces or units,g,471.1956521739131,3,0,722.5,4,.6521739130434783,-.1856365769619116
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,DUMALAG,pieces or units,mL,45.01455047972075,7,0,45,1,1.000323343993794,.0001404038141196
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,DUMALAG,putos,mL,192.3092935685385,2,0,49.5,2,3.885036233707849,.5893950735940749
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,DUMALAG,small cup,mL,105.0339511193484,8,0,105,2,1.000323343993794,.0001404038141196
"liquor (e.g, whisky, coconut wine)",CAPIZ,DUMALAG,lipid/lapad,mL,375,37,0,375,5,1,0
"liquor (e.g, whisky, coconut wine)",CAPIZ,DUMALAG,long-neck,mL,1101.288511164674,3,0,875,2,1.258615441331056,.0998930555885951
loaf bread,CAPIZ,DUMALAG,large packs,g,555.8823529411765,2,0,700,3,.7941176470588235,-.1001151528832678
loaf bread,CAPIZ,DUMALAG,medium packs,g,472.7272727272727,6,0,500,5,.9454545454545454,-.0243593458594447
loaf bread,CAPIZ,DUMALAG,small packs,g,315,2,0,450,2,.7,-.1549019599857432
mango,CAPIZ,DUMALAG,pieces or units,g,97.5,3,0,195,8,.5,-.3010299956639811
"mineral or spring water, all drinking water sold in containers",CAPIZ,DUMALAG,container,mL,250,1,0,1000,1,.25,-.6020599913279623
"prawns, lobster, shrimp",CAPIZ,DUMALAG,tumpok,g,215,4,0,215,1,1,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,DUMALAG,bilog,g,140.625,4,0,375,2,.375,-.4259687322722811
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,DUMALAG,putos,g,963.6738312907054,36,0,1000,3,.9636738312907054,-.016069934188626
cabbage,CAPIZ,DUMARAO,pack,g,251.4583333333333,2,0,355,5,.7083333333333334,-.1497623203333321
cabbage,CAPIZ,DUMARAO,pieces or units,g,890,19,0,890,7,1,0
camote tops,CAPIZ,DUMARAO,bugkos,g,175,214,0,175,1,1,0
carrot,CAPIZ,DUMARAO,pieces or units,g,71.05263157894737,21,0,135,5,.5263157894736842,-.278753600952829
chicken,CAPIZ,DUMARAO,bilog,g,1270,21,0,1352.5,2,.9390018484288355,-.0273335528226502
fresh fish,CAPIZ,DUMARAO,pack,g,799.3538468646766,1,0,780,1,1.024812624185483,.0106444666393668
fresh fish,CAPIZ,DUMARAO,pieces or units,g,206.0606060606061,1,0,680,1,.303030303030303,-.5185139398778874
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,DUMARAO,pieces or units,mL,50,24,0,112.5,2,.4444444444444444,-.3521825181113625
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,DUMARAO,putos,mL,45,4,0,45,1,1,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,DUMARAO,small cup,mL,22.22222222222222,19,0,100,3,.2222222222222222,-.6532125137753436
"liquor (e.g, whisky, coconut wine)",CAPIZ,DUMARAO,lipid/lapad,mL,362.9032258064516,90,0,375,3,.9677419354838709,-.0142404391146103
loaf bread,CAPIZ,DUMARAO,large packs,g,602.3529411764706,19,0,640,2,.9411764705882353,-.0263289387223491
loaf bread,CAPIZ,DUMARAO,medium packs,g,450,18,0,450,5,1,0
loaf bread,CAPIZ,DUMARAO,small packs,g,306.6666666666667,8,0,360,2,.8518518518518519,-.0696359281413944
mango,CAPIZ,DUMARAO,pieces or units,g,165,8,0,220,6,.75,-.1249387366082999
"prawns, lobster, shrimp",CAPIZ,DUMARAO,tumpok,g,513,2,0,570,1,.9,-.0457574905606751
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,DUMARAO,bilog,g,241.4148355247231,5,0,250,2,.9656593420988925,-.0151760536457909
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,DUMARAO,putos,g,241.4148355247231,60,0,250,2,.9656593420988925,-.0151760536457909
cabbage,CAPIZ,IVISAN,pieces or units,g,581.5384615384615,9,0,715,18,.8133405056481979,-.0897275986067109
camote,CAPIZ,IVISAN,bilog,g,205,1,0,205,9,1,0
camote tops,CAPIZ,IVISAN,bundle,g,155,20,0,155,3,1,0
carrot,CAPIZ,IVISAN,pieces or units,g,88.81578947368421,14,0,135,13,.6578947368421052,-.1818435879447726
chicken,CAPIZ,IVISAN,whole (chicken),g,930.3370786516854,7,0,1145,9,.8125214660713409,-.0901651565359395
"crackers, cookies, buiscuits, chips/curls",CAPIZ,IVISAN,pieces or units,g,6,32,0,31,2,.1935483870967742,-.713210443450629
"crackers, cookies, buiscuits, chips/curls",CAPIZ,IVISAN,putos,g,285.535429375025,34,0,250,3,1.1421417175001,.0577199947239498
fresh fish,CAPIZ,IVISAN,pieces or units,g,492.5,5,0,492.5,15,1,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,IVISAN,putos,mL,351.503184165891,2,0,700,1,.5021474059512728,-.2991687764922336
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,IVISAN,small cup,mL,80,7,0,180,1,.4444444444444444,-.3521825181113625
"liquor (e.g, whisky, coconut wine)",CAPIZ,IVISAN,lipid/lapad,mL,438.2316053511706,32,0,750,12,.5843088071348941,-.2333575676324675
"liquor (e.g, whisky, coconut wine)",CAPIZ,IVISAN,long-neck,mL,692.3076923076923,3,0,750,4,.923076923076923,-.034762106259212
loaf bread,CAPIZ,IVISAN,large packs,g,602.3529411764706,1,0,640,3,.9411764705882353,-.0263289387223491
loaf bread,CAPIZ,IVISAN,medium packs,g,346.1538461538462,5,0,450,4,.7692307692307693,-.1139433523068367
loaf bread,CAPIZ,IVISAN,small packs,g,72,50,0,360,3,.2,-.6989700043360187
mango,CAPIZ,IVISAN,pieces or units,g,189.375,2,0,260,12,.7283653846153846,-.1376507021244378
"prawns, lobster, shrimp",CAPIZ,IVISAN,tumpok,g,250,11,0,250,3,1,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,IVISAN,bilog,g,18.95833333333333,11,0,70,3,.2708333333333333,-.5672978850687503
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,IVISAN,pack,g,271.3163339283315,2,0,280,3,.968986906886898,-.0136820911692428
cabbage,CAPIZ,JAMINDAN,pieces or units,g,620.4545454545455,8,0,840,10,.7386363636363636,-.131569315507313
camote tops,CAPIZ,JAMINDAN,bugkos,g,280.6238715826458,111,0,230,1,1.220103789489764,.0863967759906857
camote tops,CAPIZ,JAMINDAN,bundle,g,245,7,0,245,1,1,0
carrot,CAPIZ,JAMINDAN,pieces or units,g,130.8664037894158,11,0,145,3,.9025269226856265,-.0445398340766977
chicken,CAPIZ,JAMINDAN,bilog,g,1075,8,0,1075,1,1,0
chicken,CAPIZ,JAMINDAN,chicken wings,g,14.37937286795525,1,0,15,1,.958624857863683,-.0183513136156071
chicken,CAPIZ,JAMINDAN,whole (chicken),g,1245,8,2,1245,1,1,0
"crackers, cookies, buiscuits, chips/curls",CAPIZ,JAMINDAN,pieces or units,g,25.8,10,0,129,2,.2,-.6989700043360187
"crackers, cookies, buiscuits, chips/curls",CAPIZ,JAMINDAN,putos,g,434.6858484934774,27,0,285,2,1.525213503485886,.1833306416471653
fresh fish,CAPIZ,JAMINDAN,pieces or units,g,214.7826086956522,2,0,390,5,.5507246376811594,-.2590654941204451
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,JAMINDAN,pieces or units,mL,22.5,5,0,90,1,.25,-.6020599913279623
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,JAMINDAN,putos,mL,12,5,0,60,2,.2,-.6989700043360187
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,JAMINDAN,small cup,mL,26.66666666666667,15,0,80,2,.3333333333333334,-.4771212547196623
"liquor (e.g, whisky, coconut wine)",CAPIZ,JAMINDAN,lipid/lapad,mL,319.672131147541,35,0,375,1,.8524590163934427,-.0693264913759678
"liquor (e.g, whisky, coconut wine)",CAPIZ,JAMINDAN,long-neck,mL,750,1,0,750,1,1,0
loaf bread,CAPIZ,JAMINDAN,individual,g,12,1,0,60,1,.2,-.6989700043360187
loaf bread,CAPIZ,JAMINDAN,large packs,g,730.6234605291559,4,0,640,1,1.141599157076806,.0575136394364548
loaf bread,CAPIZ,JAMINDAN,medium packs,g,495.0000000000001,2,0,450,1,1.1,.0413926851582251
loaf bread,CAPIZ,JAMINDAN,small packs,g,80,28,0,400,1,.2,-.6989700043360187
mango,CAPIZ,JAMINDAN,pieces or units,g,196.7579564941883,3,0,185,3,1.063556521590207,.0267605749744894
"prawns, lobster, shrimp",CAPIZ,JAMINDAN,tumpok,g,1000,1,0,1000,1,1,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,JAMINDAN,bilog,g,62.40889212827987,2,0,250,1,.2496355685131195,-.6026935355422885
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,JAMINDAN,putos,g,240.9184578226763,33,0,250,1,.9636738312907054,-.016069934188626
rice,CAPIZ,JAMINDAN,letse,g,430,7,0,430,1,1,0
cabbage,CAPIZ,MA-AYON,pack,g,187.8567196911227,3,0,145,1,1.295563584076708,.1124587322859584
cabbage,CAPIZ,MA-AYON,pieces or units,g,700,11,0,700,9,1,0
camote,CAPIZ,MA-AYON,bilog,g,260,1,0,260,3,1,0
camote tops,CAPIZ,MA-AYON,bugkos,g,360,215,0,360,9,1,0
carrot,CAPIZ,MA-AYON,pieces or units,g,103.9488271695983,18,0,95,3,1.094198180732614,.0390959883628142
chicken,CAPIZ,MA-AYON,pack,g,1347.5,1,0,1347.5,4,1,0
chicken,CAPIZ,MA-AYON,whole (chicken),g,1035.314846492778,27,0,1080,3,.9586248578636832,-.018351313615607
"crackers, cookies, buiscuits, chips/curls",CAPIZ,MA-AYON,big can,g,1400,1,0,1400,5,1,0
"crackers, cookies, buiscuits, chips/curls",CAPIZ,MA-AYON,pieces or units,g,10.55670103092783,34,0,48,5,.2199312714776632,-.6577130150020201
"crackers, cookies, buiscuits, chips/curls",CAPIZ,MA-AYON,putos,g,276.4285714285714,52,0,300,6,.9214285714285715,-.035538325378989
fresh fish,CAPIZ,MA-AYON,pieces or units,g,378.4686244290799,8,0,322.5,4,1.173546122260713,.0695001627456016
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,MA-AYON,putos,g,28.66666666666666,4,0,43,1,.6666666666666666,-.1760912590556812
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,MA-AYON,small cup,mL,25,15,0,75,2,.3333333333333333,-.4771212547196624
"liquor (e.g, whisky, coconut wine)",CAPIZ,MA-AYON,lipid/lapad,mL,328.125,88,0,375,6,.875,-.0579919469776868
"liquor (e.g, whisky, coconut wine)",CAPIZ,MA-AYON,long-neck,mL,465.9498207885304,3,0,750,6,.6212664277180405,-.2067221143584609
loaf bread,CAPIZ,MA-AYON,large packs,g,623.3766233766233,7,0,640,3,.974025974025974,-.0114294617807818
loaf bread,CAPIZ,MA-AYON,medium packs,g,441.5094339622642,7,0,450,3,.9811320754716981,-.0082725259659899
loaf bread,CAPIZ,MA-AYON,small packs,g,245.4545454545455,17,0,300,1,.8181818181818182,-.0871501757189001
mango,CAPIZ,MA-AYON,pieces or units,g,72.58064516129032,4,0,250,6,.2903225806451613,-.5371191843949478
pork,CAPIZ,MA-AYON,1 order,g,1562.5,1,0,1562.5,2,1,0
"prawns, lobster, shrimp",CAPIZ,MA-AYON,tumpok,g,145.195082111146,18,0,125,1,1.161560656889168,.0650418936579299
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,MA-AYON,bilog,g,16.875,3,0,67.5,2,.25,-.6020599913279623
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,MA-AYON,putos,g,157.5,73,0,255,6,.6176470588235294,-.2092596223083358
cabbage,CAPIZ,MAMBUSAO,pieces or units,g,857.4559621617859,18,0,695,3,1.233749585844296,.0912270198899996
camote tops,CAPIZ,MAMBUSAO,bugkos,g,252.5975648952627,100,0,202.5,4,1.247395382198828,.0960041319795994
carrot,CAPIZ,MAMBUSAO,pieces or units,g,70,24,0,90,12,.7777777777777778,-.109144469425068
chicken,CAPIZ,MAMBUSAO,bilog,g,1145.81300621185,4,0,1282.5,6,.8934214473386747,-.0489436261321047
chicken,CAPIZ,MAMBUSAO,whole (chicken),g,1120,11,0,1195,9,.9372384937238494,-.0281498826139749
"crackers, cookies, buiscuits, chips/curls",CAPIZ,MAMBUSAO,balde,g,1712.398797095517,1,0,1500,1,1.141599198063678,.0575136550289436
"crackers, cookies, buiscuits, chips/curls",CAPIZ,MAMBUSAO,pieces or units,g,8,9,0,48,20,.1666666666666667,-.7781512503836435
"crackers, cookies, buiscuits, chips/curls",CAPIZ,MAMBUSAO,putos,g,270.2097902097902,15,0,300,12,.9006993006993008,-.0454201744412685
fresh fish,CAPIZ,MAMBUSAO,pieces or units,g,370,3,0,370,9,1,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,MAMBUSAO,bowl,g,112,1,0,560,1,.2,-.6989700043360187
"liquor (e.g, whisky, coconut wine)",CAPIZ,MAMBUSAO,lipid/lapad,mL,375,28,0,750,11,.5,-.3010299956639811
"liquor (e.g, whisky, coconut wine)",CAPIZ,MAMBUSAO,long-neck,mL,744.9324324324325,6,0,750,2,.9932432432432433,-.0029443806467813
loaf bread,CAPIZ,MAMBUSAO,large packs,g,515.625,10,0,557.5,9,.9248878923766816,-.033910905826198
loaf bread,CAPIZ,MAMBUSAO,small packs,g,80,23,0,400,1,.2,-.6989700043360187
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,MAMBUSAO,bilog,g,54.543105816019,3,0,67.5,2,.8080460120891704,-.0925639087458564
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,MAMBUSAO,putos,g,90,45,0,250,9,.36,-.4436974992327127
beer,CAPIZ,PANAY,case,mL,4611.117876804712,1,0,4440,2,1.038540062343404,.016423254380104
cabbage,CAPIZ,PANAY,pieces or units,g,675,31,0,690,15,.9782608695652174,-.0095453179062304
cabbage,CAPIZ,PANAY,putos (mix vegetable),g,558.4805455213337,1,0,475,3,1.175748516887018,.070314439590611
camote,CAPIZ,PANAY,bilog,g,202.5,1,0,210,12,.9642857142857143,-.0157942671832319
camote tops,CAPIZ,PANAY,bugkos,g,250.5292069208164,152,0,205,5,1.222093692296665,.0871045025412649
carrot,CAPIZ,PANAY,pieces or units,g,111.9444444444445,33,0,155,15,.7222222222222223,-.1413291527964692
chicken,CAPIZ,PANAY,bilog,g,960,7,0,900,9,1.066666666666667,.0280287236002435
chicken,CAPIZ,PANAY,slice,g,83.33333333333334,1,0,250,9,.3333333333333334,-.4771212547196623
"crackers, cookies, buiscuits, chips/curls",CAPIZ,PANAY,pieces or units,g,6,40,0,30,5,.2,-.6989700043360187
"crackers, cookies, buiscuits, chips/curls",CAPIZ,PANAY,putos,g,295.3846153846154,41,0,300,3,.9846153846153846,-.0067333826589684
fresh fish,CAPIZ,PANAY,pieces or units,g,148.5714285714286,8,0,375,9,.3961904761904762,-.4020959684431952
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,PANAY,putos,mL,160.125,2,0,457.5,2,.35,-.4559319556497244
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,PANAY,small cup,mL,62.5,10,0,100,1,.625,-.2041199826559248
"liquor (e.g, whisky, coconut wine)",CAPIZ,PANAY,lipid/lapad,mL,362.5,46,2,375,2,.9666666666666667,-.0147232568207063
"liquor (e.g, whisky, coconut wine)",CAPIZ,PANAY,long-neck,mL,750,5,0,750,2,1,0
loaf bread,CAPIZ,PANAY,medium packs,g,447.5,8,0,447.5,4,1,0
loaf bread,CAPIZ,PANAY,small packs,g,195.5555555555555,15,0,220,4,.8888888888888888,-.0511525224473813
mango,CAPIZ,PANAY,pieces or units,g,145.3666666666667,2,0,230,12,.6320289855072464,-.1992630040638288
"prawns, lobster, shrimp",CAPIZ,PANAY,cup,g,147.5,1,0,147.5,2,1,0
"prawns, lobster, shrimp",CAPIZ,PANAY,tumpok,g,400,18,0,400,9,1,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,PANAY,bilog,g,17.24137931034483,12,0,65,3,.2652519893899205,-.5763413502057928
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,PANAY,putos,g,246.2121212121212,72,1,250,6,.9848484848484849,-.0066305788990131
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,PANAY,role,g,240.5886383124052,1,0,250,1,.9623545532496207,-.0166648945407643
cabbage,CAPIZ,PANITAN,half,g,472.0011748319239,1,0,375,1,1.258669799551797,.0999118118860018
cabbage,CAPIZ,PANITAN,pieces or units,g,574.2574257425744,19,0,747.5,17,.7682373588529423,-.1145045772161725
cabbage,CAPIZ,PANITAN,putos (mix vegetable),g,450,1,0,150,3,3,.4771212547196624
camote,CAPIZ,PANITAN,bilog,g,130,2,0,130,9,1,0
camote tops,CAPIZ,PANITAN,bugkos,g,222.5,136,0,222.5,4,1,0
