province,pull_municipal_city,cons_name,harmonized_nsu_unit,n_raw_units,raw_units,points_pooled,points_naive
ANTIQUE,HAMTIC,loaf bread,large packs,4,dalagku nga putos | daragkul nga putos | large | large packs,6,6
ILOILO,LAMBUNAO,loaf bread,large packs,3,dalagku nga putos | daragkul nga putos | large,6,6
AKLAN,BATAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,lapad | lipid / lapad,6,6
AKLAN,BURUANGA,loaf bread,small packs,2,maisot nga putos | small packs,6,6
ANTIQUE,BUGASONG,chicken,whole (chicken),2,bilog nga manok | whole (chicken),6,6
ANTIQUE,PATNONGON,loaf bread,small packs,2,gagmay nga putos | small,6,6
ANTIQUE,SAN REMIGIO,chicken,whole (chicken),2,bilog nga manok | whole (chicken),6,6
CAPIZ,CUARTERO,loaf bread,large packs,2,dalagku nga putos | large,6,6
CAPIZ,PANAY,loaf bread,large packs,2,dalagku nga putos | large,6,6
CAPIZ,SIGMA,loaf bread,large packs,2,dalagku nga putos | large,6,6
CAPIZ,TAPAZ,loaf bread,large packs,2,dalagku nga putos | large,6,6
ILOILO,AJUY,loaf bread,large packs,2,dalagku nga putos | large,6,6
ILOILO,BADIANGAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,2,bilog | pieces or units,6,6
ILOILO,CONCEPCION,loaf bread,large packs,2,dalagku nga putos | large,6,6
ILOILO,DUEAS,loaf bread,large packs,2,dalagku nga putos | large,6,6
ILOILO,JANIUAY,loaf bread,large packs,2,dalagku nga putos | large,6,6
ILOILO,LAMBUNAO,chicken,whole (chicken),2,bilog nga manok | whole (chicken),6,6
ILOILO,LAMBUNAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga cup | gamay nga tasa,6,6
ILOILO,TIGBAUAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,2,bilog | pieces or units,6,6
ILOILO,TIGBAUAN,loaf bread,large packs,2,dalagku nga putos | large,6,6
ILOILO,TIGBAUAN,loaf bread,small packs,2,gagmay nga putos | small packs,6,6
ILOILO,TUBUNGAN,chicken,whole (chicken),2,bilog nga manok | whole (chicken),6,6
ILOILO,LEMERY,loaf bread,small packs,3,gagmay nga putos | small | small packs,5,6
ILOILO,MINA,loaf bread,large packs,3,dalagku nga putos | large | malaking packs,5,6
ANTIQUE,SIBALOM,chicken,whole (chicken),2,bilog nga manok | whole (chicken),5,6
ILOILO,BADIANGAN,loaf bread,large packs,2,dalagku nga putos | large,5,6
ILOILO,MIAGAO,chicken,whole (chicken),2,bilog nga manok | whole (chicken),5,6
ILOILO,ALIMODIAN,chicken,whole (chicken),2,bilog nga manok | whole (chicken),4,6
ILOILO,LEMERY,fresh fish,pack,4,fish sold per pack 90 each pack | pack | pack/ putos | putos,3,3
AKLAN,ALTAVAS,loaf bread,large packs,3,large | mabahoe nga putos | malaking packs,3,3
AKLAN,BATAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,3,gamay nga cup | maisot nga tasa | maliit na tasa,3,3
AKLAN,MADALAG,loaf bread,small packs,3,maisot nga putos | small | small packs,3,3
ANTIQUE,SAN REMIGIO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,3,gamay nga cup | gamay nga tasa | small cup (translate),3,3
ANTIQUE,TOBIAS FORNIER,chicken,whole (chicken),3,bilog nga manok | buong (manok) | whole (chicken),3,6
ANTIQUE,TOBIAS FORNIER,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,3,gamay nga cup | gamay nga tasa | small cup (translate),3,3
CAPIZ,IVISAN,loaf bread,small packs,3,gagmay nga putos | small | small packs,3,3
CAPIZ,SAPI-AN,loaf bread,small packs,3,gagmay nga putos | maisot nga putos | small,3,3
ILOILO,BALASAN,loaf bread,large packs,3,dalagku nga putos | large | large packs,3,3
ILOILO,BAROTAC VIEJO,fresh fish,pack,3,pack | packs | putos,3,3
ILOILO,CARLES,loaf bread,small packs,3,gagmay nga putos | small | small packs,3,3
ILOILO,ESTANCIA,fresh fish,pack,3,pack | packs | putos,3,3
ILOILO,JANIUAY,chicken,whole (chicken),3,bilog nga manok | whole | whole (chicken),3,3
ILOILO,LEMERY,loaf bread,large packs,3,dalagku nga putos | large | large packs,3,3
ILOILO,SAN JOAQUIN,loaf bread,large packs,3,daragkul nga putos | large | large packs,3,3
AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2,binilog | piraso,3,3
AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga cup | maisot nga tasa,3,3
AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,lapad | lipid / lapad,3,3
AKLAN,ALTAVAS,loaf bread,medium packs,2,kasarangan nga putos | medium,3,3
AKLAN,BATAN,cabbage,pieces or units,2,bilog | binilog,3,3
AKLAN,BATAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,2,binilog | piraso,3,3
AKLAN,IBAJAY,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,lapad | lipid / lapad,3,3
AKLAN,LIBACAO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,lapad | lipid / lapad,3,3
AKLAN,LIBACAO,loaf bread,medium packs,2,kasarangan nga putos | medium,3,3
AKLAN,MADALAG,cabbage,pieces or units,2,bilog | binilog,3,3
AKLAN,MADALAG,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,lapad | lipid / lapad,3,3
AKLAN,MADALAG,loaf bread,medium packs,2,kasarangan nga putos | medium,3,3
AKLAN,MADALAG,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,2,binilog | piraso,3,3
AKLAN,MALAY,cabbage,pieces or units,2,bilog | binilog,3,3
AKLAN,MALAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga cup | maisot nga tasa,3,3
AKLAN,MALAY,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,lapad | lipid / lapad,3,3
AKLAN,MALAY,loaf bread,large packs,2,large | mabahoe nga putos,3,3
AKLAN,MALINAO,"crackers, cookies, buiscuits, chips/curls",pieces or units,2,bilog | binilog,3,3
AKLAN,MALINAO,loaf bread,small packs,2,gagmay nga putos | maisot nga putos,3,3
ANTIQUE,BARBAZA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gmay nga cup | small cup (translate),3,3
ANTIQUE,BUGASONG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga tasa | small cup (translate),3,3
ANTIQUE,BUGASONG,loaf bread,large packs,2,daragkul nga putos | large,3,3
ANTIQUE,HAMTIC,cabbage,pieces or units,2,bilog | binilog,3,3
ANTIQUE,HAMTIC,chicken,whole (chicken),2,bilog nga manok | whole (chicken),3,3
ANTIQUE,HAMTIC,loaf bread,medium packs,2,medium | medium nga putos,3,3
ANTIQUE,LAUA-AN,carrot,pieces or units,2,bilog | binilog,3,3
ANTIQUE,LIBERTAD,carrot,pieces or units,2,bilog | binilog,3,3
ANTIQUE,LIBERTAD,loaf bread,small packs,2,gagmay nga putos | maliit na packs,3,3
ANTIQUE,PANDAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2,bilog | binilog,3,3
ANTIQUE,PATNONGON,chicken,whole (chicken),2,bilog nga manok | whole (chicken),3,3
ANTIQUE,PATNONGON,loaf bread,large packs,2,daragkul nga putos | large,3,3
ANTIQUE,SAN REMIGIO,cabbage,pieces or units,2,bilog | binilog,3,3
ANTIQUE,SAN REMIGIO,loaf bread,medium packs,2,medium | medium nga putos,3,3
ANTIQUE,SEBASTE,chicken,whole (chicken),2,bilog nga manok | whole (chicken),3,3
ANTIQUE,SEBASTE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga tasa | small cup (translate),3,3
ANTIQUE,SIBALOM,cabbage,pieces or units,2,bilog | binilog,3,3
ANTIQUE,SIBALOM,loaf bread,large packs,2,daragkul nga putos | large,3,3
ANTIQUE,SIBALOM,loaf bread,medium packs,2,medium | medium nga putos,3,3
ANTIQUE,TOBIAS FORNIER,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2,bilog | binilog,3,3
ANTIQUE,TOBIAS FORNIER,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,lapad | lipid / lapad,3,3
ANTIQUE,VALDERRAMA,chicken,whole (chicken),2,bilog nga manok | whole (chicken),3,3
CAPIZ,DUMALAG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga cup | gmay nga cup,3,3
CAPIZ,DUMALAG,loaf bread,large packs,2,dalagku nga putos | large,3,3
CAPIZ,DUMALAG,loaf bread,small packs,2,gagmay nga putos | small,3,3
CAPIZ,DUMARAO,chicken,whole (chicken),2,bilog nga manok | whole (chicken),3,3
CAPIZ,IVISAN,carrot,pieces or units,2,bilog | pieces or units,3,3
CAPIZ,IVISAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,2,bilog | pieces or units,3,3
CAPIZ,IVISAN,loaf bread,large packs,2,dalagku nga putos | large,3,3
CAPIZ,JAMINDAN,cabbage,pieces or units,2,bilog | binilog,3,3
CAPIZ,JAMINDAN,loaf bread,small packs,2,gagmay nga putos | small,3,3
CAPIZ,MA-AYON,loaf bread,large packs,2,dalagku nga putos | large,3,3
CAPIZ,MA-AYON,loaf bread,small packs,2,gagmay nga putos | small,3,3
CAPIZ,PANAY,loaf bread,small packs,2,gagmay nga putos | small,3,3
CAPIZ,PILAR,loaf bread,large packs,2,dalagku nga putos | large,3,3
CAPIZ,SAPI-AN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,lapad | lipid / lapad,3,3
CAPIZ,SIGMA,loaf bread,small packs,2,gagmay nga putos | small,3,3
ILOILO,AJUY,loaf bread,small packs,2,gagmay nga putos | small,3,3
ILOILO,ALIMODIAN,cabbage,pieces or units,2,bilog | binilog,3,3
ILOILO,ALIMODIAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2,bilog | binilog,3,3
ILOILO,ALIMODIAN,loaf bread,medium packs,2,medium | medium nga putos,3,3
ILOILO,BALASAN,loaf bread,small packs,2,gagmay nga putos | small,3,3
ILOILO,BANATE,loaf bread,small packs,2,gagmay nga putos | small,3,3
ILOILO,BAROTAC NUEVO,loaf bread,large packs,2,dalagku nga putos | large,3,3
ILOILO,BAROTAC NUEVO,loaf bread,small packs,2,gagmay nga putos | small,3,3
ILOILO,BAROTAC VIEJO,cabbage,pieces or units,2,bilog | pieces or units,3,3
ILOILO,BINGAWAN,loaf bread,small packs,2,gagmay nga putos | small,3,3
ILOILO,CABATUAN,loaf bread,large packs,2,dalagku nga putos | large,3,3
ILOILO,CABATUAN,loaf bread,small packs,2,gagmay nga putos | small,3,3
ILOILO,CARLES,chicken,whole (chicken),2,whole (chicken) | whole chicken,3,3
ILOILO,CARLES,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga cup | gmay nga cup,3,3
ILOILO,CARLES,loaf bread,large packs,2,dalagku nga putos | large,3,3
ILOILO,CONCEPCION,"crackers, cookies, buiscuits, chips/curls",pieces or units,2,bilog | pieces or units,3,3
ILOILO,CONCEPCION,loaf bread,small packs,2,gagmay nga putos | small,3,3
ILOILO,DINGLE,"crackers, cookies, buiscuits, chips/curls",pieces or units,2,bilog | pieces or units,3,3
ILOILO,DINGLE,loaf bread,large packs,2,dalagku nga putos | large,3,3
ILOILO,DINGLE,loaf bread,medium packs,2,medium | medium packs,3,3
ILOILO,DUMANGAS,cabbage,pieces or units,2,bilog | piraso,3,3
ILOILO,DUMANGAS,fresh fish,pieces or units,2,bilog | piraso,3,3
ILOILO,DUMANGAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2,bilog | piraso,3,3
ILOILO,IGBARAS,chicken,whole (chicken),2,whole (chicken) | whole chicken,3,3
ILOILO,IGBARAS,loaf bread,large packs,2,dalagku nga putos | large,3,3
ILOILO,JANIUAY,carrot,pieces or units,2,bilog | binilog,3,3
ILOILO,JANIUAY,loaf bread,medium packs,2,medium | medium nga putos,3,3
ILOILO,JANIUAY,loaf bread,small packs,2,gagmay nga putos | small,3,3
ILOILO,LEGANES,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga cup | maliit na tasa,3,3
ILOILO,LEGANES,loaf bread,large packs,2,dalagku nga putos | malaking packs,3,3
ILOILO,LEMERY,"crackers, cookies, buiscuits, chips/curls",pieces or units,2,bilog | pieces or units,3,3
ILOILO,LEMERY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2,bilog | pieces or units,3,3
ILOILO,LEON,cabbage,pieces or units,2,bilog | binilog,3,3
ILOILO,LEON,chicken,whole (chicken),2,bilog nga manok | whole (chicken),3,3
ILOILO,MAASIN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga cup | gmay nga cup,3,3
ILOILO,MAASIN,loaf bread,large packs,2,dalagku nga putos | large,3,3
ILOILO,MAASIN,loaf bread,small packs,2,gagmay nga putos | small,3,3
ILOILO,MIAGAO,cabbage,pieces or units,2,bilog | binilog,3,3
ILOILO,MIAGAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga cup | gamay nga tasa,3,3
ILOILO,MINA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,lapad | lipid / lapad,3,3
ILOILO,OTON,loaf bread,large packs,2,dalagku nga putos | large,3,3
ILOILO,OTON,loaf bread,small packs,2,gagmay nga putos | small,3,3
ILOILO,POTOTAN,loaf bread,large packs,2,dalagku nga putos | large,3,3
ILOILO,SAN DIONISIO,loaf bread,large packs,2,dalagku nga putos | large,3,3
ILOILO,SAN DIONISIO,loaf bread,small packs,2,gagmay nga putos | small,3,3
ILOILO,SAN ENRIQUE,cabbage,pieces or units,2,bilog | pieces or units,3,3
ILOILO,SAN ENRIQUE,fresh fish,pack,2,pack | packs,3,3
ILOILO,SAN ENRIQUE,loaf bread,large packs,2,dalagku nga putos | large,3,3
ILOILO,SAN ENRIQUE,loaf bread,small packs,2,gagmay nga putos | small,3,3
ILOILO,SAN JOAQUIN,cabbage,pieces or units,2,bilog | binilog,3,3
ILOILO,SAN JOAQUIN,carrot,pieces or units,2,bilog | binilog,3,3
ILOILO,SAN JOAQUIN,chicken,whole (chicken),2,bilog nga manok | whole (chicken),3,3
ILOILO,SAN RAFAEL,loaf bread,large packs,2,dalagku nga putos | large,3,3
ILOILO,SARA,fresh fish,pieces or units,2,bilog | pieces or units,3,3
ILOILO,SARA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2,bilog | piraso,3,3
ILOILO,SARA,loaf bread,large packs,2,dalagku nga putos | large,3,3
ILOILO,SARA,loaf bread,small packs,2,gagmay nga putos | small,3,3
ILOILO,TIGBAUAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2,bilog | pieces or units,3,3
ILOILO,TIGBAUAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga cup | small cup,3,3
ILOILO,TUBUNGAN,loaf bread,large packs,2,daragkul nga putos | large,3,3
ILOILO,TUBUNGAN,loaf bread,medium packs,2,medium | medium nga putos,3,3
ILOILO,TUBUNGAN,loaf bread,small packs,2,gagmay nga putos | small,3,3
NEGROS OCCIDENTAL,CALATRAVA,loaf bread,medium packs,2,medium | medium nga pakete,3,3
AKLAN,ALTAVAS,chicken,pieces or units,1,binilog,3,3
AKLAN,ALTAVAS,chicken,whole (chicken),1,whole (chicken),3,3
AKLAN,ALTAVAS,fresh fish,pieces or units,1,binilog,3,3
AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,3,3
AKLAN,ALTAVAS,mango,pieces or units,1,binilog,3,3
AKLAN,ALTAVAS,"prawns, lobster, shrimp",tumpok,1,tumpok,3,3
AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,1,binilog,3,3
AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
AKLAN,BANGA,cabbage,pieces or units,1,binilog,3,3
AKLAN,BANGA,chicken,whole (chicken),1,whole (chicken),3,3
AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",pieces or units,1,binilog,3,3
AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
AKLAN,BANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1,maisot nga tasa,3,3
AKLAN,BANGA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lapad,3,3
AKLAN,BANGA,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,3,3
AKLAN,BANGA,loaf bread,small packs,1,maisot nga putos,3,3
AKLAN,BANGA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
AKLAN,BATAN,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
AKLAN,BATAN,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,3,3
AKLAN,BATAN,loaf bread,large packs,1,mabahoe nga putos,3,3
AKLAN,BATAN,loaf bread,medium packs,1,kasarangan nga putos,3,3
AKLAN,BATAN,"prawns, lobster, shrimp",tumpok,1,tumpok,3,3
AKLAN,BURUANGA,carrot,pieces or units,1,binilog,3,3
AKLAN,BURUANGA,chicken,whole (chicken),1,whole (chicken),3,3
AKLAN,BURUANGA,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
AKLAN,IBAJAY,"crackers, cookies, buiscuits, chips/curls",pieces or units,1,binilog,3,3
AKLAN,IBAJAY,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
AKLAN,IBAJAY,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,3,3
AKLAN,IBAJAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,1,binilog,3,3
AKLAN,IBAJAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
AKLAN,LIBACAO,chicken,pieces or units,1,binilog,3,3
AKLAN,LIBACAO,chicken,whole (chicken),1,whole (chicken),3,3
AKLAN,LIBACAO,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,3,3
AKLAN,LIBACAO,loaf bread,large packs,1,mabahoe nga putos,3,3
AKLAN,LIBACAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
AKLAN,MADALAG,chicken,pieces or units,1,binilog,3,3
AKLAN,MADALAG,chicken,whole (chicken),1,whole (chicken),3,3
AKLAN,MADALAG,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
AKLAN,MADALAG,loaf bread,large packs,1,mabahoe nga putos,3,3
AKLAN,MADALAG,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
AKLAN,MAKATO,chicken,whole (chicken),1,whole (chicken),3,3
AKLAN,MAKATO,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
AKLAN,MAKATO,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,3,3
AKLAN,MAKATO,loaf bread,large packs,1,mabahoe nga putos,3,3
AKLAN,MAKATO,loaf bread,medium packs,1,kasarangan nga putos,3,3
AKLAN,MAKATO,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,1,binilog,3,3
AKLAN,MALAY,chicken,bilog,1,bilog,3,3
AKLAN,MALAY,chicken,whole (chicken),1,whole (chicken),3,3
AKLAN,MALAY,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
AKLAN,MALAY,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,3,3
AKLAN,MALAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
AKLAN,MALINAO,chicken,pieces or units,1,binilog,3,3
AKLAN,MALINAO,chicken,whole (chicken),1,whole (chicken),3,3
AKLAN,MALINAO,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
AKLAN,MALINAO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lapad,3,3
AKLAN,MALINAO,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,3,3
AKLAN,MALINAO,loaf bread,large packs,1,mabahoe nga putos,3,3
AKLAN,MALINAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
AKLAN,NABAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,binilog,3,3
AKLAN,NABAS,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,3,3
AKLAN,NABAS,loaf bread,medium packs,1,kasarangan nga putos,3,3
AKLAN,NABAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
AKLAN,NEW WASHINGTON,chicken,whole (chicken),1,whole (chicken),3,3
AKLAN,NEW WASHINGTON,"crackers, cookies, buiscuits, chips/curls",pieces or units,1,binilog,3,3
AKLAN,NEW WASHINGTON,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lapad,3,3
AKLAN,NEW WASHINGTON,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,1,binilog,3,3
AKLAN,TANGALAN,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
AKLAN,TANGALAN,loaf bread,small packs,1,maisot nga putos,3,3
AKLAN,TANGALAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
ANTIQUE,BARBAZA,chicken,whole (chicken),1,whole (chicken),3,3
ANTIQUE,BARBAZA,"crackers, cookies, buiscuits, chips/curls",pieces or units,1,bilog,3,3
ANTIQUE,BARBAZA,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
ANTIQUE,BARBAZA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
ANTIQUE,BARBAZA,loaf bread,small packs,1,gagmay nga putos,3,3
ANTIQUE,BARBAZA,loaf bread,tama-tama nga putos,1,tama-tama nga putos,3,3
ANTIQUE,BARBAZA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
ANTIQUE,BARBAZA,rice,salmon,1,salmon,3,3
ANTIQUE,BELISON,chicken,pieces or units,1,binilog,3,3
ANTIQUE,BELISON,chicken,whole (chicken),1,bilog nga manok,3,3
ANTIQUE,BELISON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,binilog,3,3
ANTIQUE,BELISON,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
ANTIQUE,BELISON,"preserved or processed meat (tocino, tapa, longaniza, etc)",cans,1,lata,3,3
ANTIQUE,BELISON,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
ANTIQUE,BUGASONG,chicken,pieces or units,1,binilog,3,3
ANTIQUE,BUGASONG,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
ANTIQUE,BUGASONG,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
ANTIQUE,BUGASONG,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,3,3
ANTIQUE,BUGASONG,loaf bread,tama-tama nga putos,1,tama-tama nga putos,3,3
ANTIQUE,BUGASONG,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
ANTIQUE,CULASI,chicken,bilog,1,bilog,3,3
ANTIQUE,CULASI,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,binilog,3,3
ANTIQUE,CULASI,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
ANTIQUE,CULASI,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
ANTIQUE,HAMTIC,chicken,bilog,1,bilog,3,3
ANTIQUE,HAMTIC,chicken,pieces or units,1,binilog,3,3
ANTIQUE,HAMTIC,"crackers, cookies, buiscuits, chips/curls",pieces or units,1,bilog,3,3
ANTIQUE,HAMTIC,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
ANTIQUE,HAMTIC,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
ANTIQUE,HAMTIC,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,3,3
ANTIQUE,HAMTIC,loaf bread,small packs,1,gagmay nga putos,3,3
ANTIQUE,HAMTIC,loaf bread,tama-tama nga putos,1,tama-tama nga putos,3,3
ANTIQUE,HAMTIC,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
ANTIQUE,LAUA-AN,chicken,bilog,1,bilog,3,3
ANTIQUE,LAUA-AN,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
ANTIQUE,LAUA-AN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
ANTIQUE,LAUA-AN,loaf bread,tama-tama nga putos,1,tama-tama nga putos,3,3
ANTIQUE,LAUA-AN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
ANTIQUE,LAUA-AN,rice,letse,1,letse,3,3
ANTIQUE,LAUA-AN,rice,salmon,1,salmon,3,3
ANTIQUE,LIBERTAD,chicken,bilog,1,bilog,3,3
ANTIQUE,LIBERTAD,"crackers, cookies, buiscuits, chips/curls",pieces or units,1,bilog,3,3
ANTIQUE,LIBERTAD,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
ANTIQUE,LIBERTAD,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
ANTIQUE,LIBERTAD,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
ANTIQUE,LIBERTAD,rice,gantang,1,ganta,3,3
ANTIQUE,PANDAN,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
ANTIQUE,PANDAN,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,3,3
ANTIQUE,PANDAN,loaf bread,small packs,1,gagmay nga putos,3,3
ANTIQUE,PANDAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
ANTIQUE,PATNONGON,"crackers, cookies, buiscuits, chips/curls",pieces or units,1,bilog,3,3
ANTIQUE,PATNONGON,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
ANTIQUE,PATNONGON,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
ANTIQUE,PATNONGON,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,3,3
ANTIQUE,PATNONGON,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
ANTIQUE,PATNONGON,rice,letse,1,letse,3,3
ANTIQUE,PATNONGON,rice,salmon,1,salmon,3,3
ANTIQUE,SAN REMIGIO,chicken,pieces or units,1,binilog,3,3
ANTIQUE,SAN REMIGIO,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
ANTIQUE,SAN REMIGIO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
ANTIQUE,SAN REMIGIO,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,3,3
ANTIQUE,SAN REMIGIO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
ANTIQUE,SAN REMIGIO,rice,letse,1,letse,3,3
ANTIQUE,SEBASTE,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,3,3
