province,pull_municipal_city,cons_name,harmonized_nsu_unit,n_raw_units,raw_units,points_pooled,points_naive
NEGROS OCCIDENTAL,ISABELA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
NEGROS OCCIDENTAL,LA CASTELLANA,chicken,bilog,1,bilog,3,3
NEGROS OCCIDENTAL,LA CASTELLANA,chicken,whole (chicken),1,whole (chicken),3,3
NEGROS OCCIDENTAL,LA CASTELLANA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
NEGROS OCCIDENTAL,LA CASTELLANA,loaf bread,medium packs,1,medium,3,3
NEGROS OCCIDENTAL,LA CASTELLANA,loaf bread,small packs,1,small,3,3
NEGROS OCCIDENTAL,LA CASTELLANA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
NEGROS OCCIDENTAL,MANAPLA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1,gamay nga cup,3,3
NEGROS OCCIDENTAL,MANAPLA,loaf bread,medium packs,1,medium,3,3
NEGROS OCCIDENTAL,MANAPLA,"prawns, lobster, shrimp",tumpok,1,tumpok,3,3
NEGROS OCCIDENTAL,MANAPLA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
NEGROS OCCIDENTAL,MOISES PADILLA (MAGALLON),chicken,whole (chicken),1,whole (chicken),3,3
NEGROS OCCIDENTAL,MOISES PADILLA (MAGALLON),"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,bilog,3,3
NEGROS OCCIDENTAL,MOISES PADILLA (MAGALLON),"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
NEGROS OCCIDENTAL,MOISES PADILLA (MAGALLON),loaf bread,large packs,1,large,3,3
NEGROS OCCIDENTAL,MOISES PADILLA (MAGALLON),"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
NEGROS OCCIDENTAL,MURCIA,chicken,whole (chicken),1,whole (chicken),3,3
NEGROS OCCIDENTAL,MURCIA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
NEGROS OCCIDENTAL,MURCIA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
NEGROS OCCIDENTAL,PONTEVEDRA,cabbage,pieces or units,1,bilog,3,3
NEGROS OCCIDENTAL,PONTEVEDRA,chicken,whole (chicken),1,whole (chicken),3,3
NEGROS OCCIDENTAL,PONTEVEDRA,fresh fish,pieces or units,1,bilog,3,3
NEGROS OCCIDENTAL,PONTEVEDRA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,bilog,3,3
NEGROS OCCIDENTAL,PONTEVEDRA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
NEGROS OCCIDENTAL,PONTEVEDRA,loaf bread,small packs,1,small,3,3
NEGROS OCCIDENTAL,PONTEVEDRA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
NEGROS OCCIDENTAL,PULUPANDAN,cabbage,pieces or units,1,bilog,3,3
NEGROS OCCIDENTAL,PULUPANDAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1,gamay nga cup,3,3
NEGROS OCCIDENTAL,PULUPANDAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
NEGROS OCCIDENTAL,PULUPANDAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
NEGROS OCCIDENTAL,SALVADOR BENEDICTO,chicken,bilog,1,bilog,3,3
NEGROS OCCIDENTAL,SALVADOR BENEDICTO,chicken,whole (chicken),1,whole (chicken),3,3
NEGROS OCCIDENTAL,SALVADOR BENEDICTO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,bilog,3,3
NEGROS OCCIDENTAL,SALVADOR BENEDICTO,loaf bread,large packs,1,large,3,3
NEGROS OCCIDENTAL,SALVADOR BENEDICTO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
NEGROS OCCIDENTAL,SAN ENRIQUE,chicken,whole (chicken),1,whole (chicken),3,3
NEGROS OCCIDENTAL,SAN ENRIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,bilog,3,3
NEGROS OCCIDENTAL,SAN ENRIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1,gamay nga cup,3,3
NEGROS OCCIDENTAL,SAN ENRIQUE,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
NEGROS OCCIDENTAL,SAN ENRIQUE,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,bilog,3,3
NEGROS OCCIDENTAL,SAN ENRIQUE,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
NEGROS OCCIDENTAL,TOBOSO,cabbage,pieces or units,1,bilog,3,3
NEGROS OCCIDENTAL,TOBOSO,chicken,bilog,1,bilog,3,3
NEGROS OCCIDENTAL,TOBOSO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,bilog,3,3
NEGROS OCCIDENTAL,TOBOSO,loaf bread,medium packs,1,medium,3,3
NEGROS OCCIDENTAL,TOBOSO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
NEGROS OCCIDENTAL,VALLADOLID,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,3,3
NEGROS OCCIDENTAL,VALLADOLID,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,bilog,3,3
NEGROS OCCIDENTAL,VALLADOLID,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,putos,3,3
ANTIQUE,SAN REMIGIO,loaf bread,large packs,3,dalagku nga putos | daragkul nga putos | large,2,2
ILOILO,DINGLE,fresh fish,pack,3,pack | putos | putos (pack),2,2
ILOILO,SAN RAFAEL,fresh fish,pack,3,per pack | per packs | putos,2,3
ANTIQUE,CULASI,loaf bread,medium packs,2,medium | medium nga putos,2,1
ANTIQUE,HAMTIC,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga cup | gmay nga cup,2,1
ANTIQUE,LAUA-AN,chicken,whole (chicken),2,bilog nga manok | whole (chicken),2,3
ANTIQUE,LAUA-AN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2,bilog | binilog,2,1
ANTIQUE,LIBERTAD,loaf bread,large packs,2,dalagku nga putos | daragkul nga putos,2,1
ANTIQUE,PATNONGON,cabbage,pieces or units,2,bilog | binilog,2,1
ANTIQUE,TIBIAO,loaf bread,large packs,2,dalagku nga putos | daragkul nga putos,2,1
ANTIQUE,VALDERRAMA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga tasa | small cup (translate),2,1
CAPIZ,CUARTERO,loaf bread,small packs,2,gagmay nga putos | small,2,1
CAPIZ,JAMINDAN,fresh fish,pieces or units,2,bilog | binilog,2,1
CAPIZ,SAPI-AN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga cup | maliit na tasa,2,3
ILOILO,AJUY,fresh fish,pack,2,pack | packs,2,1
ILOILO,DUEAS,fresh fish,pack,2,pack | putos,2,2
ILOILO,MIAGAO,loaf bread,small packs,2,gagmay nga putos | small,2,1
ILOILO,MINA,loaf bread,small packs,2,gagmay nga putos | small,2,1
ILOILO,SARA,fresh fish,pack,2,per pack | putos,2,3
AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",putos,1,putos,2,3
AKLAN,BANGA,chicken,pieces or units,1,binilog,2,3
AKLAN,BURUANGA,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,2,1
AKLAN,IBAJAY,chicken,pieces or units,1,binilog,2,3
AKLAN,IBAJAY,"prawns, lobster, shrimp",tumpok,1,tumpok,2,1
AKLAN,LIBACAO,fresh fish,pieces or units,1,binilog,2,1
AKLAN,MADALAG,mango,pieces or units,1,binilog,2,1
AKLAN,NABAS,chicken,pieces or units,1,binilog,2,1
AKLAN,NABAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,putos,2,1
AKLAN,NABAS,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lapad,2,1
ANTIQUE,BARBAZA,chicken,bilog,1,bilog,2,1
ANTIQUE,BARBAZA,loaf bread,large packs,1,daragkul nga putos,2,1
ANTIQUE,BELISON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1,gamay nga tasa,2,1
ANTIQUE,BELISON,mango,pieces or units,1,binilog,2,1
ANTIQUE,BUGASONG,chicken,bilog,1,bilog,2,1
ANTIQUE,BUGASONG,"drinks at restaurant, hotel, cafe, or kiosk",pieces,1,pieces,2,3
ANTIQUE,BUGASONG,fresh fish,pieces or units,1,bilog,2,1
ANTIQUE,HAMTIC,rice,salmon,1,salmon,2,1
ANTIQUE,LAUA-AN,mango,pieces or units,1,bilog,2,1
ANTIQUE,LIBERTAD,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,1,binilog,2,1
ANTIQUE,PANDAN,chicken,bilog,1,bilog,2,3
ANTIQUE,PANDAN,rice,letse,1,letse,2,1
ANTIQUE,PATNONGON,chicken,bilog,1,bilog,2,3
ANTIQUE,PATNONGON,chicken,pieces or units,1,binilog,2,3
ANTIQUE,PATNONGON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,putos,2,1
ANTIQUE,SAN REMIGIO,"drinks at restaurant, hotel, cafe, or kiosk",pieces,1,pieces,2,3
ANTIQUE,SAN REMIGIO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,putos,2,1
ANTIQUE,SEBASTE,chicken,bilog,1,bilog,2,1
ANTIQUE,SEBASTE,chicken,pieces or units,1,binilog,2,3
ANTIQUE,SEBASTE,"drinks at restaurant, hotel, cafe, or kiosk",pieces,1,pieces,2,3
ANTIQUE,SEBASTE,rice,letse,1,letse,2,1
