item,label,harmonized_nsu_unit,fold_verdict,dimension,n,median_g
"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,safe-fold,?,622,375.0
"liquor (e.g, whisky, coconut wine)",long-neck,long-neck,safe-fold,?,487,750.0
loaf bread,individual,individual,identity(ungrouped),?,1,60.0
loaf bread,large packs,large packs,safe-fold,?,411,640.0
loaf bread,medium packs,medium packs,safe-fold,?,352,450.0
loaf bread,small packs,small packs,fold(untested/minor-flag),?,260,360.0
loaf bread,tama-tama nga putos,tama-tama nga putos,identity(ungrouped),?,25,450.0
mango,"papaya, mango, banana","papaya, mango, banana",identity(ungrouped),?,4,702.5
mango,bilog,pieces or units,safe-fold,?,408,230.0
mango,binilog,pieces or units,safe-fold,?,132,230.0
"mineral or spring water, all drinking water sold in containers",container,container,identity(ungrouped),?,1,1000.0
"mineral or spring water, all drinking water sold in containers",distilled water,distilled water,identity(ungrouped),?,1,
"mineral or spring water, all drinking water sold in containers",refilled,refilled,identity(ungrouped),?,4,1000.0
pork,1 order,1 order,identity(ungrouped),?,2,1562.5
pork,1 serve,1 serve,identity(ungrouped),?,1,515.0
pork,2 slice,2 slice,identity(ungrouped),?,2,87.5
pork,pieces or units,pieces or units,safe-fold,?,15,265.0
pork,slice,slice,identity(ungrouped),?,4,425.0
pork,stick,stick,identity(ungrouped),?,1,25.0
"prawns, lobster, shrimp",cup,cup,identity(ungrouped),?,3,147.5
"prawns, lobster, shrimp",pack,pack,keep-separate,?,3,30.0
"prawns, lobster, shrimp",pieces or units,pieces or units,safe-fold,?,4,15.0
"prawns, lobster, shrimp",tumpok,tumpok,safe-fold,?,150,260.0
"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,bilog,reassigned-separate(item-specific),?,232,220.0
"preserved or processed meat (tocino, tapa, longaniza, etc)",lata,cans,safe-fold,?,96,155.0
"preserved or processed meat (tocino, tapa, longaniza, etc)",pack,pack,keep-separate,?,90,250.0
"preserved or processed meat (tocino, tapa, longaniza, etc)",binilog,pieces or units,safe-fold,?,42,67.5
"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,keep-separate,?,491,250.0
"preserved or processed meat (tocino, tapa, longaniza, etc)",role,role,identity(ungrouped),?,1,250.0
rice,ganta,gantang,safe-fold,?,28,2245.0
rice,letse,letse,safe-fold,?,3,425.0
rice,sack of rice,sack of rice,identity(ungrouped),?,3,2500.0
rice,salmon,salmon,safe-fold,?,21,410.0
