province,pull_municipal_city,cons_name,harmonized_nsu_unit,n_units,n_distinct,mix
ILOILO,TUBUNGAN,chicken,whole (chicken),2,1,full_triple + full_triple
ILOILO,TUBUNGAN,fresh fish,pieces or units,2,2,median_only + unique_only
ILOILO,TUBUNGAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,2,1,median_only + median_only
ILOILO,TUBUNGAN,loaf bread,large packs,2,2,full_triple + median_only
ILOILO,TUBUNGAN,loaf bread,medium packs,2,2,full_triple + median_only
ILOILO,TUBUNGAN,loaf bread,small packs,2,2,full_triple + unique_only
ILOILO,TUBUNGAN,mango,pieces or units,2,1,median_only + median_only
NEGROS OCCIDENTAL,CALATRAVA,chicken,whole (chicken),2,1,median_only + median_only
NEGROS OCCIDENTAL,CALATRAVA,loaf bread,medium packs,2,2,full_triple + median_only
NEGROS OCCIDENTAL,HINOBA-AN (ASIA),loaf bread,large packs,2,1,median_only + median_only
NEGROS OCCIDENTAL,HINOBA-AN (ASIA),loaf bread,medium packs,2,1,median_only + median_only
NEGROS OCCIDENTAL,ILOG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,1,median_only + median_only
NEGROS OCCIDENTAL,TOBOSO,loaf bread,small packs,2,1,median_only + median_only
NEGROS OCCIDENTAL,VALLADOLID,cabbage,pieces or units,2,1,median_only + median_only
NEGROS OCCIDENTAL,VALLADOLID,carrot,pieces or units,2,1,median_only + median_only
