province,pull_municipal_city,cons_name,harmonized_nsu_unit,price_type,n_levels,lo,hi,ratio
ANTIQUE,BUGASONG,chicken,whole (chicken),mp50_price,2,210.0,222.5,1.0595238095238095
AKLAN,BATAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mp75_price,2,168.75,178.75,1.0592592592592593
ILOILO,MIAGAO,chicken,whole (chicken),mp25_price,2,190.0,200.0,1.0526315789473684
ILOILO,AJUY,loaf bread,large packs,mp25_price,2,80.75,85.0,1.0526315789473684
ILOILO,JANIUAY,loaf bread,large packs,mp25_price,2,80.0,83.75,1.046875
ILOILO,BADIANGAN,loaf bread,large packs,mp25_price,2,80.0,83.75,1.046875
ANTIQUE,SIBALOM,chicken,whole (chicken),mp25_price,2,215.0,225.0,1.0465116279069768
ILOILO,TIGBAUAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,mp75_price,2,130.0,136.0,1.0461538461538462
CAPIZ,SIGMA,loaf bread,large packs,mp50_price,2,85.0,88.0,1.035294117647059
CAPIZ,SIGMA,loaf bread,large packs,mp75_price,2,155.0,160.0,1.032258064516129
ANTIQUE,HAMTIC,loaf bread,large packs,mp50_price,2,95.0,97.0,1.0210526315789474
CAPIZ,PANAY,loaf bread,large packs,mp25_price,2,84.25,85.0,1.0089020771513353
