province,pull_municipal_city,cons_name,harmonized_nsu_unit,branch,unique_price,prov_median,abs_gap,ratio,n_weighings,holds
ANTIQUE,HAMTIC,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,size-based,80.0,45.0,35.0,1.7777777777777777,4,prov_median + unique x1
AKLAN,BATAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",cans,size-based,120.0,85.0,35.0,1.411764705882353,18,prov_median + unique x1
ILOILO,MAASIN,cabbage,pieces or units,size-based,70.0,37.5,32.5,1.8666666666666667,16,mun_median + prov_median + unique x1
NEGROS OCCIDENTAL,PONTEVEDRA,"liquor (e.g, whisky, coconut wine)",long-neck,price-quantity,150.0,182.5,32.5,0.821917808219178,2,prov_median + unique x1
NEGROS OCCIDENTAL,CALATRAVA,"liquor (e.g, whisky, coconut wine)",long-neck,price-quantity,150.0,182.5,32.5,0.821917808219178,5,prov_median + unique x1
NEGROS OCCIDENTAL,HINIGARAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,size-based,70.0,38.0,32.0,1.8421052631578947,1,prov_median + unique x2
ILOILO,CONCEPCION,"crackers, cookies, buiscuits, chips/curls",pieces or units,size-based,80.0,48.0,32.0,1.6666666666666667,1,full_triple + prov_median + unique x1
NEGROS OCCIDENTAL,ISABELA,mango,pieces or units,price-quantity,30.0,60.0,30.0,0.5,3,prov_median + unique x1
NEGROS OCCIDENTAL,TOBOSO,chicken,whole (chicken),price-quantity,220.0,250.0,30.0,0.88,2,prov_median + unique x1
AKLAN,MAKATO,mango,pieces or units,size-based,30.0,60.0,30.0,0.5,12,prov_median + unique x1
ILOILO,SAN MIGUEL,chicken,bilog,(no MS rows),250.0,280.0,30.0,0.8928571428571429,0,prov_median + unique x2
ILOILO,SANTA BARBARA,mango,pieces or units,size-based,50.0,80.0,30.0,0.625,25,prov_median + unique x1
ILOILO,SAN RAFAEL,fresh fish,pack,(no MS rows),270.0,300.0,30.0,0.9,0,full_triple + prov_median + unique x2
ILOILO,NEW LUCENA,carrot,pack,(no MS rows),50.0,20.0,30.0,2.5,0,prov_median + unique x1
ANTIQUE,PANDAN,rice,letse,(no MS rows),360.0,390.0,30.0,0.9230769230769231,0,prov_median + unique x2
ILOILO,SAN DIONISIO,camote,bilog,size-based,60.0,30.0,30.0,2.0,13,prov_median + unique x1
ANTIQUE,PANDAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,size-based,60.0,30.0,30.0,2.0,1,full_triple + prov_median + unique x2
ANTIQUE,CULASI,loaf bread,tama-tama nga putos,(no MS rows),40.0,70.0,30.0,0.5714285714285714,0,prov_median + unique x1
ILOILO,MIAGAO,mango,pieces or units,size-based,50.0,80.0,30.0,0.625,19,prov_median + unique x1
ILOILO,MINA,"liquor (e.g, whisky, coconut wine)",long-neck,size-based,150.0,180.0,30.0,0.8333333333333334,6,prov_median + unique x1
ILOILO,NEW LUCENA,cabbage,pack,size-based,50.0,20.0,30.0,2.5,3,prov_median + unique x1
ILOILO,JANIUAY,chicken,whole (chicken),size-based,220.0,250.0,30.0,0.88,9,full_triple + prov_median + unique x2
AKLAN,MADALAG,mango,pieces or units,size-based,30.0,60.0,30.0,0.5,4,prov_median + unique x2
NEGROS OCCIDENTAL,CALATRAVA,loaf bread,large packs,size-based,60.0,90.0,30.0,0.6666666666666666,1,prov_median + unique x1
NEGROS OCCIDENTAL,HINIGARAN,"prawns, lobster, shrimp",tumpok,price-quantity,50.0,80.0,30.0,0.625,2,prov_median + unique x1
ANTIQUE,BUGASONG,chicken,bilog,(no MS rows),280.0,250.0,30.0,1.12,0,prov_median + unique x2
ANTIQUE,BUGASONG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,size-based,15.0,45.0,30.0,0.3333333333333333,3,prov_median + unique x1
ANTIQUE,SAN REMIGIO,camote,tumpok,conventional,20.0,50.0,30.0,0.4,4,prov_median + unique x1
ILOILO,MAASIN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,size-based,60.0,30.0,30.0,2.0,4,full_triple + prov_median + unique x1
ILOILO,LEMERY,"liquor (e.g, whisky, coconut wine)",long-neck,size-based,150.0,180.0,30.0,0.8333333333333334,2,prov_median + unique x1
ANTIQUE,SAN REMIGIO,loaf bread,large packs,conventional,150.0,120.0,30.0,1.25,3,mun_median + prov_median + unique x2
ILOILO,LEMERY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,(no MS rows),20.0,50.0,30.0,0.4,0,full_triple + prov_median + unique x1
ANTIQUE,TIBIAO,cabbage,pieces or units,size-based,80.0,50.0,30.0,1.6,16,prov_median + unique x1
ILOILO,JANIUAY,"liquor (e.g, whisky, coconut wine)",long-neck,size-based,150.0,180.0,30.0,0.8333333333333334,8,prov_median + unique x1
ILOILO,ANILAO,chicken,bilog,size-based,250.0,280.0,30.0,0.8928571428571429,11,prov_median + unique x2
ANTIQUE,VALDERRAMA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,size-based,10.0,40.0,30.0,0.25,3,mun_median + prov_median + unique x2
ANTIQUE,TOBIAS FORNIER,fresh fish,pieces or units,size-based,210.0,180.0,30.0,1.1666666666666667,7,prov_median + unique x1
ANTIQUE,TOBIAS FORNIER,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,conventional,15.0,45.0,30.0,0.3333333333333333,5,prov_median + unique x1
ILOILO,BAROTAC VIEJO,chicken,pieces or units,(no MS rows),130.0,100.0,30.0,1.3,0,prov_median + unique x1
ILOILO,ALIMODIAN,"liquor (e.g, whisky, coconut wine)",long-neck,size-based,150.0,180.0,30.0,0.8333333333333334,9,prov_median + unique x1
ILOILO,BINGAWAN,"liquor (e.g, whisky, coconut wine)",long-neck,size-based,150.0,180.0,30.0,0.8333333333333334,8,prov_median + unique x1
ILOILO,BATAD,loaf bread,small packs,size-based,20.0,50.0,30.0,0.4,1,mun_median + prov_median + unique x1
ILOILO,CALINOG,"liquor (e.g, whisky, coconut wine)",long-neck,size-based,150.0,180.0,30.0,0.8333333333333334,10,prov_median + unique x2
CAPIZ,PILAR,fresh fish,pieces or units,size-based,80.0,110.0,30.0,0.7272727272727273,14,prov_median + unique x2
ILOILO,DUMANGAS,"liquor (e.g, whisky, coconut wine)",long-neck,size-based,150.0,180.0,30.0,0.8333333333333334,2,prov_median + unique x1
CAPIZ,CUARTERO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,price-quantity,20.0,50.0,30.0,0.4,3,prov_median + unique x2
ILOILO,ESTANCIA,fresh fish,pieces or units,size-based,70.0,100.0,30.0,0.7,15,prov_median + unique x2
ILOILO,ANILAO,chicken,whole (chicken),(no MS rows),220.0,250.0,30.0,0.88,0,prov_median + unique x1
ILOILO,BALASAN,mango,pieces or units,size-based,50.0,80.0,30.0,0.625,4,prov_median + unique x2
NEGROS OCCIDENTAL,MANAPLA,loaf bread,large packs,size-based,120.0,90.0,30.0,1.3333333333333333,5,prov_median + unique x1
ILOILO,MIAGAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,size-based,20.0,50.0,30.0,0.4,4,full_triple + prov_median + unique x2
ANTIQUE,SEBASTE,chicken,whole (chicken),size-based,280.0,250.0,30.0,1.12,1,full_triple + prov_median + unique x2
ILOILO,SAN JOAQUIN,loaf bread,tama-tama nga putos,(no MS rows),48.0,77.5,29.5,0.6193548387096774,0,prov_median + unique x2
ILOILO,ALIMODIAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,size-based,20.0,48.0,28.0,0.4166666666666667,3,prov_median + unique x2
ILOILO,SAN RAFAEL,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,size-based,20.0,48.0,28.0,0.4166666666666667,4,prov_median + unique x1
ILOILO,LEON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,size-based,20.0,48.0,28.0,0.4166666666666667,5,prov_median + unique x1
ILOILO,DUMANGAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",cone,size-based,60.0,32.5,27.5,1.8461538461538463,2,prov_median + unique x1
ILOILO,BAROTAC VIEJO,loaf bread,tama-tama nga putos,(no MS rows),50.0,77.5,27.5,0.6451612903225806,0,prov_median + unique x1
ANTIQUE,BELISON,"liquor (e.g, whisky, coconut wine)",long-neck,price-quantity,130.0,157.5,27.5,0.8253968253968254,8,prov_median + unique x1
AKLAN,LIBACAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,(no MS rows),80.0,54.0,26.0,1.4814814814814814,0,prov_median + unique x1
CAPIZ,JAMINDAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,size-based,75.0,49.0,26.0,1.530612244897959,1,prov_median + unique x2
ILOILO,BAROTAC NUEVO,"liquor (e.g, whisky, coconut wine)",long-neck,size-based,155.0,180.0,25.0,0.8611111111111112,3,prov_median + unique x2
