province,pull_municipal_city,cons_name,harmonized_nsu_unit,branch,unique_price,prov_median,abs_gap,ratio,n_weighings,holds
ILOILO,MINA,loaf bread,small packs,size-based,50.0,49.0,1.0,1.0204081632653061,3,mun_median + prov_median + unique x2
ILOILO,DUEAS,fresh fish,pack,(no MS rows),200.0,200.0,0.0,1.0,0,prov_median + unique x2
CAPIZ,DUMALAG,fresh fish,pack,(no MS rows),200.0,200.0,0.0,1.0,0,prov_median + unique x2
ILOILO,BAROTAC VIEJO,fresh fish,pieces or units,size-based,100.0,100.0,0.0,1.0,5,prov_median + unique x2
CAPIZ,MAMBUSAO,rice,letse,(no MS rows),300.0,300.0,0.0,1.0,0,prov_median + unique x2
ILOILO,BAROTAC VIEJO,fresh fish,tumpok,size-based,300.0,300.0,0.0,1.0,6,prov_median + unique x1
ILOILO,AJUY,fresh fish,pack,price-quantity,200.0,200.0,0.0,1.0,1,prov_median + unique x2
AKLAN,BURUANGA,"liquor (e.g, whisky, coconut wine)",long-neck,size-based,240.0,240.0,0.0,1.0,9,prov_median + unique x2
ILOILO,DINGLE,fresh fish,pack,(no MS rows),200.0,200.0,0.0,1.0,0,prov_median + unique x2
CAPIZ,CUARTERO,loaf bread,small packs,size-based,50.0,50.0,0.0,1.0,2,mun_median + prov_median + unique x2
ANTIQUE,LIBERTAD,loaf bread,large packs,size-based,120.0,120.0,0.0,1.0,1,mun_median + prov_median + unique x2
ANTIQUE,HAMTIC,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,size-based,20.0,20.0,0.0,1.0,3,mun_median + prov_median + unique x2
ANTIQUE,BARBAZA,chicken,bilog,(no MS rows),250.0,250.0,0.0,1.0,0,prov_median + unique x2
AKLAN,NABAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,size-based,30.0,30.0,0.0,1.0,4,prov_median + unique x2
NEGROS OCCIDENTAL,VALLADOLID,chicken,bilog,price-quantity,250.0,250.0,0.0,1.0,2,prov_median + unique x2
ILOILO,SAN ENRIQUE,chicken,bilog,(no MS rows),130.0,,,,0,full_triple + unique x13
ILOILO,SAN ENRIQUE,chicken,bilog,(no MS rows),400.0,,,,0,full_triple + unique x13
ILOILO,SAN ENRIQUE,chicken,bilog,(no MS rows),200.0,,,,0,full_triple + unique x13
ILOILO,SAN ENRIQUE,chicken,bilog,(no MS rows),350.0,,,,0,full_triple + unique x13
ILOILO,SAN ENRIQUE,chicken,bilog,(no MS rows),290.0,,,,0,full_triple + unique x13
ILOILO,SAN ENRIQUE,chicken,bilog,(no MS rows),250.0,,,,0,full_triple + unique x13
ILOILO,SAN ENRIQUE,chicken,bilog,(no MS rows),500.0,,,,0,full_triple + unique x13
ILOILO,SAN ENRIQUE,chicken,bilog,(no MS rows),600.0,,,,0,full_triple + unique x13
ILOILO,SAN ENRIQUE,chicken,bilog,(no MS rows),800.0,,,,0,full_triple + unique x13
ILOILO,SAN ENRIQUE,chicken,bilog,(no MS rows),1200.0,,,,0,full_triple + unique x13
ILOILO,SAN ENRIQUE,chicken,bilog,(no MS rows),300.0,,,,0,full_triple + unique x13
ILOILO,SAN ENRIQUE,chicken,bilog,(no MS rows),180.0,,,,0,full_triple + unique x13
ILOILO,SAN ENRIQUE,chicken,bilog,(no MS rows),220.0,,,,0,full_triple + unique x13
ILOILO,SAN ENRIQUE,fresh fish,pieces or units,size-based,20.0,,,,3,full_triple + unique x5
ILOILO,SAN ENRIQUE,fresh fish,pieces or units,size-based,100.0,,,,3,full_triple + unique x5
ILOILO,SAN ENRIQUE,fresh fish,pieces or units,size-based,150.0,,,,3,full_triple + unique x5
ILOILO,SAN ENRIQUE,fresh fish,pieces or units,size-based,90.0,,,,3,full_triple + unique x5
ILOILO,SAN ENRIQUE,fresh fish,pieces or units,size-based,120.0,,,,3,full_triple + unique x5
NEGROS OCCIDENTAL,PONTEVEDRA,cabbage,pieces or units,price-quantity,50.0,,,,3,full_triple + unique x9
NEGROS OCCIDENTAL,PONTEVEDRA,cabbage,pieces or units,price-quantity,30.0,,,,3,full_triple + unique x9
NEGROS OCCIDENTAL,PONTEVEDRA,cabbage,pieces or units,price-quantity,105.0,,,,3,full_triple + unique x9
NEGROS OCCIDENTAL,PONTEVEDRA,cabbage,pieces or units,price-quantity,20.0,,,,3,full_triple + unique x9
NEGROS OCCIDENTAL,PONTEVEDRA,cabbage,pieces or units,price-quantity,40.0,,,,3,full_triple + unique x9
NEGROS OCCIDENTAL,PONTEVEDRA,cabbage,pieces or units,price-quantity,25.0,,,,3,full_triple + unique x9
NEGROS OCCIDENTAL,PONTEVEDRA,cabbage,pieces or units,price-quantity,150.0,,,,3,full_triple + unique x9
NEGROS OCCIDENTAL,PONTEVEDRA,cabbage,pieces or units,price-quantity,90.0,,,,3,full_triple + unique x9
NEGROS OCCIDENTAL,PONTEVEDRA,cabbage,pieces or units,price-quantity,35.0,,,,3,full_triple + unique x9
NEGROS OCCIDENTAL,PONTEVEDRA,chicken,bilog,price-quantity,250.0,,,,6,full_triple + unique x4
NEGROS OCCIDENTAL,PONTEVEDRA,chicken,bilog,price-quantity,200.0,,,,6,full_triple + unique x4
NEGROS OCCIDENTAL,PONTEVEDRA,chicken,bilog,price-quantity,400.0,,,,6,full_triple + unique x4
NEGROS OCCIDENTAL,PONTEVEDRA,chicken,bilog,price-quantity,180.0,,,,6,full_triple + unique x4
