province,pull_municipal_city,cons_name,harmonized_nsu_unit,p_weighed,p_unweighed,ratio,flag_unconvertible,n_ms_weighings,n_price_spellings,n_unweighed
CAPIZ,JAMINDAN,fresh fish,pieces or units,120.0,50.0,0.4166666666666667,True,5,2,1
ANTIQUE,VALDERRAMA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,30.0,12.5,0.4166666666666667,True,3,2,1
AKLAN,BATAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,66.0,27.0,0.4090909090909091,True,1,2,1
ILOILO,SARA,fresh fish,pieces or units,250.0,100.0,0.4,True,14,2,1
ANTIQUE,CULASI,cabbage,pieces or units,75.0,30.0,0.4,True,21,2,1
CAPIZ,TAPAZ,loaf bread,large packs,200.0,80.0,0.4,True,10,2,1
ILOILO,MIAGAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,70.0,25.0,0.35714285714285715,True,4,2,1
ILOILO,SARA,fresh fish,pack,300.0,100.0,0.3333333333333333,True,7,2,1
ILOILO,BAROTAC NUEVO,loaf bread,small packs,100.0,32.5,0.325,True,2,2,1
AKLAN,IBAJAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,105.0,33.75,0.32142857142857145,True,2,3,2
ANTIQUE,VALDERRAMA,"preserved or processed meat (tocino, tapa, longaniza, etc)",cans,93.0,25.0,0.26881720430107525,True,7,2,1
AKLAN,MALAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,105.0,25.0,0.23809523809523808,True,4,2,1
CAPIZ,SAPI-AN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,455.0,105.0,0.23076923076923078,True,6,2,1
