bucket,prov,mun,item,harm,n_psps_obs
convertible from its own cell,CAPIZ,SIGMA,camote tops,bugkos,305
convertible from its own cell,CAPIZ,MA-AYON,camote tops,bugkos,215
convertible from its own cell,CAPIZ,DUMARAO,camote tops,bugkos,214
province fallback available,ILOILO,LEMERY,camote tops,bugkos,210
province fallback available,AKLAN,IBAJAY,camote tops,bundle,204
convertible from its own cell,ANTIQUE,SAN REMIGIO,camote tops,bugkos,195
convertible from its own cell,ILOILO,DUEAS,camote tops,bugkos,194
convertible from its own cell,ANTIQUE,SIBALOM,camote tops,bugkos,187
convertible from its own cell,ILOILO,AJUY,camote tops,bugkos,170
convertible from its own cell,AKLAN,ALTAVAS,camote tops,bundle,168
convertible from its own cell,ILOILO,DINGLE,camote tops,bugkos,167
convertible from its own cell,ILOILO,SAN DIONISIO,camote tops,bugkos,164
convertible from its own cell,ILOILO,CABATUAN,camote tops,bugkos,159
convertible from its own cell,ILOILO,MAASIN,camote tops,bugkos,158
convertible from its own cell,ILOILO,BAROTAC VIEJO,camote tops,bugkos,155
convertible from its own cell,ILOILO,LAMBUNAO,camote tops,bugkos,153
convertible from its own cell,ILOILO,CALINOG,camote tops,bugkos,153
convertible from its own cell,ANTIQUE,PATNONGON,camote tops,bugkos,153
convertible from its own cell,CAPIZ,PANAY,camote tops,bugkos,152
convertible from its own cell,CAPIZ,TAPAZ,camote tops,bugkos,152
convertible from its own cell,ILOILO,IGBARAS,camote tops,bugkos,152
convertible from its own cell,ILOILO,BADIANGAN,camote tops,bugkos,148
convertible from its own cell,ILOILO,SAN JOAQUIN,camote tops,bugkos,142
convertible from its own cell,CAPIZ,PANITAN,camote tops,bugkos,136
convertible from its own cell,ILOILO,JANIUAY,camote tops,bugkos,134
convertible from its own cell,CAPIZ,PILAR,camote tops,bugkos,134
convertible from its own cell,CAPIZ,CUARTERO,camote tops,bugkos,128
convertible from its own cell,NEGROS OCCIDENTAL,CAUAYAN,camote tops,bugkos,127
convertible from its own cell,ILOILO,ALIMODIAN,camote tops,bugkos,125
convertible from its own cell,ILOILO,SARA,camote tops,bugkos,123
convertible from its own cell,ILOILO,LEMERY,"liquor (e.g, whisky, coconut wine)",lipid/lapad,121
convertible from its own cell,AKLAN,MALINAO,camote tops,bundle,119
convertible from its own cell,ANTIQUE,TOBIAS FORNIER,camote tops,bugkos,118
convertible from its own cell,ILOILO,POTOTAN,camote tops,bugkos,116
convertible from its own cell,ILOILO,TUBUNGAN,camote tops,bugkos,116
convertible from its own cell,NEGROS OCCIDENTAL,ISABELA,camote tops,bugkos,115
convertible from its own cell,CAPIZ,DAO,camote tops,bugkos,115
province fallback available,AKLAN,BATAN,camote tops,bundle,114
convertible from its own cell,ILOILO,BAROTAC VIEJO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,113
convertible from its own cell,CAPIZ,JAMINDAN,camote tops,bugkos,111
convertible from its own cell,ILOILO,SAN ENRIQUE,camote tops,bugkos,111
convertible from its own cell,ILOILO,MIAGAO,camote tops,bugkos,110
convertible from its own cell,ILOILO,MINA,camote tops,bugkos,110
convertible from its own cell,NEGROS OCCIDENTAL,CANDONI,camote tops,bugkos,109
province fallback available,ILOILO,LEMERY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,108
convertible from its own cell,ANTIQUE,VALDERRAMA,camote tops,bugkos,108
convertible from its own cell,CAPIZ,SIGMA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,105
convertible from its own cell,ILOILO,BADIANGAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,103
convertible from its own cell,CAPIZ,MAMBUSAO,camote tops,bugkos,100
convertible from its own cell,ILOILO,IGBARAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,99
convertible from its own cell,ILOILO,BALASAN,camote tops,bugkos,98
convertible from its own cell,AKLAN,LIBACAO,camote tops,bundle,94
convertible from its own cell,ILOILO,DUEAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,91
convertible from its own cell,CAPIZ,DUMARAO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,90
convertible from its own cell,ILOILO,LEON,camote tops,bugkos,88
convertible from its own cell,CAPIZ,MA-AYON,"liquor (e.g, whisky, coconut wine)",lipid/lapad,88
province fallback available,ILOILO,BAROTAC VIEJO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,86
province fallback available,AKLAN,MADALAG,camote tops,bundle,86
convertible from its own cell,ILOILO,AJUY,"liquor (e.g, whisky, coconut wine)",lipid/lapad,85
province fallback available,ILOILO,DINGLE,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,85
province fallback available,CAPIZ,IVISAN,camote tops,bugkos,84
convertible from its own cell,ILOILO,TIGBAUAN,camote tops,bugkos,84
convertible from its own cell,ILOILO,BADIANGAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,83
convertible from its own cell,ILOILO,SAN RAFAEL,camote tops,bugkos,82
convertible from its own cell,ANTIQUE,SIBALOM,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,82
convertible from its own cell,ANTIQUE,HAMTIC,camote tops,bugkos,82
convertible from its own cell,ILOILO,MAASIN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,81
convertible from its own cell,ILOILO,CALINOG,"liquor (e.g, whisky, coconut wine)",lipid/lapad,81
province fallback available,ILOILO,SAN JOAQUIN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,81
province fallback available,CAPIZ,SAPI-AN,camote tops,bugkos,81
convertible from its own cell,ILOILO,BAROTAC NUEVO,camote tops,bugkos,80
convertible from its own cell,ANTIQUE,SIBALOM,"liquor (e.g, whisky, coconut wine)",lipid/lapad,79
convertible from its own cell,CAPIZ,SIGMA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,78
convertible from its own cell,ILOILO,DUMANGAS,camote tops,bugkos,78
convertible from its own cell,ANTIQUE,LAUA-AN,camote tops,bundle,77
convertible from its own cell,ILOILO,DUEAS,"liquor (e.g, whisky, coconut wine)",lipid/lapad,77
convertible from its own cell,NEGROS OCCIDENTAL,SAN ENRIQUE,camote tops,bugkos,76
convertible from its own cell,ILOILO,MAASIN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,76
convertible from its own cell,ANTIQUE,TOBIAS FORNIER,camote tops,bundle,75
convertible from its own cell,NEGROS OCCIDENTAL,HINIGARAN,camote tops,bugkos,75
convertible from its own cell,ILOILO,AJUY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,74
convertible from its own cell,ILOILO,TIGBAUAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,74
convertible from its own cell,CAPIZ,MA-AYON,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,73
convertible from its own cell,ANTIQUE,BUGASONG,camote tops,bugkos,72
convertible from its own cell,CAPIZ,PANAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,72
convertible from its own cell,CAPIZ,PANITAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,70
province fallback available,ILOILO,CALINOG,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,70
convertible from its own cell,NEGROS OCCIDENTAL,PONTEVEDRA,camote tops,bugkos,69
convertible from its own cell,ANTIQUE,PATNONGON,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,68
convertible from its own cell,ILOILO,SAN DIONISIO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,68
convertible from its own cell,ILOILO,SAN DIONISIO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,67
convertible from its own cell,AKLAN,BANGA,camote tops,bundle,64
province fallback available,ILOILO,CABATUAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,64
convertible from its own cell,ILOILO,SAN JOAQUIN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,63
convertible from its own cell,ILOILO,ALIMODIAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,63
convertible from its own cell,ILOILO,CARLES,camote tops,bugkos,63
province fallback available,AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,63
convertible from its own cell,ILOILO,DINGLE,"liquor (e.g, whisky, coconut wine)",lipid/lapad,61
convertible from its own cell,CAPIZ,CUARTERO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,61
convertible from its own cell,ANTIQUE,SAN REMIGIO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,60
province fallback available,AKLAN,MALAY,camote tops,bundle,60
convertible from its own cell,ILOILO,LAMBUNAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,60
province fallback available,NEGROS OCCIDENTAL,TOBOSO,camote tops,bugkos,60
convertible from its own cell,CAPIZ,DUMARAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,60
convertible from its own cell,ILOILO,BADIANGAN,"crackers, cookies, buiscuits, chips/curls",putos,60
convertible from its own cell,ILOILO,JANIUAY,"liquor (e.g, whisky, coconut wine)",lipid/lapad,59
convertible from its own cell,CAPIZ,PANITAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,59
convertible from its own cell,ILOILO,CONCEPCION,camote tops,bugkos,59
province fallback available,ANTIQUE,BUGASONG,camote tops,bundle,59
convertible from its own cell,ILOILO,SAN ENRIQUE,"liquor (e.g, whisky, coconut wine)",lipid/lapad,59
convertible from its own cell,CAPIZ,CUARTERO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,58
convertible from its own cell,ILOILO,IGBARAS,chicken,bilog,58
province fallback available,ANTIQUE,SIBALOM,camote tops,bundle,57
convertible from its own cell,AKLAN,IBAJAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,57
province fallback available,ILOILO,BADIANGAN,loaf bread,small packs,57
convertible from its own cell,ILOILO,SARA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,57
convertible from its own cell,ILOILO,IGBARAS,"liquor (e.g, whisky, coconut wine)",lipid/lapad,57
convertible from its own cell,CAPIZ,TAPAZ,"liquor (e.g, whisky, coconut wine)",lipid/lapad,56
convertible from its own cell,AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,56
convertible from its own cell,CAPIZ,PONTEVEDRA,camote tops,bugkos,55
convertible from its own cell,ANTIQUE,TOBIAS FORNIER,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,55
convertible from its own cell,ANTIQUE,SEBASTE,camote tops,bugkos,54
convertible from its own cell,ANTIQUE,CULASI,camote tops,bugkos,54
convertible from its own cell,AKLAN,MAKATO,camote tops,bundle,54
convertible from its own cell,ILOILO,LAMBUNAO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,54
convertible from its own cell,NEGROS OCCIDENTAL,HINOBA-AN (ASIA),camote tops,bugkos,53
convertible from its own cell,CAPIZ,PILAR,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,53
convertible from its own cell,ILOILO,OTON,"crackers, cookies, buiscuits, chips/curls",putos,53
convertible from its own cell,ILOILO,CABATUAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,52
convertible from its own cell,ILOILO,ALIMODIAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,52
convertible from its own cell,ILOILO,AJUY,"crackers, cookies, buiscuits, chips/curls",pieces or units,52
convertible from its own cell,CAPIZ,PRESIDENT ROXAS,camote tops,bugkos,52
convertible from its own cell,CAPIZ,DUMALAG,camote tops,bugkos,52
convertible from its own cell,CAPIZ,MA-AYON,"crackers, cookies, buiscuits, chips/curls",putos,52
convertible from its own cell,AKLAN,IBAJAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,52
convertible from its own cell,ILOILO,BADIANGAN,camote tops,bundle,51
convertible from its own cell,ILOILO,MINA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,51
convertible from its own cell,CAPIZ,SIGMA,"crackers, cookies, buiscuits, chips/curls",putos,51
convertible from its own cell,ILOILO,ESTANCIA,camote tops,bugkos,51
convertible from its own cell,ILOILO,JANIUAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,51
convertible from its own cell,ILOILO,BALASAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,50
convertible from its own cell,ILOILO,BALASAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,50
convertible from its own cell,ILOILO,AJUY,"crackers, cookies, buiscuits, chips/curls",putos,50
convertible from its own cell,ILOILO,OTON,camote tops,bugkos,50
convertible from its own cell,NEGROS OCCIDENTAL,SALVADOR BENEDICTO,camote tops,bugkos,50
convertible from its own cell,ILOILO,SAN ENRIQUE,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,50
convertible from its own cell,CAPIZ,IVISAN,loaf bread,small packs,50
convertible from its own cell,ILOILO,GUIMBAL,camote tops,bugkos,50
province fallback available,ANTIQUE,SEBASTE,camote tops,bundle,49
convertible from its own cell,AKLAN,MALINAO,"crackers, cookies, buiscuits, chips/curls",putos,49
convertible from its own cell,CAPIZ,TAPAZ,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,49
province fallback available,ILOILO,AJUY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,48
convertible from its own cell,ANTIQUE,TIBIAO,camote tops,bugkos,48
convertible from its own cell,ILOILO,TIGBAUAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,48
convertible from its own cell,ANTIQUE,LAUA-AN,camote tops,bugkos,48
province fallback available,ANTIQUE,HAMTIC,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,48
convertible from its own cell,ILOILO,LEMERY,chicken,whole (chicken),48
province fallback available,ILOILO,MAASIN,loaf bread,small packs,48
convertible from its own cell,ANTIQUE,BELISON,camote tops,bugkos,47
province fallback available,CAPIZ,IVISAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,47
convertible from its own cell,ILOILO,DUMANGAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,47
convertible from its own cell,CAPIZ,PILAR,"liquor (e.g, whisky, coconut wine)",lipid/lapad,47
convertible from its own cell,ILOILO,BADIANGAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,47
convertible from its own cell,ILOILO,BADIANGAN,loaf bread,large packs,47
convertible from its own cell,CAPIZ,SIGMA,carrot,pieces or units,46
convertible from its own cell,ILOILO,BAROTAC NUEVO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,46
province fallback available,ILOILO,LEMERY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,46
convertible from its own cell,ILOILO,POTOTAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,46
convertible from its own cell,CAPIZ,DAO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,46
convertible from its own cell,ANTIQUE,PANDAN,camote tops,bugkos,46
convertible from its own cell,NEGROS OCCIDENTAL,HINIGARAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,46
convertible from its own cell,ILOILO,OTON,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,46
convertible from its own cell,CAPIZ,PANAY,"liquor (e.g, whisky, coconut wine)",lipid/lapad,46
convertible from its own cell,AKLAN,ALTAVAS,"liquor (e.g, whisky, coconut wine)",lipid/lapad,45
province fallback available,ILOILO,MINA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,45
convertible from its own cell,ILOILO,BADIANGAN,chicken,whole (chicken),45
convertible from its own cell,CAPIZ,MAMBUSAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,45
convertible from its own cell,CAPIZ,DAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,45
province fallback available,ANTIQUE,PATNONGON,camote tops,bundle,45
convertible from its own cell,ILOILO,SANTA BARBARA,camote tops,bugkos,44
convertible from its own cell,ILOILO,BADIANGAN,carrot,pieces or units,44
convertible from its own cell,ILOILO,BAROTAC VIEJO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,44
convertible from its own cell,ILOILO,POTOTAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,44
convertible from its own cell,CAPIZ,SIGMA,"crackers, cookies, buiscuits, chips/curls",pieces or units,44
convertible from its own cell,NEGROS OCCIDENTAL,VALLADOLID,camote tops,bugkos,44
convertible from its own cell,ANTIQUE,SAN REMIGIO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,44
province fallback available,CAPIZ,SIGMA,loaf bread,small packs,44
convertible from its own cell,ANTIQUE,TOBIAS FORNIER,"liquor (e.g, whisky, coconut wine)",lipid/lapad,44
convertible from its own cell,ANTIQUE,VALDERRAMA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,43
convertible from its own cell,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA (SARAVIA),camote tops,bugkos,43
province fallback available,ILOILO,CARLES,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,43
convertible from its own cell,AKLAN,MALINAO,"crackers, cookies, buiscuits, chips/curls",pieces or units,42
convertible from its own cell,ILOILO,MAASIN,carrot,pieces or units,42
convertible from its own cell,ILOILO,LEMERY,loaf bread,small packs,42
convertible from its own cell,ILOILO,BANATE,camote tops,bugkos,42
convertible from its own cell,NEGROS OCCIDENTAL,CANDONI,"liquor (e.g, whisky, coconut wine)",lipid/lapad,42
province fallback available,ILOILO,BADIANGAN,chicken,bilog,42
convertible from its own cell,ILOILO,LEMERY,"crackers, cookies, buiscuits, chips/curls",putos,42
convertible from its own cell,CAPIZ,PANAY,"crackers, cookies, buiscuits, chips/curls",putos,41
convertible from its own cell,NEGROS OCCIDENTAL,MOISES PADILLA (MAGALLON),camote tops,bugkos,41
convertible from its own cell,ILOILO,BAROTAC VIEJO,loaf bread,small packs,41
convertible from its own cell,ILOILO,BINGAWAN,camote tops,bugkos,41
convertible from its own cell,ILOILO,AJUY,loaf bread,small packs,41
convertible from its own cell,AKLAN,IBAJAY,carrot,pieces or units,41
convertible from its own cell,ANTIQUE,PATNONGON,"liquor (e.g, whisky, coconut wine)",lipid/lapad,40
convertible from its own cell,ANTIQUE,BUGASONG,"liquor (e.g, whisky, coconut wine)",lipid/lapad,40
convertible from its own cell,CAPIZ,PANAY,"crackers, cookies, buiscuits, chips/curls",pieces or units,40
convertible from its own cell,ANTIQUE,LIBERTAD,camote tops,bugkos,40
convertible from its own cell,ILOILO,DUEAS,"crackers, cookies, buiscuits, chips/curls",putos,39
convertible from its own cell,ANTIQUE,TOBIAS FORNIER,chicken,whole (chicken),39
province fallback available,ILOILO,MIAGAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,39
convertible from its own cell,ILOILO,TIGBAUAN,"crackers, cookies, buiscuits, chips/curls",putos,39
province fallback available,ILOILO,BAROTAC VIEJO,camote tops,bundle,38
convertible from its own cell,ILOILO,LEON,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,38
convertible from its own cell,ANTIQUE,LAUA-AN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,38
convertible from its own cell,ILOILO,CARLES,"liquor (e.g, whisky, coconut wine)",lipid/lapad,37
convertible from its own cell,AKLAN,MALINAO,loaf bread,large packs,37
convertible from its own cell,ANTIQUE,BUGASONG,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,37
convertible from its own cell,NEGROS OCCIDENTAL,ISABELA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,37
convertible from its own cell,CAPIZ,DUMALAG,"liquor (e.g, whisky, coconut wine)",lipid/lapad,37
convertible from its own cell,ILOILO,TIGBAUAN,loaf bread,small packs,37
convertible from its own cell,CAPIZ,TAPAZ,chicken,whole (chicken),37
convertible from its own cell,ILOILO,AJUY,loaf bread,large packs,37
convertible from its own cell,ILOILO,MIAGAO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,37
convertible from its own cell,ILOILO,BADIANGAN,cabbage,pieces or units,37
convertible from its own cell,ILOILO,MAASIN,cabbage,pieces or units,37
convertible from its own cell,ILOILO,CONCEPCION,"liquor (e.g, whisky, coconut wine)",lipid/lapad,37
convertible from its own cell,ILOILO,IGBARAS,loaf bread,large packs,37
convertible from its own cell,ILOILO,BATAD,camote tops,bugkos,36
province fallback available,ILOILO,BAROTAC VIEJO,chicken,whole (chicken),36
convertible from its own cell,CAPIZ,DUMALAG,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,36
province fallback available,ILOILO,MAASIN,"crackers, cookies, buiscuits, chips/curls",putos,36
province fallback available,CAPIZ,MA-AYON,chicken,bilog,36
province fallback available,CAPIZ,DUMARAO,chicken,whole (chicken),36
convertible from its own cell,ILOILO,ALIMODIAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,35
convertible from its own cell,ILOILO,MAASIN,chicken,whole (chicken),35
province fallback available,ILOILO,MAASIN,chicken,bilog,35
convertible from its own cell,ILOILO,CABATUAN,carrot,pieces or units,35
convertible from its own cell,AKLAN,ALTAVAS,loaf bread,medium packs,35
convertible from its own cell,ILOILO,NEW LUCENA,"crackers, cookies, buiscuits, chips/curls",putos,35
convertible from its own cell,CAPIZ,SIGMA,chicken,whole (chicken),35
convertible from its own cell,ILOILO,SARA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,35
convertible from its own cell,CAPIZ,JAMINDAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,35
province fallback available,ILOILO,CABATUAN,chicken,bilog,35
convertible from its own cell,ILOILO,ZARRAGA,camote tops,bugkos,35
convertible from its own cell,NEGROS OCCIDENTAL,LA CASTELLANA,camote tops,bugkos,35
convertible from its own cell,NEGROS OCCIDENTAL,ISABELA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,35
convertible from its own cell,ILOILO,DUEAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,35
province fallback available,ILOILO,SAN DIONISIO,loaf bread,small packs,34
convertible from its own cell,ILOILO,LEON,"liquor (e.g, whisky, coconut wine)",lipid/lapad,34
convertible from its own cell,CAPIZ,IVISAN,"crackers, cookies, buiscuits, chips/curls",putos,34
convertible from its own cell,ILOILO,DUEAS,chicken,whole (chicken),34
convertible from its own cell,CAPIZ,MA-AYON,"crackers, cookies, buiscuits, chips/curls",pieces or units,34
convertible from its own cell,ILOILO,TUBUNGAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,34
convertible from its own cell,CAPIZ,SIGMA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,34
convertible from its own cell,ILOILO,CARLES,"crackers, cookies, buiscuits, chips/curls",putos,34
convertible from its own cell,CAPIZ,JAMINDAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,33
convertible from its own cell,ILOILO,SAN RAFAEL,"liquor (e.g, whisky, coconut wine)",lipid/lapad,33
province fallback available,ILOILO,LEON,chicken,bilog,33
convertible from its own cell,ANTIQUE,HAMTIC,"liquor (e.g, whisky, coconut wine)",lipid/lapad,33
province fallback available,ANTIQUE,LAUA-AN,"crackers, cookies, buiscuits, chips/curls",putos,33
convertible from its own cell,CAPIZ,PANAY,carrot,pieces or units,33
convertible from its own cell,ILOILO,DINGLE,chicken,bilog,33
convertible from its own cell,NEGROS OCCIDENTAL,CAUAYAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,33
convertible from its own cell,ILOILO,ALIMODIAN,chicken,bilog,33
convertible from its own cell,AKLAN,IBAJAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,33
convertible from its own cell,ILOILO,TUBUNGAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,33
convertible from its own cell,NEGROS OCCIDENTAL,SAN ENRIQUE,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,33
province fallback available,ILOILO,CALINOG,rice,salmon,32
convertible from its own cell,ILOILO,IGBARAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,32
convertible from its own cell,ILOILO,CABATUAN,"crackers, cookies, buiscuits, chips/curls",putos,32
convertible from its own cell,CAPIZ,IVISAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,32
convertible from its own cell,CAPIZ,IVISAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,32
province fallback available,ILOILO,DUEAS,chicken,bilog,32
convertible from its own cell,CAPIZ,TAPAZ,"crackers, cookies, buiscuits, chips/curls",putos,32
convertible from its own cell,ANTIQUE,BARBAZA,camote tops,bundle,32
convertible from its own cell,NEGROS OCCIDENTAL,SAN ENRIQUE,cabbage,pieces or units,31
province fallback available,ILOILO,CALINOG,chicken,bilog,31
province fallback available,ILOILO,SAN RAFAEL,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,31
convertible from its own cell,CAPIZ,PANAY,cabbage,pieces or units,31
province fallback available,ILOILO,IGBARAS,rice,salmon,31
convertible from its own cell,ILOILO,IGBARAS,loaf bread,medium packs,31
convertible from its own cell,NEGROS OCCIDENTAL,SAN ENRIQUE,"liquor (e.g, whisky, coconut wine)",lipid/lapad,31
convertible from its own cell,CAPIZ,SAPI-AN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,31
convertible from its own cell,ILOILO,DUEAS,carrot,pieces or units,31
province fallback available,ILOILO,SAN ENRIQUE,chicken,bilog,30
province fallback available,ANTIQUE,SIBALOM,chicken,whole (chicken),30
convertible from its own cell,AKLAN,IBAJAY,"crackers, cookies, buiscuits, chips/curls",pieces or units,30
convertible from its own cell,NEGROS OCCIDENTAL,HINIGARAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,30
province fallback available,CAPIZ,TAPAZ,camote tops,bundle,30
convertible from its own cell,ILOILO,DINGLE,loaf bread,medium packs,30
convertible from its own cell,ILOILO,BAROTAC VIEJO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,30
convertible from its own cell,ILOILO,LEMERY,carrot,pieces or units,30
convertible from its own cell,CAPIZ,SIGMA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,30
convertible from its own cell,AKLAN,IBAJAY,loaf bread,medium packs,30
convertible from its own cell,NEGROS OCCIDENTAL,ILOG,camote tops,bugkos,30
convertible from its own cell,AKLAN,IBAJAY,loaf bread,large packs,30
province fallback available,ILOILO,MINA,chicken,bilog,30
convertible from its own cell,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA (SARAVIA),"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,29
convertible from its own cell,AKLAN,IBAJAY,cabbage,pieces or units,29
convertible from its own cell,ILOILO,DUMANGAS,"liquor (e.g, whisky, coconut wine)",lipid/lapad,29
province fallback available,ANTIQUE,PATNONGON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,29
convertible from its own cell,ANTIQUE,SEBASTE,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,29
convertible from its own cell,ILOILO,SAN DIONISIO,"crackers, cookies, buiscuits, chips/curls",pieces or units,29
convertible from its own cell,ILOILO,JANIUAY,loaf bread,large packs,29
convertible from its own cell,ILOILO,JANIUAY,carrot,pieces or units,29
convertible from its own cell,ILOILO,BAROTAC NUEVO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,29
convertible from its own cell,ILOILO,BADIANGAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,29
convertible from its own cell,ILOILO,LEMERY,cabbage,pieces or units,29
convertible from its own cell,ANTIQUE,LAUA-AN,"crackers, cookies, buiscuits, chips/curls",pieces or units,29
convertible from its own cell,CAPIZ,PILAR,chicken,whole (chicken),28
convertible from its own cell,ANTIQUE,VALDERRAMA,camote tops,bundle,28
convertible from its own cell,AKLAN,BATAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,28
convertible from its own cell,ILOILO,CABATUAN,loaf bread,small packs,28
