province,pull_municipal_city,cons_name,harmonized_nsu_unit,corrected_unit,n_units_in_MS,n_weighings,n_min,med_lo,med_hi,med_ratio,branches,detail
ILOILO,LAMBUNAO,carrot,pieces or units,g,2,20,3,130.0,135.0,1.0384615384615385,size-based,bilog: 130 (n=17); binilog: 135 (n=3)
ILOILO,CABATUAN,loaf bread,large packs,g,2,6,1,675.0,700.0,1.037037037037037,size-based,dalagku nga putos: 700 (n=1); large: 675 (n=5)
ILOILO,BALASAN,carrot,pieces or units,g,2,13,4,140.0,145.0,1.0357142857142858,size-based,bilog: 145 (n=9); pieces or units: 140 (n=4)
ILOILO,BADIANGAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,2,5,2,30.0,31.0,1.0333333333333334,size-based,bilog: 31 (n=2); pieces or units: 30 (n=3)
ILOILO,CARLES,chicken,whole (chicken),g,2,10,3,1170.0,1205.0,1.0299145299145298,size-based,whole (chicken): 1170 (n=3); whole chicken: 1205 (n=7)
ILOILO,CABATUAN,loaf bread,small packs,g,2,4,2,372.5,382.5,1.0268456375838926,size-based,gagmay nga putos: 372 (n=2); small: 382 (n=2)
ILOILO,TIGBAUAN,loaf bread,large packs,g,2,8,2,652.5,670.0,1.0268199233716475,size-based,dalagku nga putos: 652 (n=6); large: 670 (n=2)
ILOILO,AJUY,loaf bread,large packs,g,2,2,1,595.0,600.0,1.0084033613445378,size-based,dalagku nga putos: 595 (n=1); large: 600 (n=1)
CAPIZ,CUARTERO,loaf bread,large packs,g,2,5,1,640.0,640.0,1.0,size-based,dalagku nga putos: 640 (n=1); large: 640 (n=4)
ANTIQUE,HAMTIC,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,2,3,1,100.0,100.0,1.0,size-based,gamay nga cup: 100 (n=2); gmay nga cup: 100 (n=1)
ILOILO,MINA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,2,5,1,375.0,375.0,1.0,size-based,lapad: 375 (n=4); lipid / lapad: 375 (n=1)
NEGROS OCCIDENTAL,HINOBA-AN (ASIA),loaf bread,large packs,g,2,6,3,640.0,640.0,1.0,size-based,dagko nga pakete: 640 (n=3); large: 640 (n=3)
NEGROS OCCIDENTAL,HINOBA-AN (ASIA),loaf bread,medium packs,g,2,6,2,450.0,450.0,1.0,size-based,medium: 450 (n=4); medium nga pakete: 450 (n=2)
