province,item_group,mdate,year_month,cpi,cpi_ma3,cpi_source
AKLAN,01.1.1.3 - Bread and bakery products (ND),787,2025-08,122.466744273522,122.75263017934701,tier1_province_exact_group
AKLAN,01.1.1.3 - Bread and bakery products (ND),788,2025-09,123.728717093577,123.33089927641167,tier1_province_exact_group
AKLAN,01.1.1.3 - Bread and bakery products (ND),789,2025-10,123.797236462136,123.77439667261633,tier1_province_exact_group
AKLAN,01.1.1.3 - Bread and bakery products (ND),790,2025-11,123.797236462136,123.79723646213601,tier1_province_exact_group
AKLAN,01.1.1.3 - Bread and bakery products (ND),791,2025-12,123.797236462136,123.69496271598433,tier1_province_exact_group
AKLAN,01.1.1.3 - Bread and bakery products (ND),792,2026-01,123.490415223681,123.59268896983265,tier1_province_exact_group
AKLAN,01.1.1.3 - Bread and bakery products (ND),793,2026-02,123.490415223681,123.490415223681,tier1_province_exact_group
AKLAN,01.1.1.3 - Bread and bakery products (ND),794,2026-03,123.490415223681,125.461982345728,tier1_province_exact_group
AKLAN,01.1.1.3 - Bread and bakery products (ND),795,2026-04,129.405116589822,127.433549467775,tier1_province_exact_group
AKLAN,01.1.1.3 - Bread and bakery products (ND),796,2026-05,129.405116589822,,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),767,2023-12,154.3,,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),768,2024-01,151.5,152.26666666666668,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),769,2024-02,151.0,153.33333333333334,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),770,2024-03,157.5,155.86666666666667,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),771,2024-04,159.1,158.73333333333335,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),772,2024-05,159.6,159.20000000000002,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),773,2024-06,158.9,158.9,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),774,2024-07,158.2,158.23333333333335,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),775,2024-08,157.6,157.49999999999997,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),776,2024-09,156.7,157.1,tier1_province_exact_group
AKLAN,01.1.2 - Meat and other parts of slaughtered land animals (ND),777,2024-10,157.0,156.33333333333334,tier1_province_exact_group
