id,both_read,ag_type,ag_scale,ag_disp,ag_dec,abst_h,abst_s,check,stratum
2709,1,1,1,,,1,1,2,C2 dimension overrule
11053,1,1,1,0,1,0,0,1,C1 liquid as mass
8515,1,1,1,,,1,1,1,C1 flat-group rep
9654,1,1,1,,,1,1,2,C2 dimension overrule
2266,1,1,1,,,1,1,1,C1 dual-ticked
9817,1,1,1,0,1,0,0,2,C2 block governs
2532,1,1,1,0,1,0,0,2,C2 magnitude
2050,1,0,1,,,1,1,1,C1 dual-ticked
7487,1,1,1,,,1,1,1,C1 flat-group rep
8120,1,1,1,,,1,1,2,C2 dimension overrule
2051,1,1,1,,,1,1,1,C1 dual-ticked
5353,1,1,1,,,1,1,2,C2 review queue
7625,1,1,1,0,1,0,0,1,C1 solid as Litres
8364,1,0,1,,,1,1,2,C2 review queue
8837,1,0,1,,,1,1,1,C1 dual-ticked
8405,1,0,1,,,1,1,1,C1 solid as Litres
885,1,1,1,,,1,1,2,C2 dimension overrule
3593,1,0,1,,,1,1,1,C1 flat-group rep
9668,1,1,1,0,1,0,0,1,C1 solid as Litres
769,1,0,1,,,1,1,1,C1 flat-group rep
9653,1,1,1,,,1,1,2,C2 dimension overrule
9995,1,1,1,0,1,0,0,1,C1 liquid as mass
5181,1,1,1,,,1,0,2,C2 review queue
6736,1,1,1,,,1,1,1,C1 solid as Litres
6463,1,1,1,,,1,1,2,C2 review queue
5918,1,1,1,,,1,0,1,C1 liquid as mass
9045,1,1,1,,,0,1,2,C2 magnitude
7226,1,1,1,0,0,1,0,2,C2 block governs
10000,1,1,1,,,1,0,1,C1 liquid as mass
11421,1,1,1,,,1,1,1,C1 liquid as mass
