hhid,pull_item,q_h,pull_nsu_unit,pull_province,pull_municipal_city,source,p_h,harmonized_nsu_unit,gap_sym,conv_route
H009070,carrot,2,tumpok / plastic,ANTIQUE,SIBALOM,purchased,20,tumpok,,refused: nothing anywhere
H009136,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,putos,ANTIQUE,BUGASONG,purchased,5,putos,,refused: unique price
H009175,"liquor (e.g, whisky, coconut wine)",1,lipid / lapad,CAPIZ,SAPI-AN,purchased,70,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H009185,mango,3,bilog,ILOILO,BALASAN,purchased,53.33333333333334,pieces or units,,refused: unique price
H009206,cabbage,1,binilog,ANTIQUE,TIBIAO,purchased,80,pieces or units,,refused: unique price
H009237,fresh fish,2,putos,ILOILO,LEMERY,purchased,50,pack,1.305555555555556,refused: unique price
H009242,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,small cup (translate),ANTIQUE,BARBAZA,purchased,10,small cup,5.125,refused: A11 spelling gap
H009262,loaf bread,2,dalagku nga putos,ILOILO,MAASIN,purchased,85,large packs,2,refused: A11 spelling gap
H009264,loaf bread,1,small,CAPIZ,PANITAN,purchased,65,small packs,2.25,refused: A11 spelling gap
H009317,fresh fish,1,pieces or units,ILOILO,SARA,purchased,100,pieces or units,2.5,refused: A11 spelling gap
H009322,"prawns, lobster, shrimp",1,tumpok,ILOILO,LEGANES,purchased,200,tumpok,,refused: unique price
H009347,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,gamay nga tasa,ILOILO,MIAGAO,purchased,20,small cup,2.8,refused: A11 spelling gap
H009348,"liquor (e.g, whisky, coconut wine)",1,lipid / lapad,CAPIZ,SAPI-AN,purchased,65,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H009352,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",35,small cup (translate),ANTIQUE,BARBAZA,purchased,5,small cup,5.125,refused: A11 spelling gap
H009354,"liquor (e.g, whisky, coconut wine)",1,long-neck,ILOILO,SARA,purchased,130,long-neck,,refused: unique price
H009403,mango,3,binilog,AKLAN,MADALAG,gift,10,pieces or units,,refused: unique price
H009443,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,25,pieces or units,3.5,refused: A11 spelling gap
H009464,"liquor (e.g, whisky, coconut wine)",7,ball (tuba),ANTIQUE,SAN REMIGIO,own_production,25,ball (tuba),,refused: nothing anywhere
H009466,loaf bread,1,malaking packs,ILOILO,MINA,gift,80,large packs,2.116883116883117,refused: A11 spelling gap
H009492,carrot,2,putos,ILOILO,DINGLE,purchased,15,pack,,refused: nothing anywhere
H009495,carrot,1,putos,ILOILO,SAN JOAQUIN,purchased,15,pack,,refused: nothing anywhere
H009563,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,MALAY,purchased,5,pieces or units,4.2,refused: A11 spelling gap
H009593,"liquor (e.g, whisky, coconut wine)",2,lapad,AKLAN,IBAJAY,purchased,10,lipid/lapad,2,refused: A11 spelling gap
H009593,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,binilog,AKLAN,IBAJAY,purchased,20,pieces or units,3.5,refused: A11 spelling gap
H009625,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",6,gamay nga tasa,ANTIQUE,TOBIAS FORNIER,purchased,10,small cup,3.142857142857143,refused: A11 spelling gap
H009715,fresh fish,5,putos,ILOILO,LEMERY,purchased,100,pack,1.305555555555556,refused: unique price
H009716,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,30,pieces or units,3.5,refused: A11 spelling gap
H009725,loaf bread,5,gagmay nga putos,ANTIQUE,PATNONGON,purchased,8,small packs,2.625,refused: A11 spelling gap
H009811,carrot,1,pack,CAPIZ,MA-AYON,purchased,10,pack,,refused: nothing anywhere
H009822,loaf bread,5,gagmay nga putos,ILOILO,BAROTAC NUEVO,purchased,6,small packs,3.076923076923077,refused: A11 spelling gap
H009871,carrot,1,pack,ILOILO,DINGLE,purchased,20,pack,,refused: nothing anywhere
H009876,carrot,3,binilog,ILOILO,SAN JOAQUIN,purchased,40,pieces or units,2.166666666666667,refused: A11 spelling gap
H010005,loaf bread,2,gagmay nga putos,ANTIQUE,PATNONGON,purchased,5,small packs,2.625,refused: A11 spelling gap
H010055,loaf bread,2,gagmay nga putos,ILOILO,SARA,purchased,5,small packs,3.136363636363637,refused: A11 spelling gap
H010100,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H010115,camote tops,3,tumpok,NEGROS OCCIDENTAL,CAUAYAN,own_production,50,tumpok,,refused: nothing anywhere
H010118,"liquor (e.g, whisky, coconut wine)",1,long-neck,ILOILO,JANIUAY,purchased,150,long-neck,,refused: unique price
H010122,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,MALAY,purchased,10,pieces or units,4.2,refused: A11 spelling gap
H010133,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",5,binilog,AKLAN,IBAJAY,purchased,10,pieces or units,3.5,refused: A11 spelling gap
H010194,fresh fish,5,bilog,ANTIQUE,CULASI,own_production,4,pieces or units,,refused: unique price
H010210,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,gamay nga tasa,ANTIQUE,SEBASTE,purchased,10,small cup,2,refused: A11 spelling gap
H010232,fresh fish,3,putos,ILOILO,LEMERY,purchased,100,pack,1.305555555555556,refused: unique price
H010285,fresh fish,1,putos,ILOILO,LEMERY,purchased,50,pack,1.305555555555556,refused: unique price
H010351,chicken,1,bilog,CAPIZ,PRESIDENT ROXAS,gift,170,bilog,,refused: unique price
H010361,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,putos,NEGROS OCCIDENTAL,HINIGARAN,purchased,70,putos,,refused: unique price
H010375,"prawns, lobster, shrimp",1,tumpok,ILOILO,LEGANES,purchased,100,tumpok,,refused: unique price
H010392,fresh fish,4,binilog,ANTIQUE,HAMTIC,gift,12.5,pieces or units,,refused: unique price
H010431,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",5,binilog,AKLAN,IBAJAY,purchased,20,pieces or units,3.5,refused: A11 spelling gap
H010503,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",10,binilog,AKLAN,IBAJAY,purchased,10,pieces or units,3.5,refused: A11 spelling gap
H010519,chicken,1,binilog,AKLAN,BURUANGA,own_production,200,pieces or units,,refused: unique price
H010556,"preserved or processed meat (tocino, tapa, longaniza, etc)",1,lata,ILOILO,SAN DIONISIO,purchased,48,cans,,refused: unique price
H010561,"prawns, lobster, shrimp",1,tumpok,ILOILO,SARA,purchased,100,tumpok,,refused: unique price
H010579,carrot,1,binilog,ILOILO,SAN JOAQUIN,purchased,8,pieces or units,2.166666666666667,refused: A11 spelling gap
H010610,"mineral or spring water, all drinking water sold in containers",2,distilled water,CAPIZ,PANAY,purchased,79,distilled water,,refused: nothing anywhere
H010628,mango,2,bilog,ILOILO,BAROTAC VIEJO,own_production,15,pieces or units,,refused: unique price
H010645,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,gamay nga tasa,ANTIQUE,SEBASTE,purchased,20,small cup,2,refused: A11 spelling gap
H010665,fresh fish,3,binilog,ILOILO,TUBUNGAN,purchased,333.3333333333333,pieces or units,7.7,refused: A11 spelling gap
H010754,"liquor (e.g, whisky, coconut wine)",7,bul,ANTIQUE,BELISON,purchased,30,ball (tuba),,refused: nothing anywhere
H010768,fresh fish,1,bilog,NEGROS OCCIDENTAL,HINIGARAN,gift,100,pieces or units,,refused: unique price
H010860,fresh fish,1,binilog,AKLAN,LIBACAO,purchased,280,pieces or units,,refused: unique price
H010871,loaf bread,2,gagmay nga putos,ILOILO,SARA,purchased,10,small packs,3.136363636363637,refused: A11 spelling gap
H010887,"crackers, cookies, buiscuits, chips/curls",4,pieces or units,ILOILO,DINGLE,purchased,7.5,pieces or units,2.916666666666667,refused: A11 spelling gap
H010894,cabbage,1,buskos,ILOILO,LEMERY,purchased,20,bugkos,,refused: nothing anywhere
H010905,loaf bread,1,large,CAPIZ,TAPAZ,purchased,75,large packs,2.125,refused: A11 spelling gap
H010910,loaf bread,10,gagmay nga putos,ILOILO,BAROTAC NUEVO,purchased,5,small packs,3.076923076923077,refused: A11 spelling gap
H010935,carrot,1,binilog,ANTIQUE,BELISON,purchased,12,pieces or units,2,refused: A11 spelling gap
H010948,chicken,1,whole chicken,ILOILO,CARLES,own_production,380,whole (chicken),,refused: unique price
H010956,cabbage,1,binilog,AKLAN,MALAY,purchased,120,pieces or units,2.4,refused: A11 spelling gap
H010979,chicken,2,tingi tingi,CAPIZ,MA-AYON,purchased,150,tingi tingi,,refused: nothing anywhere
H010987,fresh fish,5,putos,ILOILO,LEMERY,purchased,50,pack,1.305555555555556,refused: unique price
H010991,loaf bread,28,gagmay nga putos,ANTIQUE,PATNONGON,purchased,5,small packs,2.625,refused: A11 spelling gap
H011035,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,gamay nga tasa,ANTIQUE,VALDERRAMA,purchased,10,small cup,2.4,refused: A11 spelling gap
H011084,"liquor (e.g, whisky, coconut wine)",7,cup,ILOILO,IGBARAS,own_production,10,cup,,refused: nothing anywhere
H011088,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,gamay nga tasa,ANTIQUE,SEBASTE,purchased,10,small cup,2,refused: A11 spelling gap
H011180,chicken,1,whole (chicken),ANTIQUE,SEBASTE,purchased,300,whole (chicken),,refused: unique price
H011224,"liquor (e.g, whisky, coconut wine)",3,lipid / lapad,CAPIZ,SAPI-AN,purchased,65,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H011248,"liquor (e.g, whisky, coconut wine)",7,lipid / lapad,CAPIZ,SAPI-AN,purchased,65,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H011248,fresh fish,3,bilog,CAPIZ,SAPI-AN,gift,16.66666666666667,pieces or units,,refused: unique price
H011296,carrot,2,pack of ice wrapper,ILOILO,SAN ENRIQUE,purchased,10,small packs,,refused: nothing anywhere
H011303,fresh fish,1,bilog,CAPIZ,SAPI-AN,purchased,85,pieces or units,,refused: unique price
H011317,"liquor (e.g, whisky, coconut wine)",1,long-neck,ILOILO,JANIUAY,purchased,150,long-neck,,refused: unique price
H011321,"liquor (e.g, whisky, coconut wine)",1,lapad,AKLAN,IBAJAY,purchased,65,lipid/lapad,2,refused: A11 spelling gap
H011332,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,MALAY,purchased,10,pieces or units,4.2,refused: A11 spelling gap
H011338,camote,2,bundle,ILOILO,DUEAS,own_production,20,bundle,,refused: nothing anywhere
H011360,loaf bread,5,gagmay nga putos,ANTIQUE,PATNONGON,purchased,5,small packs,2.625,refused: A11 spelling gap
H011410,"liquor (e.g, whisky, coconut wine)",1,lapad,AKLAN,IBAJAY,purchased,70,lipid/lapad,2,refused: A11 spelling gap
H011426,fresh fish,2,putos,ILOILO,LEMERY,purchased,50,pack,1.305555555555556,refused: unique price
H011447,loaf bread,1,large,ILOILO,BALASAN,gift,89,large packs,2.266666666666667,refused: A11 spelling gap
H011476,carrot,3,binilog,ILOILO,SAN JOAQUIN,purchased,43.33333333333334,pieces or units,2.166666666666667,refused: A11 spelling gap
H011485,loaf bread,6,gagmay nga putos,ILOILO,BAROTAC NUEVO,purchased,10,small packs,3.076923076923077,refused: A11 spelling gap
H011533,"crackers, cookies, buiscuits, chips/curls",1,tupper ware,ILOILO,ALIMODIAN,purchased,200,tupperware,,refused: nothing anywhere
H011681,fresh fish,1,bilog,NEGROS OCCIDENTAL,ISABELA,purchased,80,pieces or units,,refused: unique price
H011708,cabbage,1,binilog,AKLAN,MALAY,purchased,40,pieces or units,2.4,refused: A11 spelling gap
H011709,carrot,2,binilog,ILOILO,GUIMBAL,purchased,27.5,pieces or units,2.285714285714286,refused: A11 spelling gap
H011712,"liquor (e.g, whisky, coconut wine)",3,coconut wine,ANTIQUE,SIBALOM,own_production,20,coconut wine,,refused: nothing anywhere
H011719,loaf bread,1,large,NEGROS OCCIDENTAL,MANAPLA,gift,120,large packs,,refused: unique price
H011720,fresh fish,1,binilog,ANTIQUE,SAN REMIGIO,purchased,400,pieces or units,,refused: unique price
H011769,fresh fish,4,packs,ILOILO,SAN ENRIQUE,purchased,100,pack,,refused: unique price
H011801,cabbage,1,binilog,AKLAN,MALAY,purchased,80,pieces or units,2.4,refused: A11 spelling gap
H011828,fresh fish,4,per putos ung binibili na isda,CAPIZ,SIGMA,purchased,100,pack,4,refused: A11 spelling gap
H011871,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,gamay nga cup,ANTIQUE,TOBIAS FORNIER,purchased,15,small cup,2,refused: A11 spelling gap
H011876,loaf bread,20,pieces,CAPIZ,MAMBUSAO,purchased,5,pieces or units,,refused: nothing anywhere
H011905,loaf bread,1,dalagku nga putos,CAPIZ,DUMALAG,purchased,100,large packs,2.352941176470588,refused: A11 spelling gap
H011906,carrot,2,putos,ILOILO,NEW LUCENA,purchased,25,pack,,refused: nothing anywhere
H011944,camote,1,putos,ILOILO,MINA,purchased,100,putos,,refused: nothing anywhere
H011975,rice,63,rice cooker cup (small),ILOILO,OTON,purchased,3.174603174603174,small rice cooker cup,,refused: nothing anywhere
H012001,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,putos,ILOILO,LEON,purchased,5,putos,,refused: unique price
H012017,fresh fish,3,putos,ILOILO,LEMERY,purchased,100,pack,1.305555555555556,refused: unique price
H012045,"crackers, cookies, buiscuits, chips/curls",2,large packs,CAPIZ,IVISAN,purchased,150,large packs,,refused: nothing anywhere
H012063,carrot,3,binilog,ILOILO,GUIMBAL,purchased,33.33333333333334,pieces or units,2.285714285714286,refused: A11 spelling gap
H012236,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,gamay nga cup,ANTIQUE,TIBIAO,purchased,10,small cup,,refused: unique price
H012253,carrot,3,putos,ILOILO,LEGANES,purchased,8.333333333333334,pack,,refused: nothing anywhere
H012254,"preserved or processed meat (tocino, tapa, longaniza, etc)",1,packs,ILOILO,BANATE,purchased,50,pack,,refused: unique price
H012260,chicken,1,whole (chicken),ANTIQUE,TIBIAO,own_production,180,whole (chicken),,refused: unique price
H012261,loaf bread,1,gagmay nga putos,CAPIZ,DUMALAG,purchased,55,small packs,2,refused: A11 spelling gap
H012288,fresh fish,1,binilog,ANTIQUE,PATNONGON,purchased,350,pieces or units,2.571428571428572,refused: A11 spelling gap
H012297,fresh fish,4,putos,ILOILO,SARA,purchased,50,pack,3,refused: A11 spelling gap
H012311,loaf bread,1,gagmay nga putos,ANTIQUE,PATNONGON,purchased,45,small packs,2.625,refused: A11 spelling gap
H012316,mango,3,bilog,ANTIQUE,BARBAZA,gift,6.666666666666667,pieces or units,,refused: unique price
H012316,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,small cup (translate),ANTIQUE,BARBAZA,purchased,10,small cup,5.125,refused: A11 spelling gap
H012326,fresh fish,3,fish sold per pack 90 each pack,ILOILO,LEMERY,purchased,90,pack,,refused: unique price
H012331,carrot,1.5,pack,ILOILO,IGBARAS,purchased,16.66666666666667,pack,,refused: nothing anywhere
H012373,"prawns, lobster, shrimp",1,tumpok,ILOILO,NEW LUCENA,purchased,100,tumpok,,refused: unique price
H012433,loaf bread,1,small,CAPIZ,PANITAN,purchased,35,small packs,2.25,refused: A11 spelling gap
H012443,carrot,1,putos,ILOILO,IGBARAS,purchased,10,pack,,refused: nothing anywhere
H012452,"liquor (e.g, whisky, coconut wine)",2,lapad,AKLAN,IBAJAY,purchased,75,lipid/lapad,2,refused: A11 spelling gap
H012459,"liquor (e.g, whisky, coconut wine)",1,long-neck,AKLAN,TANGALAN,purchased,120,long-neck,,refused: unique price
H012504,loaf bread,10,gagmay nga putos,ANTIQUE,PATNONGON,purchased,5,small packs,2.625,refused: A11 spelling gap
H012558,loaf bread,7,gagmay nga putos,ILOILO,SARA,purchased,10,small packs,3.136363636363637,refused: A11 spelling gap
H012643,"liquor (e.g, whisky, coconut wine)",7,lipid / lapad,CAPIZ,SAPI-AN,purchased,75,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H012698,fresh fish,1,bilog,ANTIQUE,BUGASONG,purchased,450,pieces or units,,refused: unique price
H012723,loaf bread,4,gagmay nga putos,ILOILO,SARA,purchased,5,small packs,3.136363636363637,refused: A11 spelling gap
H012724,mango,3,bilog,ILOILO,BALASAN,purchased,16.66666666666667,pieces or units,,refused: unique price
H012725,loaf bread,5,pieces,ILOILO,MAASIN,purchased,4,pieces or units,,refused: nothing anywhere
H012735,fresh fish,1,bilog,ILOILO,ESTANCIA,purchased,50,pieces or units,,refused: unique price
H012754,loaf bread,2,large,CAPIZ,TAPAZ,purchased,80,large packs,2.125,refused: A11 spelling gap
H012848,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",10,binilog,AKLAN,IBAJAY,purchased,10,pieces or units,3.5,refused: A11 spelling gap
H012951,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,binilog,AKLAN,IBAJAY,purchased,10,pieces or units,3.5,refused: A11 spelling gap
H012973,"liquor (e.g, whisky, coconut wine)",3,4 later galon,ILOILO,ALIMODIAN,own_production,80,4 later galon,,refused: nothing anywhere
H012974,carrot,1,binilog,ANTIQUE,BELISON,purchased,20,pieces or units,2,refused: A11 spelling gap
H013034,fresh fish,3,putos,ILOILO,LEMERY,purchased,50,pack,1.305555555555556,refused: unique price
H013052,loaf bread,1,gagmay nga putos,ANTIQUE,PATNONGON,gift,35,small packs,2.625,refused: A11 spelling gap
H013191,loaf bread,1,large,CAPIZ,TAPAZ,purchased,70,large packs,2.125,refused: A11 spelling gap
H013233,loaf bread,1,small,CAPIZ,PANITAN,gift,45,small packs,2.25,refused: A11 spelling gap
H013248,"liquor (e.g, whisky, coconut wine)",1,long-neck,ILOILO,BINGAWAN,gift,150,long-neck,,refused: unique price
H013265,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",5,binilog,ILOILO,ALIMODIAN,purchased,10,pieces or units,2,refused: A11 spelling gap
H013270,loaf bread,6,gagmay nga putos,CAPIZ,DUMALAG,purchased,35,small packs,2,refused: A11 spelling gap
H013278,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H013306,"liquor (e.g, whisky, coconut wine)",1,lipid / lapad,CAPIZ,SAPI-AN,purchased,75,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H013340,"liquor (e.g, whisky, coconut wine)",2,lipid / lapad,CAPIZ,SAPI-AN,gift,65,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H013370,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",7,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H013377,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",10,ice cream stick,CAPIZ,PILAR,purchased,10,ice cream stick,,refused: nothing anywhere
H013410,loaf bread,5,gagmay nga putos,ILOILO,SARA,purchased,5,small packs,3.136363636363637,refused: A11 spelling gap
H013417,cabbage,1,binilog,AKLAN,MALAY,purchased,40,pieces or units,2.4,refused: A11 spelling gap
H013438,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",10,binilog,AKLAN,MALAY,purchased,5,pieces or units,4.2,refused: A11 spelling gap
H013484,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,binilog,AKLAN,IBAJAY,purchased,10,pieces or units,3.5,refused: A11 spelling gap
H013501,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,gamay nga tasa,ANTIQUE,TOBIAS FORNIER,purchased,10,small cup,3.142857142857143,refused: A11 spelling gap
H013555,fresh fish,2,binilog,CAPIZ,JAMINDAN,gift,25,pieces or units,2.3,refused: A11 spelling gap
H013601,chicken,1,bilog,ILOILO,ANILAO,purchased,250,bilog,,refused: unique price
H013663,loaf bread,10,gagmay nga putos,ANTIQUE,PATNONGON,purchased,5,small packs,2.625,refused: A11 spelling gap
H013664,loaf bread,10,gagmay nga putos,ILOILO,BAROTAC NUEVO,purchased,5,small packs,3.076923076923077,refused: A11 spelling gap
H013666,cabbage,2,binilog,AKLAN,MALAY,purchased,25,pieces or units,2.4,refused: A11 spelling gap
H013691,loaf bread,3,large,CAPIZ,TAPAZ,purchased,75,large packs,2.125,refused: A11 spelling gap
H013698,"liquor (e.g, whisky, coconut wine)",1,lipid / lapad,CAPIZ,SAPI-AN,purchased,60,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H013804,"preserved or processed meat (tocino, tapa, longaniza, etc)",4,packs,ILOILO,DUMANGAS,purchased,56.25,pack,,refused: unique price
H013828,"prawns, lobster, shrimp",1,plastic,ANTIQUE,VALDERRAMA,purchased,150,plastic,,refused: nothing anywhere
H013841,loaf bread,3,gagmay nga putos,ILOILO,BAROTAC NUEVO,purchased,7,small packs,3.076923076923077,refused: A11 spelling gap
H013855,fresh fish,1,pack,ILOILO,SAN ENRIQUE,purchased,90,pack,2,refused: A11 spelling gap
H013890,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",5,binilog,AKLAN,MALAY,purchased,10,pieces or units,4.2,refused: A11 spelling gap
H013950,loaf bread,1,gagmay nga putos,ANTIQUE,PATNONGON,purchased,55,small packs,2.625,refused: A11 spelling gap
H014024,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,binilog,AKLAN,IBAJAY,purchased,10,pieces or units,3.5,refused: A11 spelling gap
H014029,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H014053,"liquor (e.g, whisky, coconut wine)",1,long-neck,AKLAN,BURUANGA,purchased,130,long-neck,,refused: unique price
H014121,fresh fish,1,bilog,ANTIQUE,SIBALOM,purchased,200,pieces or units,,refused: unique price
H014143,loaf bread,30,pieces,ILOILO,MAASIN,purchased,5,pieces or units,,refused: nothing anywhere
H014147,carrot,1,binilog,ANTIQUE,BELISON,purchased,25,pieces or units,2,refused: A11 spelling gap
H014160,"liquor (e.g, whisky, coconut wine)",14,14 tasa,ANTIQUE,SIBALOM,own_production,5.714285714285714,14 tasa,,refused: nothing anywhere
H014164,fresh fish,7,putos,ILOILO,SARA,purchased,64.28571428571429,pack,3,refused: A11 spelling gap
H014169,fresh fish,3,putos,ILOILO,LEMERY,purchased,50,pack,1.305555555555556,refused: unique price
H014177,loaf bread,5,gagmay nga putos,ANTIQUE,PATNONGON,purchased,60,small packs,2.625,refused: A11 spelling gap
H014253,loaf bread,30,pieces,CAPIZ,MAMBUSAO,purchased,2,pieces or units,,refused: nothing anywhere
H014280,loaf bread,10,gagmay nga putos,ANTIQUE,PATNONGON,purchased,5,small packs,2.625,refused: A11 spelling gap
H014304,"liquor (e.g, whisky, coconut wine)",7,lapad,AKLAN,IBAJAY,purchased,75,lipid/lapad,2,refused: A11 spelling gap
H014313,fresh fish,4,putos,ILOILO,LEMERY,purchased,50,pack,1.305555555555556,refused: unique price
H014327,loaf bread,1,large,CAPIZ,TAPAZ,purchased,60,large packs,2.125,refused: A11 spelling gap
H014339,loaf bread,2,large packs,ILOILO,CALINOG,purchased,75,large packs,2.098765432098765,refused: A11 spelling gap
H014344,"crackers, cookies, buiscuits, chips/curls",1,small box,ILOILO,OTON,purchased,299,small box,,refused: nothing anywhere
H014379,fresh fish,3,putos,ILOILO,LEMERY,purchased,78.33333333333333,pack,1.305555555555556,refused: unique price
H014412,"liquor (e.g, whisky, coconut wine)",2,glass/shots,ILOILO,IGBARAS,gift,5,glass,,refused: nothing anywhere
H014504,carrot,1,binilog,ILOILO,JANIUAY,purchased,20,pieces or units,2.25,refused: A11 spelling gap
H014569,fresh fish,3,packs,ILOILO,SAN ENRIQUE,purchased,50,pack,,refused: unique price
H014570,carrot,2,binilog,ILOILO,JANIUAY,purchased,15,pieces or units,2.25,refused: A11 spelling gap
H014586,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,binilog,AKLAN,MALAY,purchased,10,pieces or units,4.2,refused: A11 spelling gap
H014600,fresh fish,1,putos,ILOILO,LEMERY,purchased,100,pack,1.305555555555556,refused: unique price
H014620,"prawns, lobster, shrimp",1,tumpok,ILOILO,BAROTAC NUEVO,purchased,100,tumpok,,refused: unique price
H014685,camote tops,6,"cassava & malunggay leaves, paco or fern, squash leaves",CAPIZ,PANAY,own_production,16.66666666666667,"cassava & malunggay leaves, paco or fern, squash leaves",,refused: nothing anywhere
H014742,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,10,pieces or units,3.5,refused: A11 spelling gap
H014772,"mineral or spring water, all drinking water sold in containers",4,black gallon,ILOILO,CALINOG,purchased,5,black gallon,,refused: nothing anywhere
H014815,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",7,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H014827,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",5,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H014891,fresh fish,3,pack/ putos,ILOILO,LEMERY,purchased,50,pack,1.566666666666667,refused: unique price
H014974,mango,10,binilog,ANTIQUE,CULASI,purchased,5,pieces or units,,refused: unique price
H014992,"liquor (e.g, whisky, coconut wine)",2,lipid / lapad,CAPIZ,SAPI-AN,purchased,70,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H015023,chicken,1,bilog nga manok,ANTIQUE,SEBASTE,purchased,280,whole (chicken),1.08695652173913,refused: unique price
H015034,loaf bread,10,gagmay nga putos,ANTIQUE,PATNONGON,purchased,15,small packs,2.625,refused: A11 spelling gap
H015082,"preserved or processed meat (tocino, tapa, longaniza, etc)",1,can,ANTIQUE,VALDERRAMA,purchased,25,cans,3.72,refused: A11 spelling gap
