hhid,pull_item,q_h,pull_nsu_unit,pull_province,pull_municipal_city,source,p_h,harmonized_nsu_unit,gap_sym,conv_route
H004770,mango,2,bilog,ILOILO,CABATUAN,gift,10,pieces or units,,refused: unique price
H004778,loaf bread,2,dalagku nga putos,ILOILO,MAASIN,purchased,82.5,large packs,2,refused: A11 spelling gap
H004817,loaf bread,1,large,ILOILO,BALASAN,purchased,75,large packs,2.266666666666667,refused: A11 spelling gap
H004846,fresh fish,7,putos,ILOILO,LEMERY,purchased,100,pack,1.305555555555556,refused: unique price
H004862,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,binilog,AKLAN,MALAY,purchased,5,pieces or units,4.2,refused: A11 spelling gap
H004864,fresh fish,7,putos,ILOILO,LEMERY,purchased,45,pack,1.305555555555556,refused: unique price
H004895,mango,3,bilog,CAPIZ,SAPI-AN,gift,16.66666666666667,pieces or units,,refused: unique price
H004952,beer,1,1 case,CAPIZ,MAMBUSAO,purchased,585,case,,refused: nothing anywhere
H005077,carrot,2,putos,ILOILO,CABATUAN,purchased,20,pack,,refused: nothing anywhere
H005162,beer,1,1 case,ANTIQUE,TIBIAO,purchased,1200,case,,refused: nothing anywhere
H005226,carrot,1,sliced,ILOILO,SAN DIONISIO,purchased,20,slice,,refused: nothing anywhere
H005299,fresh fish,1,putos,ILOILO,SARA,purchased,50,pack,3,refused: A11 spelling gap
H005321,mango,5,binilog,AKLAN,MADALAG,gift,4,pieces or units,,refused: unique price
H005344,"liquor (e.g, whisky, coconut wine)",1,lapad,AKLAN,IBAJAY,purchased,70,lipid/lapad,2,refused: A11 spelling gap
H005359,fresh fish,2,putos,ILOILO,LEMERY,purchased,100,pack,1.305555555555556,refused: unique price
H005380,fresh fish,1,putos,ILOILO,SARA,purchased,50,pack,3,refused: A11 spelling gap
H005389,carrot,1,pack,ANTIQUE,PANDAN,gift,10,pack,,refused: nothing anywhere
H005403,cabbage,1,binilog,AKLAN,NEW WASHINGTON,purchased,75,pieces or units,,refused: unique price
H005404,fresh fish,3,putos,ILOILO,SARA,purchased,143.3333333333333,pack,3,refused: A11 spelling gap
H005431,fresh fish,2,binilog,ANTIQUE,LIBERTAD,purchased,200,pieces or units,4.142857142857143,refused: A11 spelling gap
H005443,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,binilog,AKLAN,MALAY,purchased,25,pieces or units,4.2,refused: A11 spelling gap
H005453,"liquor (e.g, whisky, coconut wine)",1,lipid / lapad,CAPIZ,SAPI-AN,purchased,65,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H005477,loaf bread,7,gagmay nga putos,ANTIQUE,PATNONGON,purchased,10,small packs,2.625,refused: A11 spelling gap
H005483,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,binilog,AKLAN,IBAJAY,purchased,10,pieces or units,3.5,refused: A11 spelling gap
H005515,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,piraso,ILOILO,SARA,purchased,10,pieces or units,2.222222222222222,refused: A11 spelling gap
H005545,"preserved or processed meat (tocino, tapa, longaniza, etc)",1,bilog,ANTIQUE,BELISON,purchased,300,bilog,,refused: unique price
H005551,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,gamay nga cup,ANTIQUE,TOBIAS FORNIER,purchased,20,small cup,2,refused: A11 spelling gap
H005592,"liquor (e.g, whisky, coconut wine)",2,lipid / lapad,CAPIZ,SAPI-AN,purchased,65,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H005646,mango,10,binilog,ANTIQUE,TOBIAS FORNIER,own_production,6,pieces or units,,refused: unique price
H005691,loaf bread,1,gagmay nga putos,ANTIQUE,VALDERRAMA,purchased,100,small packs,,refused: unique price
H005730,fresh fish,3,putos,ILOILO,LEMERY,purchased,50,pack,1.305555555555556,refused: unique price
H005758,chicken,1,whole (chicken),ANTIQUE,SEBASTE,purchased,280,whole (chicken),,refused: unique price
H005773,loaf bread,2,gagmay nga putos,ANTIQUE,PATNONGON,purchased,35,small packs,2.625,refused: A11 spelling gap
H005821,mango,6,binilog,AKLAN,MAKATO,gift,5,pieces or units,,refused: unique price
H005835,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,maisot nga tasa,CAPIZ,JAMINDAN,purchased,10,small cup,2,refused: A11 spelling gap
H005873,mango,2,binilog,AKLAN,MADALAG,purchased,15,pieces or units,,refused: unique price
H005927,cabbage,1,binilog,ANTIQUE,LIBERTAD,purchased,100,pieces or units,2.142857142857143,refused: A11 spelling gap
H005980,carrot,1,putos,ILOILO,DINGLE,purchased,10,pack,,refused: nothing anywhere
H005989,"crackers, cookies, buiscuits, chips/curls",1,packs,ILOILO,CARLES,purchased,55,pack,,refused: unique price
