pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,size_ord,w_l0,n_l0,nu_l0,weighing_approach,w_l1,n_l1,nu_l1,w_l2,n_l2,nu_l2,w_l3,n_l3,nu_l3,grams_used,n_g_used,nu_used,fallback_level,unconvertible,share_uncertain_used
chicken,ANTIQUE,SIBALOM,pieces or units,g,medium,275,3,0,3,260,8,2,410,40,19,380,108,50,260,8,2,cell pooled across sizes,0,.25
chicken,ANTIQUE,SIBALOM,pieces or units,g,large,522.5,2,2,3,260,8,2,410,40,19,380,108,50,260,8,2,cell pooled across sizes,0,.25
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,SIBALOM,pieces or units,g,small,29,6,0,3,32.5,12,1,31,94,7,32,505,68,29,6,0,the cell's own weighings,0,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,SIBALOM,pieces or units,g,medium,40.5,6,1,3,32.5,12,1,31,94,7,32,505,68,40.5,6,1,the cell's own weighings,0,.1666666666666667
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,SIBALOM,putos,g,small,50,7,4,3,74,18,4,125,105,52,210,482,249,50,7,4,the cell's own weighings,0,.5714285714285714
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,SIBALOM,putos,g,medium,80,7,0,3,74,18,4,125,105,52,210,482,249,80,7,0,the cell's own weighings,0,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,SIBALOM,putos,g,large,185,4,0,3,74,18,4,125,105,52,210,482,249,185,4,0,the cell's own weighings,0,0
"drinks at restaurant, hotel, cafe, or kiosk",ANTIQUE,SIBALOM,pieces or units,mL,small,185,2,0,3,272.5,4,0,310,80,21,355,164,34,272.5,4,0,cell pooled across sizes,0,0
"drinks at restaurant, hotel, cafe, or kiosk",ANTIQUE,SIBALOM,pieces or units,mL,medium,355,2,0,3,272.5,4,0,310,80,21,355,164,34,272.5,4,0,cell pooled across sizes,0,0
fresh fish,ANTIQUE,SIBALOM,pieces or units,g,small,115,3,3,3,150,9,3,490,87,45,390,685,213,150,9,3,cell pooled across sizes,0,.3333333333333333
fresh fish,ANTIQUE,SIBALOM,pieces or units,g,medium,175,4,0,3,150,9,3,490,87,45,390,685,213,150,9,3,cell pooled across sizes,0,.3333333333333333
fresh fish,ANTIQUE,SIBALOM,pieces or units,g,large,402.5,2,0,3,150,9,3,490,87,45,390,685,213,150,9,3,cell pooled across sizes,0,.3333333333333333
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,SIBALOM,pieces or units,mL,small,60,3,0,3,87.5,6,0,110,33,0,100,166,4,60,3,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,SIBALOM,pieces or units,mL,medium,110,3,0,3,87.5,6,0,110,33,0,100,166,4,110,3,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,SIBALOM,putos,mL,medium,65,3,0,1,65,3,0,450,22,0,65,148,2,65,3,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,SIBALOM,small cup,mL,small,100,5,0,3,100,5,0,100,38,0,100,185,5,100,5,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,SIBALOM,lipid/lapad,mL,medium,375,9,0,3,375,9,0,375,100,0,375,618,7,375,9,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,SIBALOM,long-neck,mL,large,750,9,0,3,750,9,0,750,118,0,750,478,1,750,9,0,the cell's own weighings,0,0
loaf bread,ANTIQUE,SIBALOM,large packs,g,medium,640,6,0,2,640,6,0,640,47,0,640,411,6,640,6,0,the cell's own weighings,0,0
loaf bread,ANTIQUE,SIBALOM,medium packs,g,medium,450,7,0,3,450,7,0,450,50,0,450,352,0,450,7,0,the cell's own weighings,0,0
loaf bread,ANTIQUE,SIBALOM,small packs,g,small,360,6,0,3,360,6,0,375,32,0,370,259,2,360,6,0,the cell's own weighings,0,0
mango,ANTIQUE,SIBALOM,pieces or units,g,small,185,5,0,3,245,13,0,230,82,0,230,539,1,185,5,0,the cell's own weighings,0,0
mango,ANTIQUE,SIBALOM,pieces or units,g,medium,247.5,4,0,3,245,13,0,230,82,0,230,539,1,247.5,4,0,the cell's own weighings,0,0
mango,ANTIQUE,SIBALOM,pieces or units,g,large,300,4,0,3,245,13,0,230,82,0,230,539,1,300,4,0,the cell's own weighings,0,0
"prawns, lobster, shrimp",ANTIQUE,SIBALOM,tumpok,g,medium,205,3,0,1,205,3,0,240,9,1,260,147,27,205,3,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,SIBALOM,bilog,g,small,250,5,0,3,250,5,0,250,25,4,229,222,91,250,5,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,SIBALOM,putos,g,medium,250,8,3,1,250,8,3,250,79,13,250,473,60,250,8,3,the cell's own weighings,0,.375
cabbage,ANTIQUE,TIBIAO,pieces or units,g,small,512.5,6,0,3,725,16,0,655,219,7,655,1306,73,512.5,6,0,the cell's own weighings,0,0
cabbage,ANTIQUE,TIBIAO,pieces or units,g,medium,730,5,0,3,725,16,0,655,219,7,655,1306,73,730,5,0,the cell's own weighings,0,0
cabbage,ANTIQUE,TIBIAO,pieces or units,g,large,1115,5,0,3,725,16,0,655,219,7,655,1306,73,1115,5,0,the cell's own weighings,0,0
camote,ANTIQUE,TIBIAO,bilog,g,small,82.5,6,0,3,85,9,3,145,117,45,140,509,195,82.5,6,0,the cell's own weighings,0,0
camote,ANTIQUE,TIBIAO,bilog,g,medium,185,3,3,3,85,9,3,145,117,45,140,509,195,185,3,3,the cell's own weighings,0,1
camote tops,ANTIQUE,TIBIAO,bugkos,g,medium,142.5,6,0,1,142.5,6,0,225,69,4,195,449,63,142.5,6,0,the cell's own weighings,0,0
carrot,ANTIQUE,TIBIAO,pieces or units,g,small,135,4,0,3,190,11,3,145,201,27,140,1169,152,135,4,0,the cell's own weighings,0,0
carrot,ANTIQUE,TIBIAO,pieces or units,g,medium,210,4,0,3,190,11,3,145,201,27,140,1169,152,210,4,0,the cell's own weighings,0,0
carrot,ANTIQUE,TIBIAO,pieces or units,g,large,315,3,3,3,190,11,3,145,201,27,140,1169,152,315,3,3,the cell's own weighings,0,1
chicken,ANTIQUE,TIBIAO,pieces or units,g,medium,547.5,2,2,3,547.5,2,2,410,40,19,380,108,50,410,40,19,province x item x unit,0,.475
chicken,ANTIQUE,TIBIAO,whole (chicken),g,medium,877.5,2,0,3,877.5,2,0,1105,65,0,1120,468,2,1105,65,0,province x item x unit,0,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,TIBIAO,pieces or units,g,small,36,6,0,3,36,6,0,31,94,7,32,505,68,36,6,0,the cell's own weighings,0,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,TIBIAO,putos,g,small,300,6,5,3,300,6,5,125,105,52,210,482,249,300,6,5,the cell's own weighings,0,.8333333333333334
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,TIBIAO,pieces or units,g,small,95,1,0,3,95,1,0,90,9,0,60,94,12,90,9,0,province x item x unit,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,TIBIAO,small cup,g,small,100,3,0,3,100,3,0,100,14,0,100,120,18,100,3,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,TIBIAO,lipid/lapad,mL,medium,375,6,0,3,375,6,0,375,100,0,375,618,7,375,6,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,TIBIAO,long-neck,mL,large,750,6,0,3,750,6,0,750,118,0,750,478,1,750,6,0,the cell's own weighings,0,0
loaf bread,ANTIQUE,TIBIAO,large packs,g,large,680,3,0,3,680,3,0,640,47,0,640,411,6,680,3,0,the cell's own weighings,0,0
loaf bread,ANTIQUE,TIBIAO,medium packs,g,medium,500,3,0,3,500,3,0,450,50,0,450,352,0,500,3,0,the cell's own weighings,0,0
loaf bread,ANTIQUE,TIBIAO,small packs,g,medium,387.5,4,0,1,387.5,4,0,375,32,0,370,259,2,387.5,4,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,TIBIAO,putos,g,medium,210,4,0,1,210,4,0,250,79,13,250,473,60,210,4,0,the cell's own weighings,0,0
cabbage,ANTIQUE,TOBIAS FORNIER,pieces or units,g,small,465,7,0,3,560,20,0,655,219,7,655,1306,73,465,7,0,the cell's own weighings,0,0
cabbage,ANTIQUE,TOBIAS FORNIER,pieces or units,g,medium,580,7,0,3,560,20,0,655,219,7,655,1306,73,580,7,0,the cell's own weighings,0,0
cabbage,ANTIQUE,TOBIAS FORNIER,pieces or units,g,large,772.5,6,0,3,560,20,0,655,219,7,655,1306,73,772.5,6,0,the cell's own weighings,0,0
camote,ANTIQUE,TOBIAS FORNIER,bilog,g,small,65,5,0,3,85,13,1,145,117,45,140,509,195,65,5,0,the cell's own weighings,0,0
camote,ANTIQUE,TOBIAS FORNIER,bilog,g,medium,87.5,4,0,3,85,13,1,145,117,45,140,509,195,87.5,4,0,the cell's own weighings,0,0
camote,ANTIQUE,TOBIAS FORNIER,bilog,g,large,155,4,1,3,85,13,1,145,117,45,140,509,195,155,4,1,the cell's own weighings,0,.25
camote tops,ANTIQUE,TOBIAS FORNIER,bugkos,g,medium,190,5,0,1,190,5,0,225,69,4,195,449,63,190,5,0,the cell's own weighings,0,0
camote tops,ANTIQUE,TOBIAS FORNIER,bundle,g,medium,645,3,3,1,645,3,3,610,9,5,500,101,48,645,3,3,the cell's own weighings,0,1
carrot,ANTIQUE,TOBIAS FORNIER,pieces or units,g,small,75,5,0,3,115,15,0,145,201,27,140,1169,152,75,5,0,the cell's own weighings,0,0
carrot,ANTIQUE,TOBIAS FORNIER,pieces or units,g,medium,117.5,6,0,3,115,15,0,145,201,27,140,1169,152,117.5,6,0,the cell's own weighings,0,0
carrot,ANTIQUE,TOBIAS FORNIER,pieces or units,g,large,170,4,0,3,115,15,0,145,201,27,140,1169,152,170,4,0,the cell's own weighings,0,0
chicken,ANTIQUE,TOBIAS FORNIER,pieces or units,g,small,150,1,0,3,185,2,0,410,40,19,380,108,50,410,40,19,province x item x unit,0,.475
chicken,ANTIQUE,TOBIAS FORNIER,pieces or units,g,medium,220,1,0,3,185,2,0,410,40,19,380,108,50,410,40,19,province x item x unit,0,.475
chicken,ANTIQUE,TOBIAS FORNIER,whole (chicken),g,small,750,4,0,3,1027.5,10,0,1105,65,0,1120,468,2,750,4,0,the cell's own weighings,0,0
chicken,ANTIQUE,TOBIAS FORNIER,whole (chicken),g,medium,1055,3,0,3,1027.5,10,0,1105,65,0,1120,468,2,1055,3,0,the cell's own weighings,0,0
chicken,ANTIQUE,TOBIAS FORNIER,whole (chicken),g,large,1310,3,0,3,1027.5,10,0,1105,65,0,1120,468,2,1310,3,0,the cell's own weighings,0,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,TOBIAS FORNIER,putos,g,medium,365,8,6,1,365,8,6,125,105,52,210,482,249,365,8,6,the cell's own weighings,0,.75
"drinks at restaurant, hotel, cafe, or kiosk",ANTIQUE,TOBIAS FORNIER,pieces or units,mL,small,215,4,0,3,352.5,12,2,310,80,21,355,164,34,352.5,12,2,cell pooled across sizes,0,.1666666666666667
"drinks at restaurant, hotel, cafe, or kiosk",ANTIQUE,TOBIAS FORNIER,pieces or units,mL,medium,427.5,6,0,3,352.5,12,2,310,80,21,355,164,34,352.5,12,2,cell pooled across sizes,0,.1666666666666667
"drinks at restaurant, hotel, cafe, or kiosk",ANTIQUE,TOBIAS FORNIER,pieces or units,mL,large,1000,2,2,3,352.5,12,2,310,80,21,355,164,34,352.5,12,2,cell pooled across sizes,0,.1666666666666667
fresh fish,ANTIQUE,TOBIAS FORNIER,pieces or units,g,small,340,3,2,3,1450,7,5,490,87,45,390,685,213,1450,7,5,cell pooled across sizes,0,.7142857142857143
fresh fish,ANTIQUE,TOBIAS FORNIER,pieces or units,g,medium,1517.5,2,2,3,1450,7,5,490,87,45,390,685,213,1450,7,5,cell pooled across sizes,0,.7142857142857143
fresh fish,ANTIQUE,TOBIAS FORNIER,pieces or units,g,large,2862.5,2,1,3,1450,7,5,490,87,45,390,685,213,1450,7,5,cell pooled across sizes,0,.7142857142857143
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,TOBIAS FORNIER,putos,mL,medium,500,5,0,1,500,5,0,450,22,0,65,148,2,500,5,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,TOBIAS FORNIER,small cup,mL,small,100,4,0,3,100,4,0,100,38,0,100,185,5,100,4,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,TOBIAS FORNIER,lipid/lapad,mL,medium,375,8,0,3,375,8,0,375,100,0,375,618,7,375,8,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,TOBIAS FORNIER,long-neck,mL,medium,750,8,0,3,750,10,0,750,118,0,750,478,1,750,10,0,cell pooled across sizes,0,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,TOBIAS FORNIER,long-neck,mL,large,1000,2,0,3,750,10,0,750,118,0,750,478,1,750,10,0,cell pooled across sizes,0,0
loaf bread,ANTIQUE,TOBIAS FORNIER,large packs,g,large,640,3,0,3,640,3,0,640,47,0,640,411,6,640,3,0,the cell's own weighings,0,0
loaf bread,ANTIQUE,TOBIAS FORNIER,medium packs,g,medium,450,4,0,2,450,4,0,450,50,0,450,352,0,450,4,0,the cell's own weighings,0,0
loaf bread,ANTIQUE,TOBIAS FORNIER,small packs,g,medium,360,1,0,2,360,1,0,375,32,0,370,259,2,375,32,0,province x item x unit,0,0
mango,ANTIQUE,TOBIAS FORNIER,pieces or units,g,small,187.5,2,0,3,205,6,0,230,82,0,230,539,1,205,6,0,cell pooled across sizes,0,0
mango,ANTIQUE,TOBIAS FORNIER,pieces or units,g,medium,205,3,0,3,205,6,0,230,82,0,230,539,1,205,6,0,cell pooled across sizes,0,0
mango,ANTIQUE,TOBIAS FORNIER,pieces or units,g,large,235,1,0,3,205,6,0,230,82,0,230,539,1,205,6,0,cell pooled across sizes,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,TOBIAS FORNIER,cans,g,small,150,6,0,3,155,13,1,155,57,4,155,95,6,150,6,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,TOBIAS FORNIER,cans,g,medium,155,4,0,3,155,13,1,155,57,4,155,95,6,155,4,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,TOBIAS FORNIER,cans,g,large,250,3,1,3,155,13,1,155,57,4,155,95,6,250,3,1,the cell's own weighings,0,.3333333333333333
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,TOBIAS FORNIER,pack,g,medium,255,2,0,2,255,2,0,250,6,0,250,85,12,250,6,0,province x item x unit,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,TOBIAS FORNIER,putos,g,medium,630,4,2,1,630,4,2,250,79,13,250,473,60,630,4,2,the cell's own weighings,0,.5
rice,ANTIQUE,TOBIAS FORNIER,gantang,g,conventional_nsu,2255,3,0,1,2255,3,0,2257.5,6,0,2247.5,28,0,2255,3,0,the cell's own weighings,0,0
cabbage,ANTIQUE,VALDERRAMA,pieces or units,g,small,405,7,1,3,595,21,2,655,219,7,655,1306,73,405,7,1,the cell's own weighings,0,.1428571428571428
cabbage,ANTIQUE,VALDERRAMA,pieces or units,g,medium,597.5,8,0,3,595,21,2,655,219,7,655,1306,73,597.5,8,0,the cell's own weighings,0,0
cabbage,ANTIQUE,VALDERRAMA,pieces or units,g,large,975,6,1,3,595,21,2,655,219,7,655,1306,73,975,6,1,the cell's own weighings,0,.1666666666666667
camote tops,ANTIQUE,VALDERRAMA,bugkos,g,medium,210,3,0,1,210,3,0,225,69,4,195,449,63,210,3,0,the cell's own weighings,0,0
camote tops,ANTIQUE,VALDERRAMA,bundle,g,medium,1110,1,1,1,1110,1,1,610,9,5,500,101,48,610,9,5,province x item x unit,0,.5555555555555556
carrot,ANTIQUE,VALDERRAMA,pieces or units,g,small,90,4,0,3,110,11,2,145,201,27,140,1169,152,90,4,0,the cell's own weighings,0,0
carrot,ANTIQUE,VALDERRAMA,pieces or units,g,medium,140,4,0,3,110,11,2,145,201,27,140,1169,152,140,4,0,the cell's own weighings,0,0
carrot,ANTIQUE,VALDERRAMA,pieces or units,g,large,265,3,2,3,110,11,2,145,201,27,140,1169,152,265,3,2,the cell's own weighings,0,.6666666666666666
chicken,ANTIQUE,VALDERRAMA,pieces or units,g,small,200,2,0,3,232.5,4,0,410,40,19,380,108,50,232.5,4,0,cell pooled across sizes,0,0
chicken,ANTIQUE,VALDERRAMA,pieces or units,g,medium,327.5,2,0,3,232.5,4,0,410,40,19,380,108,50,232.5,4,0,cell pooled across sizes,0,0
chicken,ANTIQUE,VALDERRAMA,whole (chicken),g,small,970,2,0,3,1147.5,6,0,1105,65,0,1120,468,2,1147.5,6,0,cell pooled across sizes,0,0
chicken,ANTIQUE,VALDERRAMA,whole (chicken),g,medium,1185,3,0,3,1147.5,6,0,1105,65,0,1120,468,2,1147.5,6,0,cell pooled across sizes,0,0
chicken,ANTIQUE,VALDERRAMA,whole (chicken),g,large,1705,1,0,3,1147.5,6,0,1105,65,0,1120,468,2,1147.5,6,0,cell pooled across sizes,0,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,VALDERRAMA,pieces or units,g,small,24,4,0,3,40,12,3,31,94,7,32,505,68,24,4,0,the cell's own weighings,0,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,VALDERRAMA,pieces or units,g,medium,45,5,0,3,40,12,3,31,94,7,32,505,68,45,5,0,the cell's own weighings,0,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,VALDERRAMA,pieces or units,g,large,98,3,3,3,40,12,3,31,94,7,32,505,68,98,3,3,the cell's own weighings,0,1
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,VALDERRAMA,putos,g,medium,290,6,4,1,290,6,4,125,105,52,210,482,249,290,6,4,the cell's own weighings,0,.6666666666666666
"drinks at restaurant, hotel, cafe, or kiosk",ANTIQUE,VALDERRAMA,pieces or units,mL,small,195,7,2,3,350,20,7,310,80,21,355,164,34,195,7,2,the cell's own weighings,0,.2857142857142857
"drinks at restaurant, hotel, cafe, or kiosk",ANTIQUE,VALDERRAMA,pieces or units,mL,medium,352.5,8,0,3,350,20,7,310,80,21,355,164,34,352.5,8,0,the cell's own weighings,0,0
"drinks at restaurant, hotel, cafe, or kiosk",ANTIQUE,VALDERRAMA,pieces or units,mL,large,1000,5,5,3,350,20,7,310,80,21,355,164,34,1000,5,5,the cell's own weighings,0,1
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,VALDERRAMA,pieces or units,mL,medium,112.5,4,0,2,112.5,4,0,110,33,0,100,166,4,112.5,4,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,VALDERRAMA,small cup,mL,small,100,3,0,3,100,3,0,100,38,0,100,185,5,100,3,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,VALDERRAMA,lipid/lapad,mL,medium,375,7,0,3,375,7,0,375,100,0,375,618,7,375,7,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,VALDERRAMA,long-neck,mL,small,750,9,0,3,750,14,0,750,118,0,750,478,1,750,9,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ANTIQUE,VALDERRAMA,long-neck,mL,medium,1000,5,0,3,750,14,0,750,118,0,750,478,1,1000,5,0,the cell's own weighings,0,0
loaf bread,ANTIQUE,VALDERRAMA,medium packs,g,medium,600,1,0,3,600,1,0,450,50,0,450,352,0,450,50,0,province x item x unit,0,0
loaf bread,ANTIQUE,VALDERRAMA,small packs,g,small,385,1,0,3,385,1,0,375,32,0,370,259,2,375,32,0,province x item x unit,0,0
loaf bread,ANTIQUE,VALDERRAMA,tama-tama nga putos,g,medium,500,1,0,2,500,1,0,500,7,0,450,23,0,500,7,0,province x item x unit,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,VALDERRAMA,cans,g,medium,198,7,2,1,198,7,2,155,57,4,155,95,6,198,7,2,the cell's own weighings,0,.2857142857142857
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,VALDERRAMA,putos,g,medium,250,4,0,1,250,4,0,250,79,13,250,473,60,250,4,0,the cell's own weighings,0,0
cabbage,CAPIZ,CUARTERO,pieces or units,g,small,472.5,4,0,3,630,10,0,695,169,9,655,1306,73,630,10,0,cell pooled across sizes,0,0
cabbage,CAPIZ,CUARTERO,pieces or units,g,medium,790,4,0,3,630,10,0,695,169,9,655,1306,73,630,10,0,cell pooled across sizes,0,0
cabbage,CAPIZ,CUARTERO,pieces or units,g,large,1092.5,2,0,3,630,10,0,695,169,9,655,1306,73,630,10,0,cell pooled across sizes,0,0
camote tops,CAPIZ,CUARTERO,bugkos,g,small,220,3,0,3,440,9,5,210,51,10,195,449,63,440,9,5,cell pooled across sizes,0,.5555555555555556
camote tops,CAPIZ,CUARTERO,bugkos,g,medium,455,4,3,3,440,9,5,210,51,10,195,449,63,440,9,5,cell pooled across sizes,0,.5555555555555556
camote tops,CAPIZ,CUARTERO,bugkos,g,large,680,2,2,3,440,9,5,210,51,10,195,449,63,440,9,5,cell pooled across sizes,0,.5555555555555556
carrot,CAPIZ,CUARTERO,pieces or units,g,small,90,3,0,3,125,9,0,135,153,17,140,1169,152,125,9,0,cell pooled across sizes,0,0
carrot,CAPIZ,CUARTERO,pieces or units,g,medium,132.5,4,0,3,125,9,0,135,153,17,140,1169,152,125,9,0,cell pooled across sizes,0,0
carrot,CAPIZ,CUARTERO,pieces or units,g,large,202.5,2,0,3,125,9,0,135,153,17,140,1169,152,125,9,0,cell pooled across sizes,0,0
chicken,CAPIZ,CUARTERO,bilog,g,small,1085,1,0,3,1295,3,0,1192.5,34,0,1095,230,3,1295,3,0,cell pooled across sizes,0,0
chicken,CAPIZ,CUARTERO,bilog,g,medium,1330,2,0,3,1295,3,0,1192.5,34,0,1095,230,3,1295,3,0,cell pooled across sizes,0,0
chicken,CAPIZ,CUARTERO,pieces or units,g,small,225,3,0,3,250,8,0,250,8,0,380,108,50,250,8,0,cell pooled across sizes,0,0
chicken,CAPIZ,CUARTERO,pieces or units,g,medium,250,3,0,3,250,8,0,250,8,0,380,108,50,250,8,0,cell pooled across sizes,0,0
chicken,CAPIZ,CUARTERO,pieces or units,g,large,327.5,2,0,3,250,8,0,250,8,0,380,108,50,250,8,0,cell pooled across sizes,0,0
chicken,CAPIZ,CUARTERO,whole (chicken),g,small,1110,3,0,3,1180,9,0,1160,75,0,1120,468,2,1180,9,0,cell pooled across sizes,0,0
chicken,CAPIZ,CUARTERO,whole (chicken),g,medium,1197.5,4,0,3,1180,9,0,1160,75,0,1120,468,2,1180,9,0,cell pooled across sizes,0,0
chicken,CAPIZ,CUARTERO,whole (chicken),g,large,1375,2,0,3,1180,9,0,1160,75,0,1120,468,2,1180,9,0,cell pooled across sizes,0,0
"crackers, cookies, buiscuits, chips/curls",CAPIZ,CUARTERO,pieces or units,g,medium,29,4,0,2,29,4,0,31.5,88,14,32,505,68,29,4,0,the cell's own weighings,0,0
"crackers, cookies, buiscuits, chips/curls",CAPIZ,CUARTERO,putos,g,medium,290,4,3,2,290,4,3,287.5,54,37,210,482,249,290,4,3,the cell's own weighings,0,.75
fresh fish,CAPIZ,CUARTERO,pieces or units,g,small,370,3,0,3,475,9,2,377.5,120,35,390,685,213,475,9,2,cell pooled across sizes,0,.2222222222222222
fresh fish,CAPIZ,CUARTERO,pieces or units,g,medium,495,4,0,3,475,9,2,377.5,120,35,390,685,213,475,9,2,cell pooled across sizes,0,.2222222222222222
fresh fish,CAPIZ,CUARTERO,pieces or units,g,large,797.5,2,2,3,475,9,2,377.5,120,35,390,685,213,475,9,2,cell pooled across sizes,0,.2222222222222222
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,cone,g,medium,100,1,0,2,100,1,0,105,4,0,107,14,2,105,4,0,province x item x unit,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,cone,mL,medium,110,1,0,2,110,1,0,110,1,0,110,25,2,110,25,2,item x unit (national),0,.08
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,pieces or units,g,medium,395,1,1,2,395,1,1,47,6,3,60,94,12,47,6,3,province x item x unit,0,.5
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,putos,mL,medium,600,3,0,2,600,3,0,62.5,22,0,65,148,2,600,3,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,tupperware,g,medium,1025,1,0,2,1025,1,0,1025,1,0,1025,1,0,,,,,1,
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",CAPIZ,CUARTERO,tupperware,mL,medium,1250,1,1,2,1250,1,1,1250,1,1,700,4,1,700,4,1,item x unit (national),0,.25
"liquor (e.g, whisky, coconut wine)",CAPIZ,CUARTERO,lipid/lapad,mL,medium,375,4,0,3,375,4,0,375,103,3,375,618,7,375,4,0,the cell's own weighings,0,0
loaf bread,CAPIZ,CUARTERO,large packs,g,large,640,5,0,3,640,5,0,640,68,3,640,411,6,640,5,0,the cell's own weighings,0,0
loaf bread,CAPIZ,CUARTERO,medium packs,g,medium,450,5,0,3,450,5,0,450,39,0,450,352,0,450,5,0,the cell's own weighings,0,0
loaf bread,CAPIZ,CUARTERO,small packs,g,small,220,2,0,3,220,2,0,400,33,0,370,259,2,400,33,0,province x item x unit,0,0
mango,CAPIZ,CUARTERO,pieces or units,g,small,160,3,0,3,220,9,0,230,73,0,230,539,1,220,9,0,cell pooled across sizes,0,0
mango,CAPIZ,CUARTERO,pieces or units,g,medium,227.5,4,0,3,220,9,0,230,73,0,230,539,1,220,9,0,cell pooled across sizes,0,0
mango,CAPIZ,CUARTERO,pieces or units,g,large,292.5,2,0,3,220,9,0,230,73,0,230,539,1,220,9,0,cell pooled across sizes,0,0
"prawns, lobster, shrimp",CAPIZ,CUARTERO,tumpok,g,small,260,3,1,3,380,6,4,290,39,11,260,147,27,380,6,4,cell pooled across sizes,0,.6666666666666666
"prawns, lobster, shrimp",CAPIZ,CUARTERO,tumpok,g,medium,505,2,2,3,380,6,4,290,39,11,260,147,27,380,6,4,cell pooled across sizes,0,.6666666666666666
"prawns, lobster, shrimp",CAPIZ,CUARTERO,tumpok,g,large,810,1,1,3,380,6,4,290,39,11,260,147,27,380,6,4,cell pooled across sizes,0,.6666666666666666
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,CUARTERO,bilog,g,large,70,3,3,3,70,3,3,70,41,27,229,222,91,70,3,3,the cell's own weighings,0,1
"preserved or processed meat (tocino, tapa, longaniza, etc)",CAPIZ,CUARTERO,putos,g,medium,250,7,1,3,250,7,1,250,61,8,250,473,60,250,7,1,the cell's own weighings,0,.1428571428571428
