province,pull_municipal_city,cons_name,unit_lbl,harmonized_nsu_unit,fallback_harmonized_nsu_unit,fold_verdict,in_MS_as,freq_price,mn_item_unit_pairs,pn_item_unit_pairs,cause,cause_label,harmonizable,detail
CAPIZ,SIGMA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",per bowl serving of halo halo,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['bilog', 'small cup', 'tub']"
CAPIZ,JAMINDAN,loaf bread,pieces,.c,,safe-fold,,2,1.0,3.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['individual', 'large packs', 'medium packs', 'small packs']"
CAPIZ,MAMBUSAO,loaf bread,pieces,.c,,safe-fold,,1,2.0,3.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['large packs', 'small packs']"
CAPIZ,PANAY,loaf bread,per piece,.c,,safe-fold,,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['medium packs', 'small packs']"
CAPIZ,PANAY,loaf bread,piece,.c,,safe-fold,,1,1.0,2.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['medium packs', 'small packs']"
CAPIZ,PILAR,loaf bread,piece,.c,,safe-fold,,1,1.0,2.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (heuristic); cell has ['large packs']
CAPIZ,PANAY,"prawns, lobster, shrimp",caltex,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['cup', 'tumpok']"
CAPIZ,PONTEVEDRA,"prawns, lobster, shrimp",1 k caltex(kabo),.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (spelling-fold); cell has ['tumpok']
ILOILO,BAROTAC VIEJO,cabbage,1 chop,chop,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (recoverable),False,"recoverable: 1 x chop (verify); no MS referent for item (heuristic); cell has ['bilog', 'pack']"
ILOILO,LEMERY,cabbage,buskos,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (spelling-fold); cell has ['bilog']
ILOILO,DUEAS,camote,bundle,.c,,keep-separate,,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (heuristic); cell has ['bilog']
ILOILO,MINA,camote,putos,.c,,keep-separate,,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (heuristic); cell has ['bilog']
ILOILO,MAASIN,camote tops,bilog,.c,,safe-fold,,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['bugkos', 'bundle']"
ILOILO,BAROTAC VIEJO,carrot,pack of slices,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; manual override: ambiguous / mixed-content -> .c
ILOILO,DINGLE,carrot,slice,.c,,identity(ungrouped),,1,1.0,2.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (heuristic); cell has ['bilog']
ILOILO,IGBARAS,carrot,putos or pack,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; manual override: ambiguous / mixed-content -> .c
ILOILO,SAN DIONISIO,carrot,sliced,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (spelling-fold); cell has ['bilog']
ILOILO,SAN ENRIQUE,carrot,pack of ice wrapper,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (generic); cell has ['bilog']
ILOILO,TIGBAUAN,carrot,slice,.c,,identity(ungrouped),,1,1.0,2.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['bilog', 'pack', 'pieces or units']"
ILOILO,BAROTAC VIEJO,chicken,1/2,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (generic); cell has ['bilog']
ILOILO,AJUY,"crackers, cookies, buiscuits, chips/curls",can,.c,,safe-fold,,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['bilog', 'putos']"
ILOILO,ALIMODIAN,"crackers, cookies, buiscuits, chips/curls",tupper ware,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (spelling-fold); cell has ['bilog', 'putos']"
ILOILO,BADIANGAN,"crackers, cookies, buiscuits, chips/curls",tupperware,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['bilog', 'pieces or units', 'putos']"
ILOILO,CABATUAN,"crackers, cookies, buiscuits, chips/curls",can o lata,.c,,safe-fold,,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['bilog', 'pack', 'putos']"
ILOILO,OTON,"crackers, cookies, buiscuits, chips/curls",small box,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['bilog', 'putos']"
ILOILO,JANIUAY,fresh fish,patupa,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (heuristic); cell has ['bilog']
ILOILO,LEMERY,fresh fish,pack/ putos,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; manual override: ambiguous / mixed-content -> .c
ILOILO,IGBARAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2 bowls halohalo and 10 popcicle  sticks,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['bilog', 'putos', 'small cup']"
ILOILO,OTON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3 serving of halo-halo in a bowl,serving,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (recoverable),False,"recoverable: 3 x serving (verify); no MS referent for item (heuristic); cell has ['bilog', 'putos', 'small cup']"
ILOILO,OTON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pitcher,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['bilog', 'putos', 'small cup']"
ILOILO,ALIMODIAN,"liquor (e.g, whisky, coconut wine)",4 later galon,galon,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (recoverable),False,"recoverable: 4 x galon (verify); no MS referent for item (heuristic); cell has ['lipid / lapad', 'long-neck']"
ILOILO,IGBARAS,"liquor (e.g, whisky, coconut wine)",cup,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['junior lapad', 'lipid / lapad', 'long-neck']"
ILOILO,BADIANGAN,loaf bread,plastic bag,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['large packs', 'medium packs']"
ILOILO,MAASIN,loaf bread,pieces,.c,,safe-fold,,1,2.0,2.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['large packs', 'medium packs']"
ILOILO,POTOTAN,pork,1 bowl cooked,bowl,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (recoverable),False,recoverable: 1 x bowl (verify); no MS referent for item (heuristic); cell has ['pieces or units']
ILOILO,ESTANCIA,"prawns, lobster, shrimp",putos,.c,,keep-separate,,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (heuristic); cell has ['tumpok']
ILOILO,OTON,rice,rice cooker cup (small),.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (spelling-fold); cell has ['salmon']
ILOILO,OTON,rice,"rice cooker cup, small",.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (spelling-fold); cell has ['salmon']
ILOILO,OTON,rice,small rice cooker cup,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (heuristic); cell has ['salmon']
NEGROS OCCIDENTAL,CAUAYAN,camote tops,tumpok,.c,,safe-fold,,1,1.0,1.0,1,nonsensical (unmappable),False,unmappable free-text; no MS referent for item (heuristic); cell has ['bugkos']
NEGROS OCCIDENTAL,ISABELA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",cup,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['putos', 'small cup']"
NEGROS OCCIDENTAL,CALATRAVA,"liquor (e.g, whisky, coconut wine)",cup,.c,,identity(ungrouped),,1,1.0,1.0,1,nonsensical (unmappable),False,"unmappable free-text; no MS referent for item (heuristic); cell has ['lipid / lapad', 'long-neck']"
AKLAN,ALTAVAS,camote,binilog,,,kept-separate(low-confidence weight test),,1,1.0,5.0,2,empty/uncommon,False,"item absent from this cell (item in province, not this city); step1=rename"
AKLAN,BATAN,camote tops,bundle,bundle,bugkos,keep-separate,,1,114.0,1041.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bugkos']
AKLAN,IBAJAY,camote tops,bundle,bundle,bugkos,keep-separate,,1,204.0,1041.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bugkos']
AKLAN,MADALAG,camote tops,bundle,bundle,bugkos,keep-separate,,1,86.0,1041.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bugkos']
AKLAN,MALAY,camote tops,bundle,bundle,bugkos,keep-separate,,1,60.0,1041.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bugkos']
AKLAN,NABAS,camote tops,bundle,bundle,bugkos,keep-separate,,1,24.0,1041.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['bugkos']
AKLAN,ALTAVAS,chicken,bilog,bilog,whole (chicken),reassigned-separate(item-specific),,1,3.0,7.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['binilog', 'whole (chicken)']"
AKLAN,LIBACAO,chicken,bilog,bilog,whole (chicken),reassigned-separate(item-specific),,1,1.0,7.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['binilog', 'whole (chicken)']"
AKLAN,MALAY,chicken,bilog,bilog,whole (chicken),reassigned-separate(item-specific),,3,3.0,7.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['whole (chicken)']
AKLAN,BATAN,"crackers, cookies, buiscuits, chips/curls",packs,pack,putos,keep-separate,,1,1.0,2.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['binilog', 'putos']"
AKLAN,BURUANGA,"crackers, cookies, buiscuits, chips/curls",bilog,pieces or units,,safe-fold,,1,1.0,2.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['pack', 'putos']"
AKLAN,BURUANGA,"crackers, cookies, buiscuits, chips/curls",binilog,pieces or units,,safe-fold,,1,6.0,158.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['pack', 'putos']"
AKLAN,BURUANGA,"crackers, cookies, buiscuits, chips/curls",pieces or units,pieces or units,,safe-fold,,1,2.0,3.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['pack', 'putos']"
AKLAN,MALINAO,"crackers, cookies, buiscuits, chips/curls",packs,pack,putos,keep-separate,,1,1.0,2.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['bilog', 'putos']"
AKLAN,ALTAVAS,"drinks at restaurant, hotel, cafe, or kiosk",pieces,,,safe-fold,,1,9.0,15.0,2,empty/uncommon,False,item absent from this cell (item not surveyed anywhere in province); step1=rename
AKLAN,MALAY,"drinks at restaurant, hotel, cafe, or kiosk",pieces,,,safe-fold,,1,3.0,15.0,2,empty/uncommon,False,item absent from this cell (item not surveyed anywhere in province); step1=rename
AKLAN,MALINAO,"drinks at restaurant, hotel, cafe, or kiosk",pieces,,,safe-fold,,1,3.0,15.0,2,empty/uncommon,False,item absent from this cell (item not surveyed anywhere in province); step1=rename
AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",binilog,pieces or units,,safe-fold,,3,62.0,269.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['putos']
AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",gamay nga cup,small cup,,fold(untested/minor-flag),,1,4.0,12.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['putos']
AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",maisot nga tasa,small cup,,fold(untested/minor-flag),,3,22.0,83.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['putos']
AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",piraso,pieces or units,,safe-fold,,2,1.0,3.0,2,empty/uncommon,False,valid for item elsewhere (rename); cell has ['putos']
AKLAN,BANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",maisot nga tasa,small cup,,fold(untested/minor-flag),,3,5.0,83.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['binilog', 'putos']"
AKLAN,BURUANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",binilog,pieces or units,,safe-fold,,1,4.0,269.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['pack', 'small cup']"
AKLAN,LIBACAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",binilog,pieces or units,,safe-fold,,1,27.0,269.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['putos', 'small cup']"
AKLAN,MADALAG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",maisot nga tasa,small cup,,fold(untested/minor-flag),,1,4.0,83.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['binilog', 'putos']"
AKLAN,NABAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",maisot nga tasa,small cup,,fold(untested/minor-flag),,1,3.0,83.0,2,empty/uncommon,False,"valid for item elsewhere (rename); cell has ['binilog', 'putos']"
AKLAN,LIBACAO,loaf bread,kasarangan nga putos,,,safe-fold,,3,10.0,161.0,2,empty/uncommon,False,"item absent from this cell (item in province, not this city); step1=rename"
AKLAN,LIBACAO,loaf bread,mabahoe nga putos,,,safe-fold,,3,11.0,161.0,2,empty/uncommon,False,"item absent from this cell (item in province, not this city); step1=rename"
AKLAN,LIBACAO,loaf bread,maisot nga putos,,,fold(untested/minor-flag),,1,15.0,134.0,2,empty/uncommon,False,"item absent from this cell (item in province, not this city); step1=rename"
