pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,corrected_unit,cf_blind,fallback_level,n_g_used,d_thin,d_unconvertible
AKLAN,BATAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,g,65,province x item x unit,28,0,0
AKLAN,BATAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,305,cell pooled across sizes,4,0,0
AKLAN,BURUANGA,cabbage,pieces or units,g,625,cell pooled across sizes,13,0,0
AKLAN,BURUANGA,cabbage,small packs,g,235,cell pooled across sizes,3,0,0
AKLAN,BURUANGA,camote,binilog,g,100,cell pooled across sizes,8,0,0
AKLAN,BURUANGA,camote tops,bundle,g,790,province x item x unit,35,0,0
AKLAN,BURUANGA,carrot,pieces or units,g,130,cell pooled across sizes,13,0,0
AKLAN,BURUANGA,chicken,pieces or units,g,600,cell pooled across sizes,3,0,0
AKLAN,BURUANGA,chicken,whole (chicken),g,1160,cell pooled across sizes,7,0,0
AKLAN,BURUANGA,"crackers, cookies, buiscuits, chips/curls",pack,g,300,item x unit (regional),63,0,0
AKLAN,BURUANGA,"crackers, cookies, buiscuits, chips/curls",putos,g,90,cell pooled across sizes,24,0,0
AKLAN,BURUANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pack,g,60,cell pooled across sizes,3,0,0
AKLAN,BURUANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,g,115,province x item x unit,10,0,0
AKLAN,BURUANGA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,9,0,0
AKLAN,BURUANGA,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,9,0,0
AKLAN,BURUANGA,loaf bread,large packs,g,600,cell pooled across sizes,3,0,0
AKLAN,BURUANGA,loaf bread,medium packs,g,450,cell pooled across sizes,5,0,0
AKLAN,BURUANGA,loaf bread,small packs,g,350,cell pooled across sizes,4,0,0
AKLAN,BURUANGA,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,g,250,cell pooled across sizes,3,0,0
AKLAN,BURUANGA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,225,cell pooled across sizes,8,0,0
AKLAN,IBAJAY,cabbage,pieces or units,g,627.5,cell pooled across sizes,14,0,0
AKLAN,IBAJAY,camote,binilog,g,150,cell pooled across sizes,9,0,0
AKLAN,IBAJAY,camote tops,bugkos,g,162.5,cell pooled across sizes,4,0,0
AKLAN,IBAJAY,carrot,pieces or units,g,145,cell pooled across sizes,15,0,0
AKLAN,IBAJAY,chicken,pieces or units,g,335,cell pooled across sizes,7,0,0
AKLAN,IBAJAY,chicken,whole (chicken),g,1445,cell pooled across sizes,7,0,0
AKLAN,IBAJAY,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,40,cell pooled across sizes,14,0,0
AKLAN,IBAJAY,"crackers, cookies, buiscuits, chips/curls",putos,g,270,province x item x unit,93,0,0
AKLAN,IBAJAY,fresh fish,pieces or units,g,325,cell pooled across sizes,14,0,0
AKLAN,IBAJAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,110,province x item x unit,26,0,0
AKLAN,IBAJAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,600,cell pooled across sizes,3,0,0
AKLAN,IBAJAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,100,cell pooled across sizes,3,0,0
AKLAN,IBAJAY,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,6,0,0
AKLAN,IBAJAY,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,7,0,0
AKLAN,IBAJAY,loaf bread,large packs,g,620,cell pooled across sizes,3,0,0
AKLAN,IBAJAY,loaf bread,medium packs,g,450,province x item x unit,51,0,0
AKLAN,IBAJAY,loaf bread,small packs,g,360,province x item x unit,33,0,0
AKLAN,IBAJAY,mango,pieces or units,g,225,cell pooled across sizes,15,0,0
AKLAN,IBAJAY,"prawns, lobster, shrimp",tumpok,g,455,cell pooled across sizes,3,0,0
AKLAN,IBAJAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,g,65,province x item x unit,28,0,0
AKLAN,IBAJAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,500,cell pooled across sizes,11,0,0
AKLAN,LIBACAO,cabbage,pieces or units,g,725,cell pooled across sizes,22,0,0
AKLAN,LIBACAO,camote tops,bugkos,g,170,cell pooled across sizes,3,0,0
AKLAN,LIBACAO,camote tops,bundle,g,665,cell pooled across sizes,3,0,0
AKLAN,LIBACAO,carrot,pieces or units,g,105,cell pooled across sizes,11,0,0
AKLAN,LIBACAO,chicken,pieces or units,g,530,cell pooled across sizes,3,0,0
AKLAN,LIBACAO,chicken,whole (chicken),g,1375,cell pooled across sizes,6,0,0
AKLAN,LIBACAO,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,30,cell pooled across sizes,9,0,0
AKLAN,LIBACAO,"crackers, cookies, buiscuits, chips/curls",putos,g,300,cell pooled across sizes,9,0,0
AKLAN,LIBACAO,fresh fish,pieces or units,g,562.5,cell pooled across sizes,6,0,0
AKLAN,LIBACAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,g,51.5,cell pooled across sizes,4,0,0
AKLAN,LIBACAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,g,350,cell pooled across sizes,3,0,0
AKLAN,LIBACAO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,5,0,0
AKLAN,LIBACAO,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,7,0,0
AKLAN,LIBACAO,mango,pieces or units,g,220,cell pooled across sizes,11,0,0
AKLAN,LIBACAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,g,65,province x item x unit,28,0,0
AKLAN,LIBACAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,307.5,cell pooled across sizes,6,0,0
AKLAN,MADALAG,cabbage,pieces or units,g,657.5,cell pooled across sizes,18,0,0
AKLAN,MADALAG,camote,binilog,g,160,cell pooled across sizes,3,0,0
AKLAN,MADALAG,camote tops,bugkos,g,150,cell pooled across sizes,4,0,0
AKLAN,MADALAG,carrot,pieces or units,g,162.5,cell pooled across sizes,12,0,0
AKLAN,MADALAG,chicken,pieces or units,g,390,province x item x unit,45,0,0
AKLAN,MADALAG,chicken,whole (chicken),g,1250,cell pooled across sizes,4,0,0
AKLAN,MADALAG,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,31.5,cell pooled across sizes,8,0,0
AKLAN,MADALAG,"crackers, cookies, buiscuits, chips/curls",putos,g,315,cell pooled across sizes,6,0,0
AKLAN,MADALAG,fresh fish,pieces or units,g,437.5,cell pooled across sizes,12,0,0
AKLAN,MADALAG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,100,cell pooled across sizes,3,0,0
AKLAN,MADALAG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,54,cell pooled across sizes,4,0,0
AKLAN,MADALAG,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,6,0,0
AKLAN,MADALAG,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,5,0,0
AKLAN,MADALAG,loaf bread,large packs,g,640,province x item x unit,43,0,0
AKLAN,MADALAG,loaf bread,medium packs,g,610,cell pooled across sizes,4,0,0
AKLAN,MADALAG,loaf bread,small packs,g,360,province x item x unit,33,0,0
AKLAN,MADALAG,mango,pieces or units,g,217.5,cell pooled across sizes,4,0,0
AKLAN,MADALAG,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,g,40,cell pooled across sizes,4,0,0
AKLAN,MADALAG,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,330,cell pooled across sizes,6,0,0
AKLAN,MAKATO,cabbage,pieces or units,g,787.5,cell pooled across sizes,12,0,0
AKLAN,MAKATO,camote tops,bundle,g,775,cell pooled across sizes,6,0,0
AKLAN,MAKATO,carrot,pieces or units,g,117.5,cell pooled across sizes,16,0,0
AKLAN,MAKATO,chicken,whole (chicken),g,1307.5,cell pooled across sizes,6,0,0
AKLAN,MAKATO,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,30,cell pooled across sizes,8,0,0
AKLAN,MAKATO,"crackers, cookies, buiscuits, chips/curls",putos,g,300,cell pooled across sizes,9,0,0
AKLAN,MAKATO,fresh fish,pieces or units,g,455,cell pooled across sizes,12,0,0
AKLAN,MAKATO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,g,75,cell pooled across sizes,3,0,0
AKLAN,MAKATO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,g,110,cell pooled across sizes,5,0,0
AKLAN,MAKATO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,9,0,0
AKLAN,MAKATO,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,9,0,0
AKLAN,MAKATO,loaf bread,large packs,g,640,cell pooled across sizes,5,0,0
AKLAN,MAKATO,loaf bread,medium packs,g,465,cell pooled across sizes,8,0,0
AKLAN,MAKATO,loaf bread,small packs,g,392.5,cell pooled across sizes,4,0,0
AKLAN,MAKATO,mango,pieces or units,g,190,cell pooled across sizes,12,0,0
AKLAN,MAKATO,"prawns, lobster, shrimp",tumpok,g,345,cell pooled across sizes,6,0,0
AKLAN,MAKATO,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,g,65,cell pooled across sizes,5,0,0
AKLAN,MAKATO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,307.5,cell pooled across sizes,8,0,0
AKLAN,MALAY,cabbage,pieces or units,g,770,cell pooled across sizes,26,0,0
AKLAN,MALAY,camote,binilog,g,180,cell pooled across sizes,19,0,0
AKLAN,MALAY,camote tops,bugkos,g,252.5,cell pooled across sizes,6,0,0
AKLAN,MALAY,carrot,pieces or units,g,167.5,cell pooled across sizes,22,0,0
AKLAN,MALAY,chicken,whole (chicken),g,1137.5,cell pooled across sizes,8,0,0
AKLAN,MALAY,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,27.5,cell pooled across sizes,6,0,0
AKLAN,MALAY,"crackers, cookies, buiscuits, chips/curls",putos,g,330,cell pooled across sizes,7,0,0
AKLAN,MALAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,105,cell pooled across sizes,4,0,0
AKLAN,MALAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,62.5,cell pooled across sizes,4,0,0
AKLAN,MALAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,100,cell pooled across sizes,3,0,0
AKLAN,MALAY,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,9,0,0
AKLAN,MALAY,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,9,0,0
AKLAN,MALAY,loaf bread,large packs,g,580,cell pooled across sizes,4,0,0
AKLAN,MALAY,loaf bread,medium packs,g,425,cell pooled across sizes,4,0,0
AKLAN,MALAY,loaf bread,small packs,g,300,cell pooled across sizes,3,0,0
AKLAN,MALAY,mango,pieces or units,g,230,cell pooled across sizes,15,0,0
AKLAN,MALAY,"prawns, lobster, shrimp",tumpok,g,265,cell pooled across sizes,5,0,0
AKLAN,MALAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,g,225,item x unit (regional),222,0,0
AKLAN,MALAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,370,cell pooled across sizes,14,0,0
AKLAN,MALINAO,cabbage,pieces or units,g,655,cell pooled across sizes,9,0,0
AKLAN,MALINAO,camote tops,bugkos,g,182.5,cell pooled across sizes,4,0,0
AKLAN,MALINAO,camote tops,bundle,g,835,cell pooled across sizes,4,0,0
AKLAN,MALINAO,carrot,pieces or units,g,180,cell pooled across sizes,9,0,0
AKLAN,MALINAO,chicken,pieces or units,g,545,cell pooled across sizes,5,0,0
AKLAN,MALINAO,chicken,whole (chicken),g,1265,province x item x unit,83,0,0
AKLAN,MALINAO,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,28,cell pooled across sizes,6,0,0
AKLAN,MALINAO,"crackers, cookies, buiscuits, chips/curls",putos,g,270,province x item x unit,93,0,0
AKLAN,MALINAO,fresh fish,pieces or units,g,505,cell pooled across sizes,6,0,0
AKLAN,MALINAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,110,cell pooled across sizes,3,0,0
AKLAN,MALINAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,600,cell pooled across sizes,3,0,0
AKLAN,MALINAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,110,cell pooled across sizes,4,0,0
