pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,corrected_unit,cf_blind,fallback_level,n_g_used,d_thin,d_unconvertible
ANTIQUE,TOBIAS FORNIER,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,500,cell pooled across sizes,5,0,0
ANTIQUE,TOBIAS FORNIER,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,100,cell pooled across sizes,4,0,0
ANTIQUE,TOBIAS FORNIER,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,8,0,0
ANTIQUE,TOBIAS FORNIER,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,10,0,0
ANTIQUE,TOBIAS FORNIER,loaf bread,large packs,g,640,cell pooled across sizes,3,0,0
ANTIQUE,TOBIAS FORNIER,loaf bread,medium packs,g,450,cell pooled across sizes,4,0,0
ANTIQUE,TOBIAS FORNIER,loaf bread,small packs,g,375,province x item x unit,32,0,0
ANTIQUE,TOBIAS FORNIER,mango,pieces or units,g,205,cell pooled across sizes,6,0,0
ANTIQUE,TOBIAS FORNIER,"preserved or processed meat (tocino, tapa, longaniza, etc)",cans,g,155,cell pooled across sizes,13,0,0
ANTIQUE,TOBIAS FORNIER,"preserved or processed meat (tocino, tapa, longaniza, etc)",pack,g,250,province x item x unit,6,0,0
ANTIQUE,TOBIAS FORNIER,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,630,cell pooled across sizes,4,0,0
ANTIQUE,TOBIAS FORNIER,rice,gantang,g,2255,cell pooled across sizes,3,0,0
ANTIQUE,VALDERRAMA,cabbage,pieces or units,g,595,cell pooled across sizes,21,0,0
ANTIQUE,VALDERRAMA,camote tops,bugkos,g,210,cell pooled across sizes,3,0,0
ANTIQUE,VALDERRAMA,camote tops,bundle,g,610,province x item x unit,9,0,0
ANTIQUE,VALDERRAMA,carrot,pieces or units,g,110,cell pooled across sizes,11,0,0
ANTIQUE,VALDERRAMA,chicken,pieces or units,g,232.5,cell pooled across sizes,4,0,0
ANTIQUE,VALDERRAMA,chicken,whole (chicken),g,1147.5,cell pooled across sizes,6,0,0
ANTIQUE,VALDERRAMA,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,47.5,cell pooled across sizes,12,0,0
ANTIQUE,VALDERRAMA,"crackers, cookies, buiscuits, chips/curls",putos,g,290,cell pooled across sizes,6,0,0
ANTIQUE,VALDERRAMA,"drinks at restaurant, hotel, cafe, or kiosk",pieces or units,mL,427.5,cell pooled across sizes,20,0,0
ANTIQUE,VALDERRAMA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,112.5,cell pooled across sizes,4,0,0
ANTIQUE,VALDERRAMA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,100,cell pooled across sizes,3,0,0
ANTIQUE,VALDERRAMA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,7,0,0
ANTIQUE,VALDERRAMA,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,14,0,0
ANTIQUE,VALDERRAMA,loaf bread,medium packs,g,450,province x item x unit,50,0,0
ANTIQUE,VALDERRAMA,loaf bread,small packs,g,375,province x item x unit,32,0,0
ANTIQUE,VALDERRAMA,loaf bread,tama-tama nga putos,g,500,province x item x unit,7,0,0
ANTIQUE,VALDERRAMA,"preserved or processed meat (tocino, tapa, longaniza, etc)",cans,g,198,cell pooled across sizes,7,0,0
ANTIQUE,VALDERRAMA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,250,cell pooled across sizes,4,0,0
CAPIZ,CUARTERO,cabbage,pieces or units,g,630,cell pooled across sizes,10,0,0
CAPIZ,CUARTERO,camote tops,bugkos,g,440,cell pooled across sizes,9,0,0
CAPIZ,CUARTERO,carrot,pieces or units,g,125,cell pooled across sizes,9,0,0
CAPIZ,CUARTERO,chicken,bilog,g,1295,cell pooled across sizes,3,0,0
CAPIZ,CUARTERO,chicken,pieces or units,g,250,cell pooled across sizes,8,0,0
CAPIZ,CUARTERO,chicken,whole (chicken),g,1180,cell pooled across sizes,9,0,0
CAPIZ,CUARTERO,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,29,cell pooled across sizes,4,0,0
CAPIZ,CUARTERO,"crackers, cookies, buiscuits, chips/curls",putos,g,290,cell pooled across sizes,4,0,0
CAPIZ,CUARTERO,fresh fish,pieces or units,g,475,cell pooled across sizes,9,0,0
CAPIZ,CUARTERO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",cone,g,110,province x item x unit,5,0,0
CAPIZ,CUARTERO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,g,50,province x item x unit,7,0,0
CAPIZ,CUARTERO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,600,cell pooled across sizes,3,0,0
CAPIZ,CUARTERO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",tupperware,g,,,,,1
CAPIZ,CUARTERO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,4,0,0
CAPIZ,CUARTERO,loaf bread,large packs,g,640,cell pooled across sizes,5,0,0
CAPIZ,CUARTERO,loaf bread,medium packs,g,450,cell pooled across sizes,5,0,0
CAPIZ,CUARTERO,loaf bread,small packs,g,400,province x item x unit,33,0,0
CAPIZ,CUARTERO,mango,pieces or units,g,220,cell pooled across sizes,9,0,0
CAPIZ,CUARTERO,"prawns, lobster, shrimp",tumpok,g,380,cell pooled across sizes,6,0,0
CAPIZ,CUARTERO,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,g,70,cell pooled across sizes,3,0,0
CAPIZ,CUARTERO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,250,cell pooled across sizes,7,0,0
CAPIZ,DAO,cabbage,pieces or units,g,535,cell pooled across sizes,7,0,0
CAPIZ,DAO,cabbage,putos (mix vegetable),g,165,province x item x unit,14,0,0
CAPIZ,DAO,camote,bilog,g,130,cell pooled across sizes,6,0,0
CAPIZ,DAO,camote tops,bugkos,g,210,province x item x unit,51,0,0
CAPIZ,DAO,carrot,pieces or units,g,157.5,cell pooled across sizes,8,0,0
CAPIZ,DAO,chicken,bilog,g,1192.5,province x item x unit,34,0,0
CAPIZ,DAO,chicken,whole (chicken),g,1097.5,cell pooled across sizes,4,0,0
CAPIZ,DAO,"drinks at restaurant, hotel, cafe, or kiosk",pieces or units,mL,486.5,cell pooled across sizes,4,0,0
CAPIZ,DAO,fresh fish,pieces or units,g,375,cell pooled across sizes,6,0,0
CAPIZ,DAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,75,province x item x unit,16,0,0
CAPIZ,DAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,60,province x item x unit,22,0,0
CAPIZ,DAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,100,province x item x unit,27,0,0
CAPIZ,DAO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,3,0,0
CAPIZ,DAO,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,3,0,0
CAPIZ,DAO,loaf bread,large packs,g,640,province x item x unit,68,0,0
CAPIZ,DAO,loaf bread,medium packs,g,450,province x item x unit,39,0,0
CAPIZ,DAO,loaf bread,small packs,g,450,cell pooled across sizes,3,0,0
CAPIZ,DAO,mango,pieces or units,g,200,cell pooled across sizes,7,0,0
CAPIZ,DAO,"prawns, lobster, shrimp",tumpok,g,305,province x item x unit,39,0,0
CAPIZ,DAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,g,250,cell pooled across sizes,3,0,0
CAPIZ,DAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,250,province x item x unit,61,0,0
CAPIZ,DUMALAG,cabbage,pack,g,160,province x item x unit,11,0,0
CAPIZ,DUMALAG,cabbage,pieces or units,g,635,cell pooled across sizes,17,0,0
CAPIZ,DUMALAG,camote,bilog,g,85,cell pooled across sizes,4,0,0
CAPIZ,DUMALAG,camote tops,bugkos,g,210,province x item x unit,51,0,0
CAPIZ,DUMALAG,carrot,pieces or units,g,160,cell pooled across sizes,14,0,0
CAPIZ,DUMALAG,chicken,whole (chicken),g,1355,cell pooled across sizes,5,0,0
CAPIZ,DUMALAG,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,31,cell pooled across sizes,6,0,0
CAPIZ,DUMALAG,"crackers, cookies, buiscuits, chips/curls",putos,g,310,cell pooled across sizes,4,0,0
CAPIZ,DUMALAG,"drinks at restaurant, hotel, cafe, or kiosk",pieces or units,mL,473,province x item x unit,9,0,0
CAPIZ,DUMALAG,fresh fish,pieces or units,g,722.5,cell pooled across sizes,4,0,0
CAPIZ,DUMALAG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,75,province x item x unit,16,0,0
CAPIZ,DUMALAG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,60,province x item x unit,22,0,0
CAPIZ,DUMALAG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,100,province x item x unit,27,0,0
CAPIZ,DUMALAG,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,5,0,0
CAPIZ,DUMALAG,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,province x item x unit,26,0,0
CAPIZ,DUMALAG,loaf bread,large packs,g,700,cell pooled across sizes,3,0,0
CAPIZ,DUMALAG,loaf bread,medium packs,g,500,cell pooled across sizes,5,0,0
CAPIZ,DUMALAG,loaf bread,small packs,g,400,province x item x unit,33,0,0
CAPIZ,DUMALAG,mango,pieces or units,g,195,cell pooled across sizes,8,0,0
CAPIZ,DUMALAG,"mineral or spring water, all drinking water sold in containers",container,mL,,,,,1
CAPIZ,DUMALAG,"prawns, lobster, shrimp",tumpok,g,305,province x item x unit,39,0,0
CAPIZ,DUMALAG,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,g,70,province x item x unit,41,0,0
CAPIZ,DUMALAG,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,1000,cell pooled across sizes,3,0,0
CAPIZ,DUMARAO,cabbage,pack,g,355,cell pooled across sizes,5,0,0
CAPIZ,DUMARAO,cabbage,pieces or units,g,890,cell pooled across sizes,7,0,0
CAPIZ,DUMARAO,camote tops,bugkos,g,210,province x item x unit,51,0,0
CAPIZ,DUMARAO,carrot,pieces or units,g,135,cell pooled across sizes,5,0,0
CAPIZ,DUMARAO,chicken,bilog,g,1192.5,province x item x unit,34,0,0
CAPIZ,DUMARAO,fresh fish,pack,g,680,province x item x unit,4,0,0
CAPIZ,DUMARAO,fresh fish,pieces or units,g,372.5,province x item x unit,120,0,0
CAPIZ,DUMARAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,75,province x item x unit,16,0,0
CAPIZ,DUMARAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,60,province x item x unit,22,0,0
CAPIZ,DUMARAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,100,cell pooled across sizes,3,0,0
CAPIZ,DUMARAO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,3,0,0
CAPIZ,DUMARAO,loaf bread,large packs,g,640,province x item x unit,68,0,0
CAPIZ,DUMARAO,loaf bread,medium packs,g,450,cell pooled across sizes,5,0,0
CAPIZ,DUMARAO,loaf bread,small packs,g,400,province x item x unit,33,0,0
CAPIZ,DUMARAO,mango,pieces or units,g,220,cell pooled across sizes,6,0,0
CAPIZ,DUMARAO,"prawns, lobster, shrimp",tumpok,g,305,province x item x unit,39,0,0
CAPIZ,DUMARAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,g,70,province x item x unit,41,0,0
CAPIZ,DUMARAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,250,province x item x unit,61,0,0
CAPIZ,IVISAN,cabbage,pieces or units,g,705,cell pooled across sizes,18,0,0
CAPIZ,IVISAN,camote,bilog,g,205,cell pooled across sizes,9,0,0
CAPIZ,IVISAN,camote tops,bundle,g,155,cell pooled across sizes,3,0,0
CAPIZ,IVISAN,carrot,pieces or units,g,150,cell pooled across sizes,13,0,0
CAPIZ,IVISAN,chicken,whole (chicken),g,1145,cell pooled across sizes,9,0,0
CAPIZ,IVISAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,32,province x item x unit,88,0,0
CAPIZ,IVISAN,"crackers, cookies, buiscuits, chips/curls",putos,g,250,cell pooled across sizes,3,0,0
CAPIZ,IVISAN,fresh fish,pieces or units,g,490,cell pooled across sizes,15,0,0
CAPIZ,IVISAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,60,province x item x unit,22,0,0
CAPIZ,IVISAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,100,province x item x unit,27,0,0
CAPIZ,IVISAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,600,cell pooled across sizes,12,0,0
CAPIZ,IVISAN,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,4,0,0
CAPIZ,IVISAN,loaf bread,large packs,g,640,cell pooled across sizes,3,0,0
CAPIZ,IVISAN,loaf bread,medium packs,g,450,cell pooled across sizes,4,0,0
CAPIZ,IVISAN,loaf bread,small packs,g,360,cell pooled across sizes,3,0,0
CAPIZ,IVISAN,mango,pieces or units,g,252.5,cell pooled across sizes,12,0,0
CAPIZ,IVISAN,"prawns, lobster, shrimp",tumpok,g,250,cell pooled across sizes,3,0,0
CAPIZ,IVISAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,g,70,cell pooled across sizes,3,0,0
CAPIZ,IVISAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pack,g,280,cell pooled across sizes,3,0,0
CAPIZ,JAMINDAN,cabbage,pieces or units,g,802.5,cell pooled across sizes,10,0,0
CAPIZ,JAMINDAN,camote tops,bugkos,g,210,province x item x unit,51,0,0
CAPIZ,JAMINDAN,camote tops,bundle,g,170,province x item x unit,7,0,0
CAPIZ,JAMINDAN,carrot,pieces or units,g,145,cell pooled across sizes,3,0,0
CAPIZ,JAMINDAN,chicken,bilog,g,1192.5,province x item x unit,34,0,0
CAPIZ,JAMINDAN,chicken,whole (chicken),g,1160,province x item x unit,75,0,0
CAPIZ,JAMINDAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,32,province x item x unit,88,0,0
CAPIZ,JAMINDAN,"crackers, cookies, buiscuits, chips/curls",putos,g,280,province x item x unit,54,0,0
CAPIZ,JAMINDAN,"drinks at restaurant, hotel, cafe, or kiosk",pieces or units,mL,473,province x item x unit,9,0,0
CAPIZ,JAMINDAN,fresh fish,pieces or units,g,390,cell pooled across sizes,5,0,0
CAPIZ,JAMINDAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,75,province x item x unit,16,0,0
CAPIZ,JAMINDAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,60,province x item x unit,22,0,0
CAPIZ,JAMINDAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,100,province x item x unit,27,0,0
CAPIZ,JAMINDAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",tub,mL,1000,cell pooled across sizes,3,0,0
CAPIZ,JAMINDAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,province x item x unit,103,0,0
CAPIZ,JAMINDAN,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,province x item x unit,26,0,0
CAPIZ,JAMINDAN,loaf bread,individual,g,,,,,1
CAPIZ,JAMINDAN,loaf bread,large packs,g,640,province x item x unit,68,0,0
CAPIZ,JAMINDAN,loaf bread,medium packs,g,450,province x item x unit,39,0,0
CAPIZ,JAMINDAN,loaf bread,small packs,g,400,province x item x unit,33,0,0
CAPIZ,JAMINDAN,mango,pieces or units,g,185,cell pooled across sizes,3,0,0
CAPIZ,JAMINDAN,"prawns, lobster, shrimp",tumpok,g,305,province x item x unit,39,0,0
CAPIZ,JAMINDAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,g,70,province x item x unit,41,0,0
CAPIZ,JAMINDAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,250,province x item x unit,61,0,0
CAPIZ,JAMINDAN,rice,letse,g,425,item x unit (regional),3,0,0
CAPIZ,MA-AYON,cabbage,pack,g,160,province x item x unit,11,0,0
CAPIZ,MA-AYON,cabbage,pieces or units,g,700,cell pooled across sizes,9,0,0
CAPIZ,MA-AYON,camote,bilog,g,260,cell pooled across sizes,3,0,0
CAPIZ,MA-AYON,camote tops,bugkos,g,360,cell pooled across sizes,9,0,0
CAPIZ,MA-AYON,carrot,pieces or units,g,95,cell pooled across sizes,3,0,0
CAPIZ,MA-AYON,chicken,pack,g,1347.5,cell pooled across sizes,4,0,0
CAPIZ,MA-AYON,chicken,whole (chicken),g,1080,cell pooled across sizes,3,0,0
CAPIZ,MA-AYON,"crackers, cookies, buiscuits, chips/curls",big can,g,1400,cell pooled across sizes,5,0,0
CAPIZ,MA-AYON,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,48,cell pooled across sizes,5,0,0
CAPIZ,MA-AYON,"crackers, cookies, buiscuits, chips/curls",putos,g,300,cell pooled across sizes,6,0,0
CAPIZ,MA-AYON,fresh fish,pieces or units,g,322.5,cell pooled across sizes,4,0,0
CAPIZ,MA-AYON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,g,60,item x unit (regional),85,0,0
CAPIZ,MA-AYON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,100,province x item x unit,27,0,0
CAPIZ,MA-AYON,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,6,0,0
CAPIZ,MA-AYON,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,6,0,0
CAPIZ,MA-AYON,loaf bread,large packs,g,640,cell pooled across sizes,3,0,0
CAPIZ,MA-AYON,loaf bread,medium packs,g,450,cell pooled across sizes,3,0,0
CAPIZ,MA-AYON,loaf bread,small packs,g,400,province x item x unit,33,0,0
CAPIZ,MA-AYON,mango,pieces or units,g,250,cell pooled across sizes,6,0,0
CAPIZ,MA-AYON,"prawns, lobster, shrimp",tumpok,g,305,province x item x unit,39,0,0
CAPIZ,MA-AYON,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,g,70,province x item x unit,41,0,0
CAPIZ,MA-AYON,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,255,cell pooled across sizes,6,0,0
CAPIZ,MAMBUSAO,cabbage,pieces or units,g,695,cell pooled across sizes,3,0,0
CAPIZ,MAMBUSAO,camote tops,bugkos,g,202.5,cell pooled across sizes,4,0,0
CAPIZ,MAMBUSAO,carrot,pieces or units,g,127.5,cell pooled across sizes,12,0,0
CAPIZ,MAMBUSAO,chicken,bilog,g,1272.5,cell pooled across sizes,6,0,0
CAPIZ,MAMBUSAO,chicken,whole (chicken),g,1195,cell pooled across sizes,9,0,0
CAPIZ,MAMBUSAO,"crackers, cookies, buiscuits, chips/curls",bucket,g,1500,item x unit (regional),7,0,0
CAPIZ,MAMBUSAO,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,48,cell pooled across sizes,20,0,0
CAPIZ,MAMBUSAO,"crackers, cookies, buiscuits, chips/curls",putos,g,287.5,cell pooled across sizes,12,0,0
CAPIZ,MAMBUSAO,fresh fish,pieces or units,g,340,cell pooled across sizes,9,0,0
CAPIZ,MAMBUSAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",bowl,g,720,item x unit (regional),3,0,0
CAPIZ,MAMBUSAO,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,750,cell pooled across sizes,11,0,0
CAPIZ,MAMBUSAO,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,province x item x unit,26,0,0
CAPIZ,MAMBUSAO,loaf bread,large packs,g,500,cell pooled across sizes,9,0,0
CAPIZ,MAMBUSAO,loaf bread,small packs,g,400,province x item x unit,33,0,0
CAPIZ,MAMBUSAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,g,70,province x item x unit,41,0,0
CAPIZ,MAMBUSAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,495,cell pooled across sizes,9,0,0
CAPIZ,PANAY,beer,case,mL,,,,,1
CAPIZ,PANAY,cabbage,pieces or units,g,675,cell pooled across sizes,15,0,0
CAPIZ,PANAY,cabbage,putos (mix vegetable),g,475,cell pooled across sizes,3,0,0
CAPIZ,PANAY,camote,bilog,g,202.5,cell pooled across sizes,12,0,0
CAPIZ,PANAY,camote tops,bugkos,g,205,cell pooled across sizes,5,0,0
CAPIZ,PANAY,carrot,pieces or units,g,155,cell pooled across sizes,15,0,0
CAPIZ,PANAY,chicken,bilog,g,900,cell pooled across sizes,9,0,0
CAPIZ,PANAY,chicken,slice,g,250,cell pooled across sizes,9,0,0
CAPIZ,PANAY,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,30,cell pooled across sizes,5,0,0
CAPIZ,PANAY,"crackers, cookies, buiscuits, chips/curls",putos,g,300,cell pooled across sizes,3,0,0
CAPIZ,PANAY,"drinks at restaurant, hotel, cafe, or kiosk",pieces or units,g,435,province x item x unit,3,0,0
CAPIZ,PANAY,fresh fish,pieces or units,g,375,cell pooled across sizes,9,0,0
CAPIZ,PANAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,60,province x item x unit,22,0,0
CAPIZ,PANAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,100,province x item x unit,27,0,0
CAPIZ,PANAY,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,province x item x unit,103,0,0
CAPIZ,PANAY,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,province x item x unit,26,0,0
CAPIZ,PANAY,loaf bread,medium packs,g,447.5,cell pooled across sizes,4,0,0
CAPIZ,PANAY,loaf bread,small packs,g,220,cell pooled across sizes,4,0,0
CAPIZ,PANAY,mango,pieces or units,g,222.5,cell pooled across sizes,12,0,0
CAPIZ,PANAY,"prawns, lobster, shrimp",cup,g,,,,,1
CAPIZ,PANAY,"prawns, lobster, shrimp",tumpok,g,400,cell pooled across sizes,9,0,0
CAPIZ,PANAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,g,65,cell pooled across sizes,3,0,0
CAPIZ,PANAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,250,cell pooled across sizes,6,0,0
CAPIZ,PANITAN,cabbage,half,g,325,province x item x unit,4,0,0
CAPIZ,PANITAN,cabbage,pieces or units,g,705,cell pooled across sizes,17,0,0
CAPIZ,PANITAN,cabbage,putos (mix vegetable),g,150,cell pooled across sizes,3,0,0
CAPIZ,PANITAN,camote,bilog,g,130,cell pooled across sizes,9,0,0
CAPIZ,PANITAN,camote tops,bugkos,g,222.5,cell pooled across sizes,4,0,0
CAPIZ,PANITAN,carrot,pieces or units,g,110,cell pooled across sizes,18,0,0
CAPIZ,PANITAN,chicken,whole (chicken),g,1350,cell pooled across sizes,9,0,0
CAPIZ,PANITAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,40,cell pooled across sizes,17,0,0
CAPIZ,PANITAN,"crackers, cookies, buiscuits, chips/curls",putos,g,250,cell pooled across sizes,10,0,0
CAPIZ,PANITAN,"drinks at restaurant, hotel, cafe, or kiosk",pieces or units,mL,473,province x item x unit,9,0,0
CAPIZ,PANITAN,fresh fish,pieces or units,g,225,cell pooled across sizes,8,0,0
CAPIZ,PANITAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,60,cell pooled across sizes,7,0,0
CAPIZ,PANITAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,g,100,cell pooled across sizes,7,0,0
CAPIZ,PANITAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,16,0,0
CAPIZ,PANITAN,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,province x item x unit,26,0,0
CAPIZ,PANITAN,loaf bread,small packs,g,500,cell pooled across sizes,10,0,0
CAPIZ,PANITAN,"prawns, lobster, shrimp",tumpok,g,285,cell pooled across sizes,3,0,0
CAPIZ,PANITAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,g,275,cell pooled across sizes,7,0,0
CAPIZ,PILAR,cabbage,pieces or units,g,760,cell pooled across sizes,9,0,0
CAPIZ,PILAR,camote,bilog,g,145,cell pooled across sizes,3,0,0
CAPIZ,PILAR,camote tops,bugkos,g,125,cell pooled across sizes,3,0,0
CAPIZ,PILAR,carrot,pieces or units,g,125,cell pooled across sizes,9,0,0
CAPIZ,PILAR,chicken,whole (chicken),g,1185,cell pooled across sizes,9,0,0
CAPIZ,PILAR,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,28,cell pooled across sizes,15,0,0
CAPIZ,PILAR,"crackers, cookies, buiscuits, chips/curls",putos,g,42,cell pooled across sizes,7,0,0
CAPIZ,PILAR,fresh fish,pieces or units,g,122.5,cell pooled across sizes,14,0,0
CAPIZ,PILAR,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,75,province x item x unit,16,0,0
CAPIZ,PILAR,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,11,0,0
CAPIZ,PILAR,loaf bread,large packs,g,450,cell pooled across sizes,10,0,0
CAPIZ,PILAR,"prawns, lobster, shrimp",tumpok,g,400,cell pooled across sizes,3,0,0
CAPIZ,PILAR,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,g,70,cell pooled across sizes,3,0,0
CAPIZ,PILAR,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,252.5,cell pooled across sizes,6,0,0
CAPIZ,PONTEVEDRA,cabbage,pieces or units,g,807.5,cell pooled across sizes,18,0,0
CAPIZ,PONTEVEDRA,camote,bilog,g,200,cell pooled across sizes,9,0,0
CAPIZ,PONTEVEDRA,camote tops,bugkos,g,150,cell pooled across sizes,5,0,0
CAPIZ,PONTEVEDRA,carrot,pieces or units,g,132.5,cell pooled across sizes,14,0,0
CAPIZ,PONTEVEDRA,chicken,bilog,g,1315,cell pooled across sizes,10,0,0
CAPIZ,PONTEVEDRA,fresh fish,pieces or units,g,555,cell pooled across sizes,7,0,0
CAPIZ,PONTEVEDRA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,75,province x item x unit,16,0,0
CAPIZ,PONTEVEDRA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,60,cell pooled across sizes,5,0,0
CAPIZ,PONTEVEDRA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,110,cell pooled across sizes,5,0,0
CAPIZ,PONTEVEDRA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,3,0,0
CAPIZ,PONTEVEDRA,loaf bread,large packs,g,640,province x item x unit,68,0,0
CAPIZ,PONTEVEDRA,loaf bread,medium packs,g,450,cell pooled across sizes,3,0,0
CAPIZ,PONTEVEDRA,loaf bread,small packs,g,400,province x item x unit,33,0,0
CAPIZ,PONTEVEDRA,"prawns, lobster, shrimp",tumpok,g,480,cell pooled across sizes,4,0,0
