statistic,grouping,level,value
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | ENRIQUE B. MAGALONA (SARAVIA),68.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | HINIGARAN,67.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | HINOBA-AN (ASIA),65.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | ILOG,65.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | ISABELA,73.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | LA CASTELLANA,47.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | MANAPLA,83.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | MOISES PADILLA (MAGALLON),63.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | MURCIA,30.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | PONTEVEDRA,93.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | PULUPANDAN,47.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | SALVADOR BENEDICTO,38.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | SAN ENRIQUE,113.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | TOBOSO,46.0
n_weighings_by_municipality,prov_mun,NEGROS OCCIDENTAL | VALLADOLID,48.0
n_weighings_by_item,pull_item,beef,8.0
n_weighings_by_item,pull_item,beer,2.0
n_weighings_by_item,pull_item,cabbage,1412.0
n_weighings_by_item,pull_item,camote,591.0
n_weighings_by_item,pull_item,camote tops,559.0
n_weighings_by_item,pull_item,carrot,1193.0
n_weighings_by_item,pull_item,chicken,848.0
n_weighings_by_item,pull_item,"crackers, cookies, buiscuits, chips/curls",1085.0
n_weighings_by_item,pull_item,"drinks at restaurant, hotel, cafe, or kiosk",189.0
n_weighings_by_item,pull_item,fresh fish,756.0
n_weighings_by_item,pull_item,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",877.0
n_weighings_by_item,pull_item,"liquor (e.g, whisky, coconut wine)",1122.0
n_weighings_by_item,pull_item,loaf bread,1049.0
n_weighings_by_item,pull_item,mango,544.0
n_weighings_by_item,pull_item,"mineral or spring water, all drinking water sold in containers",6.0
n_weighings_by_item,pull_item,pork,25.0
n_weighings_by_item,pull_item,"prawns, lobster, shrimp",160.0
n_weighings_by_item,pull_item,"preserved or processed meat (tocino, tapa, longaniza, etc)",952.0
n_weighings_by_item,pull_item,rice,55.0
n_weighings_by_weighing_approach,weighing_approach_lbl,"Conventional NSU (eg. ganta, salmon, salop)",468.0
n_weighings_by_weighing_approach,weighing_approach_lbl,"Price-quantity based (lower, median, higher price)",1212.0
n_weighings_by_weighing_approach,weighing_approach_lbl,"Size-based (small, medium, large)",9753.0
