pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,o2_cf,o2_rows,o2_maxrung,o1_grams,o1_n,ratio,logr
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,HAMTIC,pieces or units,g,28.57142857142857,5,0,80,1,.3571428571428572,-.4471580313422192
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,HAMTIC,putos,mL,277.7777777777778,1,0,500,5,.5555555555555556,-.255272505103306
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,HAMTIC,small cup,mL,41.66666666666667,6,0,100,3,.4166666666666667,-.3802112417116059
"liquor (e.g, whisky, coconut wine)",ANTIQUE,HAMTIC,lipid/lapad,mL,187.5,33,0,375,8,.5,-.3010299956639811
"liquor (e.g, whisky, coconut wine)",ANTIQUE,HAMTIC,long-neck,mL,704.5454545454545,4,0,750,11,.9393939393939393,-.0271522460436148
loaf bread,ANTIQUE,HAMTIC,large packs,g,604.2458100558659,18,0,640,6,.9441340782122906,-.0249663263662196
loaf bread,ANTIQUE,HAMTIC,medium packs,g,439.0243902439025,14,0,465,6,.944138473642801,-.0249643045063833
loaf bread,ANTIQUE,HAMTIC,small packs,g,58,18,0,325,2,.1784615384615384,-.7484553674159371
"prawns, lobster, shrimp",ANTIQUE,HAMTIC,tumpok,g,948.75,1,0,632.5,2,1.5,.1760912590556812
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,HAMTIC,bilog,g,222.2222222222222,1,0,250,4,.888888888888889,-.0511525224473813
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,HAMTIC,pack,g,202.8649259990395,1,0,250,4,.8114597039961581,-.090733041785532
cabbage,ANTIQUE,LAUA-AN,pieces or units,g,664.6153846153846,22,0,737.5,11,.9011734028683182,-.0451916344781441
camote tops,ANTIQUE,LAUA-AN,bugkos,g,143.75,48,0,287.5,8,.5,-.3010299956639811
camote tops,ANTIQUE,LAUA-AN,bundle,g,315,77,0,630,1,.5,-.3010299956639811
carrot,ANTIQUE,LAUA-AN,pieces or units,g,133.9130434782609,17,0,180,5,.7439613526570048,-.1284496246204547
chicken,ANTIQUE,LAUA-AN,whole (chicken),g,1075,13,0,1055,5,1.018957345971564,.0081560046179127
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,LAUA-AN,pack,g,272.7272727272727,1,0,326,7,.8365867261572784,-.0774890305065016
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,LAUA-AN,pieces or units,g,5.2,29,0,26,7,.2,-.6989700043360187
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,LAUA-AN,putos,g,11.44444444444444,2,0,51.5,2,.2222222222222222,-.6532125137753436
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,LAUA-AN,small cup,g,95.11491216012645,18,0,100,3,.9511491216012645,-.0217513888338435
"liquor (e.g, whisky, coconut wine)",ANTIQUE,LAUA-AN,lipid/lapad,mL,351.5625,27,0,375,7,.9375,-.0280287236002435
"liquor (e.g, whisky, coconut wine)",ANTIQUE,LAUA-AN,long-neck,mL,750,9,0,750,7,1,0
loaf bread,ANTIQUE,LAUA-AN,large packs,g,620,12,0,640,3,.96875,-.0137882844856333
loaf bread,ANTIQUE,LAUA-AN,medium packs,g,415.3846153846154,1,0,450,3,.9230769230769231,-.0347621062592119
loaf bread,ANTIQUE,LAUA-AN,small packs,g,360,5,0,360,1,1,0
mango,ANTIQUE,LAUA-AN,pieces or units,g,86.55555555555556,2,0,205,1,.4222222222222222,-.3744589128225146
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,LAUA-AN,putos,g,210.5263157894737,38,0,200,3,1.052631578947369,.0222763947111523
cabbage,ANTIQUE,LIBERTAD,pieces or units,g,983.5714285714287,4,0,767.5,13,1.281526291298278,.1077275204294616
camote,ANTIQUE,LIBERTAD,bilog,g,37,1,0,165,8,.2242424242424242,-.6492822201469112
camote tops,ANTIQUE,LIBERTAD,bugkos,g,574.6973747801247,40,0,350,1,1.641992499371785,.2153711689290464
carrot,ANTIQUE,LIBERTAD,pieces or units,g,136.6279069767442,9,0,150,12,.9108527131782945,-.0405518436914939
chicken,ANTIQUE,LIBERTAD,pieces or units,g,268.75,1,0,537.5,8,.5,-.3010299956639811
chicken,ANTIQUE,LIBERTAD,whole (chicken),g,1115,7,0,1185,9,.9409282700421941,-.0264434829619432
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,LIBERTAD,pack,g,300,1,0,300,3,1,0
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,LIBERTAD,pieces or units,g,26.52482850615815,20,0,25,3,1.060993140246326,.025712576019344
fresh fish,ANTIQUE,LIBERTAD,pieces or units,g,281.1428571428572,2,0,615,7,.4571428571428572,-.3399480616943508
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,LIBERTAD,pieces or units,g,42.5,10,0,85,2,.5,-.3010299956639811
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,LIBERTAD,small cup,g,28.57142857142857,2,0,100,3,.2857142857142858,-.5440680443502756
"liquor (e.g, whisky, coconut wine)",ANTIQUE,LIBERTAD,lipid/lapad,mL,354.5454545454546,14,0,375,4,.9454545454545455,-.0243593458594446
"liquor (e.g, whisky, coconut wine)",ANTIQUE,LIBERTAD,long-neck,mL,750,4,0,750,4,1,0
loaf bread,ANTIQUE,LIBERTAD,large packs,g,589.3333333333334,9,0,680,1,.8666666666666667,-.0621479067488445
loaf bread,ANTIQUE,LIBERTAD,medium packs,g,430.7692307692308,1,0,560,2,.7692307692307693,-.1139433523068367
loaf bread,ANTIQUE,LIBERTAD,small packs,g,200,15,0,400,3,.5,-.3010299956639811
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,LIBERTAD,putos,g,133.3333333333333,23,0,200,5,.6666666666666667,-.1760912590556812
cabbage,ANTIQUE,PANDAN,pack,g,127.0588235294118,1,0,270,3,.4705882352941176,-.3273589343863304
cabbage,ANTIQUE,PANDAN,pieces or units,g,715.5,11,0,845,13,.8467455621301775,-.0722470708538972
camote tops,ANTIQUE,PANDAN,bugkos,g,249.7444551568263,46,0,155,3,1.61125454939888,.2071641565994983
carrot,ANTIQUE,PANDAN,pieces or units,g,112.7272727272727,9,0,180,13,.6262626262626262,-.2032435050992961
chicken,ANTIQUE,PANDAN,whole (chicken),g,1232.625,8,0,1297.5,4,.95,-.0222763947111522
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,PANDAN,pieces or units,g,6,18,0,30,8,.2,-.6989700043360187
"crackers, cookies, buiscuits, chips/curls",ANTIQUE,PANDAN,putos,g,163.4042553191489,13,0,303.75,9,.5379563961124245,-.269252924510574
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,PANDAN,pieces or units,g,271.578947368421,6,2,645,1,.4210526315789473,-.3756636139608854
