id,pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,weight,unit,w1,w3,ratio,review_step1,cell_med,cell_n
9253.0,ILOILO,SAN JOAQUIN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,250.0,2,25.0,250.0,10.0,0,65.0,29.0
9284.0,ILOILO,SAN MIGUEL,camote tops,bugkos,1.4,1,140.0,1400.0,10.0,0,195.0,408.0
9306.0,ILOILO,SAN MIGUEL,carrot,pieces or units,0.34,2,34.0,340.0,10.0,1,135.0,1139.0
9323.0,ILOILO,SAN MIGUEL,"crackers, cookies, buiscuits, chips/curls",pieces or units,0.28,1,28.0,280.0,10.0,0,31.0,453.0
9324.0,ILOILO,SAN MIGUEL,"crackers, cookies, buiscuits, chips/curls",pieces or units,120.0,2,12.0,120.0,10.0,1,31.0,453.0
2504.0,ANTIQUE,LIBERTAD,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,250.0,2,25.0,250.0,10.0,0,65.0,29.0
8827.0,ILOILO,POTOTAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,0.4,3,40.0,400.0,10.0,1,100.0,271.0
2058.0,ANTIQUE,CULASI,fresh fish,pieces or units,1080.0,1,108.0,1080.0,10.0,1,375.0,590.0
2069.0,ANTIQUE,CULASI,fresh fish,pieces or units,1800.0,1,180.0,1800.0,10.0,0,375.0,590.0
8978.0,ILOILO,SAN DIONISIO,"prawns, lobster, shrimp",tumpok,1.09,1,109.0,1090.0,10.0,0,257.5,140.0
9006.0,ILOILO,SAN ENRIQUE,camote tops,bundle,1.51,1,151.0,1510.0,10.0,0,290.0,72.0
9051.0,ILOILO,SAN ENRIQUE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,0.33,2,33.0,330.0,10.0,1,100.0,271.0
9093.0,ILOILO,SAN JOAQUIN,camote tops,bugkos,1170.0,1,117.0,1170.0,10.0,0,195.0,408.0
9106.0,ILOILO,SAN JOAQUIN,camote,bilog,270.0,2,27.0,270.0,10.0,1,125.0,413.0
9109.0,ILOILO,SAN JOAQUIN,camote,bilog,290.0,2,29.0,290.0,10.0,1,125.0,413.0
9166.0,ILOILO,SAN JOAQUIN,fresh fish,pieces or units,1.2,1,120.0,1200.0,10.0,1,375.0,590.0
9167.0,ILOILO,SAN JOAQUIN,fresh fish,pieces or units,3.75,1,375.0,3750.0,10.0,0,375.0,590.0
9175.0,ILOILO,SAN JOAQUIN,fresh fish,pieces or units,1.4,1,140.0,1400.0,10.0,0,375.0,590.0
2627.0,ANTIQUE,PATNONGON,camote,bilog,0.36,2,36.0,360.0,10.0,0,125.0,413.0
2659.0,ANTIQUE,PATNONGON,chicken,pieces or units,0.72,2,72.0,720.0,10.0,1,315.0,91.0
2679.0,ANTIQUE,PATNONGON,fresh fish,pieces or units,1.69,1,169.0,1690.0,10.0,0,375.0,590.0
9241.0,ILOILO,SAN JOAQUIN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pack,1.0,1,100.0,1000.0,10.0,1,250.0,76.0
9243.0,ILOILO,SAN JOAQUIN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pack,1.2,1,120.0,1200.0,10.0,0,250.0,76.0
2199.0,ANTIQUE,HAMTIC,camote,bilog,270.0,2,27.0,270.0,10.0,1,125.0,413.0
2285.0,ANTIQUE,HAMTIC,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.5,3,50.0,500.0,10.0,0,60.0,173.0
2287.0,ANTIQUE,HAMTIC,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.85,3,85.0,850.0,10.0,0,60.0,173.0
2383.0,ANTIQUE,LAUA-AN,fresh fish,pieces or units,1.56,1,156.0,1560.0,10.0,0,375.0,590.0
2384.0,ANTIQUE,LAUA-AN,fresh fish,pieces or units,1.24,1,124.0,1240.0,10.0,1,375.0,590.0
2448.0,ANTIQUE,LIBERTAD,carrot,pieces or units,0.39,2,39.0,390.0,10.0,1,135.0,1139.0
2481.0,ANTIQUE,LIBERTAD,fresh fish,pieces or units,1.7,1,170.0,1700.0,10.0,0,375.0,590.0
8698.0,ILOILO,OTON,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.08,1,108.0,1080.0,10.0,1,250.0,432.0
8735.0,ILOILO,POTOTAN,camote tops,bugkos,1.17,1,117.0,1170.0,10.0,0,195.0,408.0
