province,municipality,item,harmonized_nsu_unit,item_weighed_in_this_municipality,n_weighings_of_item_here,other_units_weighed_here,this_unit_weighed_anywhere
NEGROS OCCIDENTAL,PONTEVEDRA,"drinks at restaurant, hotel, cafe, or kiosk",pieces,0,0,,189
AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,7,pieces or units | putos,225
AKLAN,BATAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,23,cans | pieces or units | putos,225
AKLAN,LIBACAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,8,pieces or units | putos,225
ANTIQUE,LAUA-AN,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,3,putos,225
ANTIQUE,LIBERTAD,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,10,pieces or units | putos,225
ANTIQUE,PANDAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,5,putos,225
ANTIQUE,PATNONGON,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,5,putos,225
ANTIQUE,TOBIAS FORNIER,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,19,cans | pack | putos,225
CAPIZ,SIGMA,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,4,putos,225
ILOILO,BADIANGAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,4,putos,225
ILOILO,BAROTAC NUEVO,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,6,putos,225
ILOILO,LAMBUNAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,6,putos,225
ILOILO,MAASIN,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,11,pack | putos,225
ILOILO,SAN DIONISIO,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,5,cans | putos,225
ILOILO,SAN ENRIQUE,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,4,putos,225
CAPIZ,MAMBUSAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,1,bowl,230
CAPIZ,PANITAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,14,pieces or units | small cup,230
CAPIZ,PILAR,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,1,pieces or units,230
CAPIZ,SIGMA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,15,pieces or units | small cup | tub,230
CAPIZ,TAPAZ,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,11,cone | pieces or units | small cup,230
ILOILO,CARLES,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,11,pieces or units | small cup,230
ILOILO,MINA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,12,container | pack | pieces or units | small cup,230
AKLAN,ALTAVAS,chicken,bilog,1,4,pieces or units | whole (chicken),232
AKLAN,LIBACAO,chicken,bilog,1,9,pieces or units | whole (chicken),232
AKLAN,MALAY,chicken,bilog,1,8,whole (chicken),232
ANTIQUE,BARBAZA,chicken,bilog,1,3,whole (chicken),232
ANTIQUE,BUGASONG,chicken,bilog,1,9,pieces or units | whole (chicken),232
ANTIQUE,CULASI,chicken,bilog,1,6,whole (chicken),232
ANTIQUE,HAMTIC,chicken,bilog,1,5,whole (chicken),232
ANTIQUE,LAUA-AN,chicken,bilog,1,5,whole (chicken),232
ANTIQUE,LIBERTAD,chicken,bilog,1,17,pieces or units | whole (chicken),232
ANTIQUE,PANDAN,chicken,bilog,1,4,whole (chicken),232
ANTIQUE,PATNONGON,chicken,bilog,1,8,pieces or units | whole (chicken),232
ANTIQUE,SEBASTE,chicken,bilog,1,1,whole (chicken),232
ANTIQUE,TIBIAO,chicken,bilog,1,4,pieces or units | whole (chicken),232
ANTIQUE,TOBIAS FORNIER,chicken,bilog,1,12,pieces or units | whole (chicken),232
ANTIQUE,VALDERRAMA,chicken,bilog,1,10,pieces or units | whole (chicken),232
CAPIZ,DUMALAG,chicken,bilog,1,5,whole (chicken),232
CAPIZ,IVISAN,chicken,bilog,1,9,whole (chicken),232
CAPIZ,MA-AYON,chicken,bilog,1,7,pack | whole (chicken),232
CAPIZ,PANITAN,chicken,bilog,1,9,whole (chicken),232
CAPIZ,PILAR,chicken,bilog,1,9,whole (chicken),232
CAPIZ,SIGMA,chicken,bilog,1,6,whole (chicken),232
CAPIZ,TAPAZ,chicken,bilog,1,5,whole (chicken),232
ILOILO,AJUY,chicken,bilog,1,1,whole (chicken),232
ILOILO,BADIANGAN,chicken,bilog,1,3,whole (chicken),232
ILOILO,BATAD,chicken,bilog,1,8,whole (chicken),232
ILOILO,BINGAWAN,chicken,bilog,1,1,whole (chicken),232
ILOILO,CABATUAN,chicken,bilog,1,5,whole (chicken),232
ILOILO,CALINOG,chicken,bilog,1,6,whole (chicken),232
ILOILO,CARLES,chicken,bilog,1,10,whole (chicken),232
ILOILO,DUEAS,chicken,bilog,1,5,whole (chicken),232
ILOILO,DUMANGAS,chicken,bilog,0,0,,232
ILOILO,JANIUAY,chicken,bilog,1,12,patupa | whole (chicken),232
ILOILO,LAMBUNAO,chicken,bilog,1,7,whole (chicken),232
ILOILO,LEMERY,chicken,bilog,1,3,whole (chicken),232
ILOILO,LEON,chicken,bilog,1,4,whole (chicken),232
ILOILO,MAASIN,chicken,bilog,1,4,whole (chicken),232
ILOILO,MIAGAO,chicken,bilog,1,15,whole (chicken),232
ILOILO,MINA,chicken,bilog,1,4,whole (chicken),232
ILOILO,NEW LUCENA,chicken,bilog,1,5,whole (chicken),232
ILOILO,POTOTAN,chicken,bilog,1,10,whole (chicken),232
ILOILO,SAN ENRIQUE,chicken,bilog,1,4,whole (chicken),232
ILOILO,SAN MIGUEL,chicken,bilog,1,8,whole (chicken),232
ILOILO,SANTA BARBARA,chicken,bilog,1,15,whole (chicken),232
ILOILO,SARA,chicken,bilog,1,12,whole (chicken),232
NEGROS OCCIDENTAL,CALATRAVA,chicken,bilog,1,3,whole (chicken),232
NEGROS OCCIDENTAL,CAUAYAN,chicken,bilog,1,8,pieces or units | whole (chicken),232
NEGROS OCCIDENTAL,ISABELA,chicken,bilog,1,9,whole (chicken),232
NEGROS OCCIDENTAL,MANAPLA,chicken,bilog,1,4,whole (chicken),232
NEGROS OCCIDENTAL,SAN ENRIQUE,chicken,bilog,1,10,whole (chicken),232
AKLAN,LIBACAO,loaf bread,small packs,0,0,,259
ANTIQUE,BUGASONG,loaf bread,small packs,1,7,large packs | medium packs,259
CAPIZ,PILAR,loaf bread,small packs,1,10,large packs,259
CAPIZ,SAPI-AN,loaf bread,small packs,1,7,large packs | medium packs,259
CAPIZ,SIGMA,loaf bread,small packs,1,13,large packs,259
CAPIZ,TAPAZ,loaf bread,small packs,1,10,large packs,259
ILOILO,BADIANGAN,loaf bread,small packs,1,9,large packs | medium packs,259
ILOILO,BANATE,loaf bread,small packs,1,7,large packs,259
ILOILO,CALINOG,loaf bread,small packs,1,13,large packs | medium packs,259
ILOILO,LEGANES,loaf bread,small packs,1,7,large packs,259
ILOILO,MAASIN,loaf bread,small packs,1,3,large packs | medium packs,259
ILOILO,SAN DIONISIO,loaf bread,small packs,1,10,medium packs | tama-tama nga putos,259
NEGROS OCCIDENTAL,CALATRAVA,loaf bread,small packs,1,4,large packs | medium packs,259
AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,2,putos,260
AKLAN,BURUANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,5,pack | small cup,260
AKLAN,LIBACAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,7,putos | small cup,260
ANTIQUE,LAUA-AN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,5,putos | small cup,260
ANTIQUE,PATNONGON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,8,putos | small cup,260
ANTIQUE,TOBIAS FORNIER,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,9,putos | small cup,260
CAPIZ,IVISAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,2,putos | small cup,260
CAPIZ,MA-AYON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,4,putos | small cup,260
CAPIZ,MAMBUSAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,1,bowl,260
CAPIZ,PANAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,3,putos | small cup,260
CAPIZ,SAPI-AN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,7,putos | small cup,260
ILOILO,AJUY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,7,bowl | cone | putos | small cup,260
ILOILO,BALASAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,4,putos | small cup,260
ILOILO,BANATE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,4,putos,260
ILOILO,CALINOG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,8,pack | putos | small cup,260
ILOILO,DINGLE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,11,cone | putos | small cup,260
ILOILO,JANIUAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,8,putos | small cup,260
ILOILO,LAMBUNAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,20,putos | small cup,260
ILOILO,LEMERY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,6,putos | small cup,260
ILOILO,LEON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,14,cone | putos | small cup,260
ILOILO,MAASIN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,7,putos | small cup,260
ILOILO,MIAGAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,7,putos | small cup,260
ILOILO,NEW LUCENA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,10,putos | small cup,260
NEGROS OCCIDENTAL,CANDONI,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,8,cone | putos | small cup,260
NEGROS OCCIDENTAL,ISABELA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,7,putos | small cup,260
NEGROS OCCIDENTAL,MANAPLA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,9,putos | small cup,260
AKLAN,ALTAVAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1,2,putos,305
AKLAN,BANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1,2,pieces or units | putos,305
AKLAN,MADALAG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1,7,pieces or units | putos,305
AKLAN,NABAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1,8,pieces or units | putos,305
CAPIZ,CUARTERO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1,8,cone | pieces or units | putos | tupperware,305
CAPIZ,MAMBUSAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1,1,bowl,305
CAPIZ,PILAR,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1,1,pieces or units,305
ILOILO,BANATE,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1,4,putos,305
ILOILO,SAN DIONISIO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1,4,pieces or units,305
AKLAN,LIBACAO,loaf bread,medium packs,0,0,,352
ANTIQUE,PANDAN,loaf bread,medium packs,1,1,small packs,352
CAPIZ,MAMBUSAO,loaf bread,medium packs,1,10,large packs | small packs,352
CAPIZ,PANITAN,loaf bread,medium packs,1,10,small packs,352
CAPIZ,PILAR,loaf bread,medium packs,1,10,large packs,352
CAPIZ,SIGMA,loaf bread,medium packs,1,13,large packs,352
CAPIZ,TAPAZ,loaf bread,medium packs,1,10,large packs,352
ILOILO,BANATE,loaf bread,medium packs,1,7,large packs,352
AKLAN,LIBACAO,loaf bread,large packs,0,0,,411
ANTIQUE,PANDAN,loaf bread,large packs,1,1,small packs,411
CAPIZ,PANAY,loaf bread,large packs,1,8,medium packs | small packs,411
CAPIZ,PANITAN,loaf bread,large packs,1,10,small packs,411
ILOILO,SAN DIONISIO,loaf bread,large packs,1,10,medium packs | tama-tama nga putos,411
CAPIZ,IVISAN,camote tops,bugkos,1,3,bundle,449
CAPIZ,SAPI-AN,camote tops,bugkos,1,3,bundle,449
ILOILO,LEMERY,camote tops,bugkos,1,6,bundle,449
NEGROS OCCIDENTAL,CALATRAVA,camote tops,bugkos,1,4,bundle,449
NEGROS OCCIDENTAL,TOBOSO,camote tops,bugkos,0,0,,449
ANTIQUE,HAMTIC,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,8,bilog | pack,474
CAPIZ,IVISAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,6,bilog | pack,474
ILOILO,BANATE,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,7,pack,474
ILOILO,BAROTAC VIEJO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,7,bilog | cans,474
ILOILO,BATAD,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,10,bilog | pack,474
ILOILO,CABATUAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,4,bilog | pack,474
ILOILO,CALINOG,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,15,bilog | pack,474
ILOILO,CARLES,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,6,bilog,474
ILOILO,CONCEPCION,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,10,bilog,474
ILOILO,DINGLE,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,8,bilog | pack,474
ILOILO,LEMERY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,4,bilog | pack,474
ILOILO,MIAGAO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,11,bilog,474
ILOILO,MINA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,8,bilog | pack,474
ILOILO,SAN JOAQUIN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,14,pack | pieces or units,474
ILOILO,SAN RAFAEL,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1,3,bilog,474
ANTIQUE,SAN REMIGIO,chicken,whole (chicken),1,7,bilog | pieces or units,476
ANTIQUE,SIBALOM,chicken,whole (chicken),1,15,bilog | pieces or units,476
CAPIZ,DUMARAO,chicken,whole (chicken),1,2,bilog,476
CAPIZ,PANAY,chicken,whole (chicken),1,18,bilog | slice,476
CAPIZ,PONTEVEDRA,chicken,whole (chicken),1,10,bilog,476
CAPIZ,PRESIDENT ROXAS,chicken,whole (chicken),1,1,bilog,476
ILOILO,ALIMODIAN,chicken,whole (chicken),1,15,bilog | pieces or units,476
ILOILO,ANILAO,chicken,whole (chicken),1,11,bilog,476
ILOILO,BALASAN,chicken,whole (chicken),1,3,bilog,476
ILOILO,BANATE,chicken,whole (chicken),1,10,bilog,476
ILOILO,BAROTAC VIEJO,chicken,whole (chicken),1,8,bilog,476
ILOILO,CONCEPCION,chicken,whole (chicken),1,13,bilog,476
ILOILO,DINGLE,chicken,whole (chicken),1,4,bilog,476
ILOILO,DUMANGAS,chicken,whole (chicken),0,0,,476
ILOILO,IGBARAS,chicken,whole (chicken),1,5,bilog,476
ILOILO,LEGANES,chicken,whole (chicken),1,9,bilog,476
ILOILO,OTON,chicken,whole (chicken),1,9,bilog,476
ILOILO,SAN DIONISIO,chicken,whole (chicken),1,3,bilog,476
ILOILO,SAN JOAQUIN,chicken,whole (chicken),1,7,bilog | pieces or units,476
ILOILO,TUBUNGAN,chicken,whole (chicken),1,3,bilog,476
NEGROS OCCIDENTAL,LA CASTELLANA,chicken,whole (chicken),1,4,bilog,476
NEGROS OCCIDENTAL,MURCIA,chicken,whole (chicken),1,4,bilog,476
NEGROS OCCIDENTAL,PULUPANDAN,chicken,whole (chicken),1,2,bilog,476
NEGROS OCCIDENTAL,SALVADOR BENEDICTO,chicken,whole (chicken),1,2,bilog,476
ANTIQUE,HAMTIC,"crackers, cookies, buiscuits, chips/curls",putos,1,16,balde | pack,482
ANTIQUE,LAUA-AN,"crackers, cookies, buiscuits, chips/curls",putos,1,14,pack | pieces or units,482
ANTIQUE,LIBERTAD,"crackers, cookies, buiscuits, chips/curls",putos,1,6,pack | pieces or units,482
CAPIZ,SAPI-AN,"crackers, cookies, buiscuits, chips/curls",putos,1,11,pack | pieces or units,482
ILOILO,BAROTAC VIEJO,"crackers, cookies, buiscuits, chips/curls",putos,1,5,pieces or units,482
ILOILO,BATAD,"crackers, cookies, buiscuits, chips/curls",putos,1,15,pack | pieces or units,482
ILOILO,MAASIN,"crackers, cookies, buiscuits, chips/curls",putos,1,14,pack | pieces or units,482
ILOILO,MIAGAO,"crackers, cookies, buiscuits, chips/curls",putos,1,12,pieces or units,482
ILOILO,MINA,"crackers, cookies, buiscuits, chips/curls",putos,1,15,pack | pieces or units,482
CAPIZ,PILAR,"liquor (e.g, whisky, coconut wine)",long-neck,1,11,lipid/lapad,486
CAPIZ,SIGMA,"liquor (e.g, whisky, coconut wine)",long-neck,1,1,lipid/lapad,486
CAPIZ,TAPAZ,"liquor (e.g, whisky, coconut wine)",long-neck,1,13,lipid/lapad,486
AKLAN,BURUANGA,"crackers, cookies, buiscuits, chips/curls",pieces or units,1,25,pack | putos,505
ANTIQUE,HAMTIC,"crackers, cookies, buiscuits, chips/curls",pieces or units,1,16,balde | pack,505
ANTIQUE,TOBIAS FORNIER,"crackers, cookies, buiscuits, chips/curls",pieces or units,1,8,putos,505
ILOILO,BALASAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,1,4,pack | putos,505
ILOILO,DUEAS,"crackers, cookies, buiscuits, chips/curls",pieces or units,1,23,balde | putos,505
ILOILO,JANIUAY,"crackers, cookies, buiscuits, chips/curls",pieces or units,1,21,putos,505
CAPIZ,SIGMA,camote,bilog,0,0,,509
AKLAN,ALTAVAS,mango,pieces or units,0,0,,539
CAPIZ,MAMBUSAO,mango,pieces or units,0,0,,539
ILOILO,BADIANGAN,mango,pieces or units,0,0,,539
NEGROS OCCIDENTAL,MOISES PADILLA (MAGALLON),mango,pieces or units,0,0,,539
ILOILO,GUIMBAL,"liquor (e.g, whisky, coconut wine)",lipid/lapad,0,0,,618
ILOILO,BADIANGAN,fresh fish,pieces or units,0,0,,688
ILOILO,DUMANGAS,fresh fish,pieces or units,0,0,,688
ILOILO,MINA,fresh fish,pieces or units,0,0,,688
